"day","location","date","month","year","hour","min","ARSON"
2,3,12,5,2015,1,46,1
1,2,11,5,2015,5,0,1
6,7,2,5,2015,5,39,1
5,10,1,5,2015,21,15,1
5,2,1,5,2015,20,0,1
3,7,29,4,2015,6,35,1
3,1,29,4,2015,1,5,1
2,2,28,4,2015,1,25,1
6,5,18,4,2015,9,9,1
5,2,17,4,2015,18,30,1
4,8,16,4,2015,1,13,1
4,6,16,4,2015,0,30,1
2,9,14,4,2015,13,0,1
7,2,5,4,2015,20,0,1
7,1,5,4,2015,4,42,1
6,5,4,4,2015,22,50,1
6,1,4,4,2015,0,30,1
4,5,2,4,2015,23,0,1
4,2,2,4,2015,18,10,1
2,2,31,3,2015,21,0,1
1,4,30,3,2015,4,45,1
5,5,20,3,2015,6,30,1
3,1,18,3,2015,1,39,1
1,3,16,3,2015,5,11,1
1,4,16,3,2015,0,8,1
6,7,7,3,2015,4,38,1
6,3,7,3,2015,3,15,1
5,2,6,3,2015,4,30,1
4,4,5,3,2015,22,23,1
3,5,4,3,2015,1,30,1
2,3,3,3,2015,17,30,1
7,4,22,2,2015,3,31,1
5,4,20,2,2015,20,0,1
5,2,20,2,2015,1,6,1
3,3,18,2,2015,19,0,1
7,3,8,2,2015,7,10,1
7,3,8,2,2015,7,10,1
6,5,7,2,2015,8,0,1
5,1,6,2,2015,21,0,1
2,8,3,2,2015,18,0,1
2,8,3,2,2015,13,15,1
2,3,3,2,2015,5,8,1
1,3,2,2,2015,20,30,1
1,4,2,2,2015,12,56,1
1,4,2,2,2015,10,5,1
1,3,2,2,2015,2,6,1
5,1,23,1,2015,21,33,1
5,4,23,1,2015,9,46,1
5,1,23,1,2015,1,55,1
4,1,22,1,2015,1,59,1
2,5,20,1,2015,21,10,1
2,2,20,1,2015,3,1,1
1,10,19,1,2015,23,57,1
1,1,19,1,2015,23,51,1
1,8,19,1,2015,23,27,1
1,10,19,1,2015,5,30,1
1,4,19,1,2015,4,34,1
1,4,19,1,2015,3,45,1
7,9,11,1,2015,22,45,1
7,5,11,1,2015,1,0,1
