"day","location","date","month","year","hour","min","BRIBERY"
6,5,2,5,2015,10,40,1
3,4,29,4,2015,1,18,1
1,8,27,4,2015,17,30,1
3,3,15,4,2015,11,0,1
1,3,13,4,2015,11,47,1
2,4,31,3,2015,17,40,1
1,3,30,3,2015,17,45,1
5,4,20,3,2015,21,38,1
5,8,20,3,2015,18,41,1
3,3,4,3,2015,14,25,1
4,10,19,2,2015,15,15,1
1,4,16,2,2015,0,10,1
5,4,6,2,2015,14,30,1
3,3,4,2,2015,19,30,1
4,4,22,1,2015,0,17,1
3,2,10,12,2014,15,18,1
3,4,10,12,2014,11,0,1
7,3,30,11,2014,0,33,1
5,4,14,11,2014,10,2,1
7,4,2,11,2014,17,15,1
6,10,1,11,2014,2,0,1
3,2,29,10,2014,9,30,1
7,8,21,9,2014,13,50,1
7,8,7,9,2014,12,0,1
4,4,21,8,2014,19,52,1
2,5,19,8,2014,18,46,1
1,9,4,8,2014,10,30,1
7,5,13,7,2014,0,1,1
5,8,27,6,2014,12,12,1
6,3,14,6,2014,13,13,1
6,2,3,5,2014,16,30,1
7,4,20,4,2014,17,0,1
6,4,19,4,2014,17,38,1
6,3,19,4,2014,16,6,1
4,4,17,4,2014,20,0,1
1,4,14,4,2014,17,30,1
5,3,4,4,2014,16,30,1
3,8,2,4,2014,9,13,1
5,4,21,2,2014,2,10,1
1,3,17,2,2014,14,35,1
7,10,12,1,2014,0,48,1
7,3,29,12,2013,20,30,1
6,3,28,12,2013,20,0,1
6,6,28,12,2013,15,50,1
6,2,28,12,2013,13,0,1
4,2,28,11,2013,21,11,1
5,3,1,11,2013,9,49,1
4,4,31,10,2013,23,16,1
3,7,2,10,2013,16,6,1
5,3,20,9,2013,23,35,1
3,7,18,9,2013,2,30,1
2,8,20,8,2013,19,5,1
1,8,19,8,2013,19,10,1
6,1,10,8,2013,23,51,1
5,2,28,6,2013,10,0,1
3,4,26,6,2013,22,45,1
1,2,24,6,2013,20,0,1
5,5,31,5,2013,19,15,1
5,6,31,5,2013,10,16,1
5,4,17,5,2013,2,0,1
3,8,1,5,2013,16,0,1
6,8,20,4,2013,11,45,1
3,1,17,4,2013,13,30,1
7,3,7,4,2013,16,28,1
6,4,6,4,2013,18,35,1
6,10,6,4,2013,3,0,1
6,10,6,4,2013,1,48,1
2,4,2,4,2013,22,48,1
1,4,18,3,2013,0,38,1
3,4,6,3,2013,20,5,1
7,8,24,2,2013,11,0,1
6,2,9,2,2013,21,20,1
5,8,25,1,2013,22,20,1
7,3,30,12,2012,22,7,1
6,4,29,12,2012,11,48,1
1,2,10,12,2012,23,0,1
7,4,7,10,2012,17,8,1
6,8,6,10,2012,19,30,1
5,4,7,9,2012,21,30,1
1,3,6,8,2012,14,0,1
6,6,28,7,2012,0,28,1
5,9,15,6,2012,21,30,1
5,2,1,6,2012,10,10,1
5,1,18,5,2012,7,2,1
2,3,15,5,2012,14,30,1
6,3,5,5,2012,9,30,1
5,10,4,5,2012,2,45,1
6,4,21,4,2012,14,12,1
7,2,8,4,2012,0,1,1
1,1,2,4,2012,23,0,1
1,4,2,4,2012,15,26,1
7,4,25,3,2012,16,25,1
5,4,9,3,2012,16,45,1
2,3,6,3,2012,13,5,1
5,2,10,2,2012,18,15,1
3,5,8,2,2012,23,0,1
3,4,25,1,2012,10,50,1
4,9,12,1,2012,18,45,1
