"day","location","date","month","year","hour","min","DISORDERLYCONDUCT"
2,10,12,5,2015,11,11,1
7,1,3,5,2015,16,0,1
6,4,2,5,2015,16,10,1
4,1,30,4,2015,15,30,1
4,10,30,4,2015,8,16,1
4,1,30,4,2015,6,48,1
4,6,30,4,2015,4,32,1
4,4,30,4,2015,0,2,1
3,3,29,4,2015,8,11,1
2,6,28,4,2015,7,36,1
1,2,27,4,2015,21,55,1
6,1,18,4,2015,19,4,1
6,10,18,4,2015,2,0,1
5,5,17,4,2015,20,26,1
3,4,15,4,2015,18,20,1
1,3,13,4,2015,20,15,1
6,1,4,4,2015,10,0,1
4,5,2,4,2015,15,0,1
3,1,1,4,2015,8,30,1
2,9,31,3,2015,23,55,1
2,2,31,3,2015,10,30,1
1,2,30,3,2015,22,45,1
7,1,22,3,2015,10,30,1
5,1,20,3,2015,12,11,1
4,2,19,3,2015,0,14,1
3,3,18,3,2015,6,30,1
5,4,6,3,2015,0,19,1
4,4,5,3,2015,21,25,1
4,4,5,3,2015,0,1,1
3,4,4,3,2015,3,17,1
2,4,3,3,2015,0,1,1
1,4,2,3,2015,22,55,1
1,2,2,3,2015,19,35,1
7,9,22,2,2015,22,20,1
3,4,18,2,2015,11,31,1
3,1,18,2,2015,10,2,1
3,3,18,2,2015,0,1,1
1,1,16,2,2015,10,0,1
6,8,7,2,2015,23,22,1
6,6,7,2,2015,6,15,1
5,1,6,2,2015,16,42,1
5,2,6,2,2015,11,45,1
4,8,5,2,2015,21,44,1
4,4,5,2,2015,10,23,1
3,4,4,2,2015,15,15,1
3,1,4,2,2015,12,23,1
3,2,4,2,2015,11,10,1
2,1,3,2,2015,11,49,1
1,8,2,2,2015,2,25,1
7,9,25,1,2015,14,50,1
4,1,22,1,2015,7,55,1
4,2,22,1,2015,7,12,1
2,6,20,1,2015,10,39,1
2,2,20,1,2015,8,0,1
1,4,19,1,2015,20,38,1
1,3,19,1,2015,12,47,1
1,2,19,1,2015,3,0,1
1,7,19,1,2015,0,50,1
7,6,11,1,2015,9,31,1
7,2,11,1,2015,2,6,1
6,1,10,1,2015,23,25,1
6,5,10,1,2015,22,40,1
5,4,9,1,2015,15,45,1
5,10,9,1,2015,12,20,1
4,10,8,1,2015,15,5,1
4,2,8,1,2015,7,22,1
3,4,7,1,2015,10,10,1
3,2,7,1,2015,8,50,1
1,3,5,1,2015,14,30,1
1,2,5,1,2015,11,20,1
1,10,5,1,2015,5,56,1
7,10,28,12,2014,11,15,1
6,10,27,12,2014,2,3,1
3,5,24,12,2014,9,37,1
2,4,23,12,2014,21,0,1
3,5,10,12,2014,9,0,1
2,4,9,12,2014,0,35,1
1,2,8,12,2014,8,30,1
1,8,8,12,2014,1,51,1
7,10,30,11,2014,19,0,1
7,10,30,11,2014,16,34,1
6,5,29,11,2014,23,29,1
6,10,29,11,2014,11,15,1
3,2,26,11,2014,21,41,1
3,6,26,11,2014,0,15,1
7,4,16,11,2014,23,15,1
7,3,16,11,2014,16,35,1
4,8,13,11,2014,19,0,1
4,4,13,11,2014,16,22,1
4,5,13,11,2014,8,16,1
2,5,11,11,2014,9,0,1
5,4,31,10,2014,20,55,1
5,4,31,10,2014,1,37,1
4,4,30,10,2014,22,15,1
3,1,29,10,2014,22,0,1
5,10,17,10,2014,3,56,1
4,5,16,10,2014,7,30,1
3,2,15,10,2014,21,40,1
3,5,15,10,2014,17,16,1
1,2,13,10,2014,9,35,1
7,4,5,10,2014,23,45,1
6,3,4,10,2014,19,10,1
5,5,3,10,2014,2,0,1
4,5,2,10,2014,13,35,1
4,1,2,10,2014,11,46,1
4,5,2,10,2014,10,15,1
4,4,2,10,2014,0,26,1
2,8,30,9,2014,19,37,1
2,6,30,9,2014,18,46,1
1,4,29,9,2014,22,30,1
1,4,29,9,2014,18,32,1
3,2,17,9,2014,8,42,1
3,2,17,9,2014,8,25,1
3,2,17,9,2014,7,34,1
1,10,15,9,2014,1,40,1
6,7,6,9,2014,0,11,1
5,6,5,9,2014,1,20,1
3,2,3,9,2014,1,0,1
1,1,1,9,2014,21,0,1
7,2,24,8,2014,22,50,1
6,5,23,8,2014,8,59,1
5,3,22,8,2014,7,30,1
3,4,20,8,2014,13,17,1
3,1,20,8,2014,9,28,1
3,2,20,8,2014,8,32,1
2,2,19,8,2014,14,30,1
1,8,18,8,2014,9,0,1
6,4,9,8,2014,22,21,1
3,10,6,8,2014,21,0,1
2,9,5,8,2014,19,25,1
7,4,27,7,2014,22,30,1
7,4,27,7,2014,18,0,1
7,4,27,7,2014,12,15,1
6,2,26,7,2014,17,15,1
6,5,26,7,2014,1,0,1
5,3,25,7,2014,18,56,1
5,4,25,7,2014,11,35,1
3,3,23,7,2014,20,31,1
3,2,23,7,2014,20,13,1
3,3,23,7,2014,18,35,1
3,4,23,7,2014,17,54,1
2,1,22,7,2014,22,40,1
2,5,22,7,2014,12,35,1
1,2,21,7,2014,16,31,1
1,7,21,7,2014,8,0,1
1,4,21,7,2014,0,1,1
5,1,11,7,2014,13,0,1
5,1,11,7,2014,1,0,1
