"day","location","date","month","year","hour","min","EMBEZZLEMENT"
4,3,30,4,2015,18,0,1
1,7,13,4,2015,11,30,1
2,10,31,3,2015,14,30,1
6,8,21,3,2015,0,1,1
7,2,8,3,2015,14,23,1
4,4,5,3,2015,20,49,1
4,2,5,3,2015,12,26,1
3,3,4,3,2015,11,21,1
6,1,21,2,2015,10,35,1
4,1,19,2,2015,19,32,1
4,8,19,2,2015,11,0,1
1,1,16,2,2015,19,30,1
1,2,16,2,2015,19,6,1
7,10,8,2,2015,22,0,1
1,8,2,2,2015,12,0,1
1,2,2,2,2015,11,6,1
5,5,23,1,2015,23,0,1
3,3,21,1,2015,7,30,1
1,2,19,1,2015,8,0,1
6,2,27,12,2014,17,30,1
2,1,23,12,2014,12,0,1
2,8,23,12,2014,11,0,1
6,2,13,12,2014,14,42,1
5,10,12,12,2014,19,7,1
3,6,10,12,2014,21,14,1
3,2,10,12,2014,12,0,1
7,9,30,11,2014,12,0,1
6,2,29,11,2014,12,0,1
2,9,25,11,2014,3,3,1
5,7,14,11,2014,0,15,1
1,4,10,11,2014,0,1,1
6,5,1,11,2014,12,0,1
3,10,29,10,2014,14,0,1
2,4,28,10,2014,20,30,1
1,9,27,10,2014,8,0,1
7,10,19,10,2014,0,1,1
7,9,5,10,2014,14,0,1
6,3,4,10,2014,15,30,1
5,2,3,10,2014,20,33,1
5,2,3,10,2014,0,1,1
4,1,2,10,2014,11,0,1
7,1,21,9,2014,13,7,1
4,1,18,9,2014,15,45,1
3,2,17,9,2014,17,44,1
3,10,17,9,2014,8,0,1
1,1,15,9,2014,12,0,1
5,2,5,9,2014,15,0,1
5,3,5,9,2014,8,49,1
1,1,1,9,2014,12,0,1
1,4,1,9,2014,11,0,1
1,8,1,9,2014,9,30,1
4,9,21,8,2014,8,0,1
3,2,20,8,2014,3,29,1
5,2,8,8,2014,9,0,1
4,3,7,8,2014,23,59,1
2,1,5,8,2014,9,0,1
1,2,4,8,2014,15,30,1
1,3,4,8,2014,9,0,1
6,3,26,7,2014,10,17,1
2,2,22,7,2014,12,30,1
5,5,11,7,2014,19,53,1
5,10,11,7,2014,14,50,1
5,5,11,7,2014,9,11,1
4,3,10,7,2014,12,39,1
4,8,10,7,2014,12,0,1
1,1,7,7,2014,21,2,1
1,3,23,6,2014,12,0,1
1,2,23,6,2014,12,0,1
7,1,15,6,2014,12,0,1
2,9,10,6,2014,15,0,1
1,2,9,6,2014,16,2,1
7,1,1,6,2014,17,0,1
7,9,1,6,2014,8,0,1
7,3,18,5,2014,0,1,1
4,1,15,5,2014,0,1,1
3,2,14,5,2014,12,0,1
2,3,13,5,2014,10,0,1
1,2,12,5,2014,17,0,1
5,2,2,5,2014,11,35,1
4,7,1,5,2014,0,1,1
4,10,1,5,2014,0,1,1
4,10,1,5,2014,0,1,1
3,9,30,4,2014,12,0,1
1,5,28,4,2014,8,30,1
1,4,28,4,2014,8,30,1
4,2,17,4,2014,21,5,1
3,2,16,4,2014,8,0,1
4,1,3,4,2014,12,0,1
4,5,20,3,2014,22,30,1
1,5,17,3,2014,14,51,1
3,2,5,3,2014,21,40,1
3,1,5,3,2014,9,0,1
1,3,3,3,2014,19,2,1
6,3,8,2,2014,12,0,1
5,9,24,1,2014,0,1,1
2,2,21,1,2014,13,0,1
4,3,9,1,2014,14,0,1
3,1,8,1,2014,0,1,1
1,10,6,1,2014,11,0,1
6,2,28,12,2013,11,4,1
5,2,27,12,2013,0,1,1
4,2,26,12,2013,12,0,1
2,9,24,12,2013,9,17,1
1,2,23,12,2013,22,40,1
1,2,23,12,2013,16,55,1
7,5,15,12,2013,18,15,1
7,5,15,12,2013,0,1,1
2,1,10,12,2013,9,30,1
1,9,9,12,2013,18,55,1
1,4,9,12,2013,9,0,1
1,1,9,12,2013,0,1,1
7,5,1,12,2013,8,0,1
5,2,29,11,2013,11,54,1
1,5,25,11,2013,0,1,1
1,3,25,11,2013,0,1,1
6,6,2,11,2013,12,0,1
5,1,1,11,2013,9,0,1
5,7,1,11,2013,0,1,1
1,2,28,10,2013,10,36,1
7,4,20,10,2013,17,0,1
7,4,6,10,2013,13,0,1
7,4,6,10,2013,13,0,1
5,3,4,10,2013,7,15,1
3,9,2,10,2013,15,30,1
2,6,1,10,2013,8,0,1
2,2,1,10,2013,7,0,1
2,5,1,10,2013,0,1,1
3,7,18,9,2013,17,0,1
4,1,5,9,2013,0,1,1
2,4,3,9,2013,11,30,1
4,2,22,8,2013,19,53,1
4,7,22,8,2013,8,0,1
1,5,19,8,2013,0,1,1
5,4,9,8,2013,12,0,1
5,5,9,8,2013,9,0,1
7,8,28,7,2013,15,0,1
2,10,23,7,2013,9,0,1
2,10,23,7,2013,0,1,1
5,5,28,6,2013,0,1,1
4,2,27,6,2013,7,21,1
3,5,26,6,2013,11,0,1
1,1,24,6,2013,9,0,1
5,7,14,6,2013,15,27,1
6,1,1,6,2013,0,1,1
6,1,1,6,2013,0,1,1
5,1,31,5,2013,14,10,1
3,2,15,5,2013,0,1,1
1,2,13,5,2013,14,10,1
1,5,13,5,2013,10,43,1
5,4,3,5,2013,22,14,1
3,5,1,5,2013,0,1,1
1,4,29,4,2013,9,30,1
6,1,20,4,2013,13,0,1
5,10,19,4,2013,18,15,1
5,1,19,4,2013,14,0,1
3,2,17,4,2013,23,15,1
2,2,16,4,2013,0,1,1
1,3,15,4,2013,10,0,1
5,3,5,4,2013,0,1,1
1,5,1,4,2013,12,0,1
1,1,1,4,2013,0,1,1
1,5,1,4,2013,0,1,1
5,2,22,3,2013,10,32,1
4,4,21,3,2013,15,0,1
3,3,20,3,2013,9,24,1
6,2,9,3,2013,13,30,1
1,2,4,3,2013,12,30,1
5,5,22,2,2013,0,1,1
5,2,8,2,2013,16,20,1
5,4,8,2,2013,11,0,1
4,2,7,2,2013,10,30,1
2,7,5,2,2013,17,0,1
3,2,26,12,2012,16,0,1
4,1,13,12,2012,16,30,1
4,4,13,12,2012,10,5,1
3,7,12,12,2012,16,30,1
2,9,11,12,2012,9,0,1
6,4,1,12,2012,0,1,1
7,1,18,11,2012,9,0,1
7,10,18,11,2012,0,1,1
6,5,17,11,2012,12,0,1
5,2,16,11,2012,12,0,1
3,5,14,11,2012,12,0,1
3,2,14,11,2012,10,0,1
7,2,4,11,2012,20,20,1
4,2,1,11,2012,0,1,1
6,3,20,10,2012,14,0,1
5,9,19,10,2012,0,1,1
1,8,15,10,2012,12,0,1
6,2,6,10,2012,12,0,1
2,4,2,10,2012,23,0,1
1,5,1,10,2012,9,0,1
1,2,1,10,2012,9,0,1
1,1,1,10,2012,0,1,1
6,10,22,9,2012,14,45,1
5,4,21,9,2012,0,1,1
4,9,20,9,2012,17,35,1
4,9,20,9,2012,17,35,1
3,1,19,9,2012,18,0,1
4,6,9,8,2012,9,0,1
4,5,9,8,2012,8,0,1
3,8,8,8,2012,0,1,1
1,9,6,8,2012,0,1,1
5,8,27,7,2012,12,0,1
4,10,26,7,2012,10,45,1
3,4,25,7,2012,12,0,1
1,5,23,7,2012,13,19,1
1,3,23,7,2012,10,15,1
6,10,14,7,2012,21,42,1
6,2,14,7,2012,19,0,1
5,3,13,7,2012,14,0,1
2,4,10,7,2012,13,30,1
1,2,9,7,2012,21,0,1
1,4,9,7,2012,13,0,1
7,5,1,7,2012,12,0,1
7,1,1,7,2012,8,0,1
4,9,28,6,2012,12,0,1
4,8,28,6,2012,10,0,1
1,5,25,6,2012,0,1,1
5,9,15,6,2012,14,0,1
3,8,13,6,2012,20,0,1
2,9,12,6,2012,16,0,1
5,2,1,6,2012,14,0,1
5,2,1,6,2012,12,0,1
5,2,1,6,2012,0,1,1
3,4,30,5,2012,19,0,1
6,9,5,5,2012,9,30,1
2,1,1,5,2012,12,0,1
2,2,1,5,2012,9,0,1
1,2,30,4,2012,17,0,1
1,10,30,4,2012,12,18,1
1,4,16,4,2012,14,40,1
7,2,8,4,2012,16,0,1
6,5,7,4,2012,22,0,1
5,4,23,3,2012,23,3,1
5,1,9,3,2012,12,56,1
4,6,8,3,2012,12,0,1
4,1,8,3,2012,0,1,1
3,9,22,2,2012,18,0,1
1,8,20,2,2012,16,30,1
7,1,12,2,2012,5,18,1
6,1,28,1,2012,18,0,1
1,7,23,1,2012,12,0,1
1,4,23,1,2012,8,5,1
6,1,14,1,2012,0,1,1
4,8,12,1,2012,12,0,1
2,3,10,1,2012,11,56,1
1,5,9,1,2012,14,4,1
7,1,1,1,2012,9,0,1
7,1,1,1,2012,9,0,1
7,2,1,1,2012,0,1,1
7,2,1,1,2012,0,1,1
7,10,1,1,2012,0,1,1
6,8,31,12,2011,18,0,1
5,10,30,12,2011,11,34,1
3,1,28,12,2011,19,36,1
3,1,28,12,2011,12,0,1
6,4,17,12,2011,9,0,1
5,7,16,12,2011,12,0,1
2,3,13,12,2011,12,5,1
1,2,12,12,2011,12,17,1
7,3,4,12,2011,15,39,1
3,9,30,11,2011,19,8,1
1,10,28,11,2011,15,33,1
1,2,28,11,2011,8,0,1
6,1,19,11,2011,19,35,1
5,1,18,11,2011,18,58,1
4,4,17,11,2011,12,0,1
6,4,5,11,2011,0,1,1
5,1,4,11,2011,14,0,1
3,7,2,11,2011,9,0,1
2,1,1,11,2011,12,0,1
2,3,1,11,2011,11,52,1
2,5,1,11,2011,10,31,1
5,5,21,10,2011,0,1,1
3,2,19,10,2011,14,0,1
6,10,8,10,2011,14,39,1
5,9,7,10,2011,12,0,1
7,2,25,9,2011,0,1,1
5,5,23,9,2011,12,0,1
6,7,10,9,2011,18,0,1
2,1,6,9,2011,11,0,1
7,9,14,8,2011,12,0,1
7,2,14,8,2011,0,1,1
6,9,13,8,2011,8,0,1
5,10,12,8,2011,14,37,1
5,2,12,8,2011,10,40,1
5,1,29,7,2011,13,42,1
1,10,25,7,2011,10,20,1
5,9,15,7,2011,8,0,1
1,2,11,7,2011,0,1,1
5,7,1,7,2011,0,1,1
4,2,30,6,2011,12,0,1
1,9,27,6,2011,18,30,1
1,9,27,6,2011,10,24,1
2,10,14,6,2011,12,13,1
5,2,3,6,2011,19,30,1
4,3,2,6,2011,0,1,1
3,4,1,6,2011,17,0,1
3,9,1,6,2011,9,0,1
2,2,31,5,2011,1,0,1
7,4,22,5,2011,15,0,1
6,6,21,5,2011,19,30,1
6,10,21,5,2011,12,9,1
5,5,20,5,2011,12,0,1
5,4,6,5,2011,21,20,1
5,2,6,5,2011,12,0,1
3,1,4,5,2011,16,30,1
1,8,2,5,2011,12,0,1
6,1,23,4,2011,13,30,1
6,4,23,4,2011,7,8,1
5,10,22,4,2011,11,0,1
4,2,21,4,2011,18,0,1
3,1,20,4,2011,12,0,1
6,4,9,4,2011,18,7,1
4,4,7,4,2011,12,0,1
1,2,4,4,2011,12,0,1
5,4,25,3,2011,0,1,1
6,6,12,3,2011,13,0,1
5,1,11,3,2011,0,1,1
5,1,25,2,2011,12,0,1
2,4,22,2,2011,10,40,1
1,10,21,2,2011,18,4,1
5,8,11,2,2011,0,1,1
4,2,10,2,2011,14,0,1
3,3,9,2,2011,1,29,1
2,3,8,2,2011,23,30,1
5,6,28,1,2011,23,42,1
2,9,25,1,2011,15,0,1
2,10,11,1,2011,15,57,1
2,6,11,1,2011,8,0,1
6,2,1,1,2011,17,14,1
6,5,1,1,2011,0,1,1
6,1,1,1,2011,0,1,1
6,4,1,1,2011,0,1,1
6,3,1,1,2011,0,1,1
6,1,1,1,2011,0,1,1
1,3,27,12,2010,17,55,1
1,8,27,12,2010,12,0,1
1,4,13,12,2010,22,5,1
1,2,13,12,2010,12,0,1
6,1,4,12,2010,20,0,1
5,1,3,12,2010,14,0,1
4,5,2,12,2010,8,0,1
2,6,30,11,2010,17,0,1
2,1,30,11,2010,8,0,1
2,1,30,11,2010,8,0,1
1,2,29,11,2010,16,0,1
1,10,29,11,2010,10,0,1
7,9,21,11,2010,12,0,1
2,2,16,11,2010,20,56,1
7,6,7,11,2010,12,0,1
1,1,1,11,2010,9,0,1
1,9,1,11,2010,8,0,1
3,1,20,10,2010,9,0,1
2,5,19,10,2010,9,22,1
1,5,18,10,2010,0,1,1
7,1,10,10,2010,17,35,1
7,2,10,10,2010,12,0,1
6,2,9,10,2010,12,29,1
5,2,24,9,2010,12,0,1
1,4,20,9,2010,12,0,1
4,2,9,9,2010,12,0,1
4,2,9,9,2010,0,1,1
5,2,27,8,2010,20,17,1
2,9,24,8,2010,14,0,1
2,1,24,8,2010,12,0,1
3,2,11,8,2010,19,30,1
2,10,10,8,2010,8,0,1
7,2,1,8,2010,8,0,1
7,3,1,8,2010,0,1,1
5,2,30,7,2010,12,0,1
6,2,17,7,2010,8,0,1
6,8,17,7,2010,0,1,1
5,2,16,7,2010,17,0,1
3,4,14,7,2010,8,0,1
1,10,12,7,2010,22,15,1
4,4,1,7,2010,12,0,1
3,2,16,6,2010,18,0,1
6,8,5,6,2010,16,0,1
2,4,1,6,2010,13,30,1
2,8,1,6,2010,12,0,1
2,4,1,6,2010,10,0,1
2,5,1,6,2010,0,1,1
