"day","location","date","month","year","hour","min","FAMILYOFFENSES"
1,8,11,5,2015,18,58,1
7,2,5,4,2015,14,15,1
5,4,20,3,2015,21,15,1
7,4,8,3,2015,11,13,1
5,4,20,2,2015,13,35,1
1,3,16,2,2015,13,2,1
1,1,2,2,2015,23,40,1
1,1,2,2,2015,23,40,1
1,1,2,2,2015,23,40,1
4,4,8,1,2015,16,29,1
3,2,7,1,2015,4,37,1
5,10,26,12,2014,21,59,1
1,8,8,12,2014,17,45,1
5,9,17,10,2014,7,30,1
6,8,4,10,2014,19,45,1
4,1,2,10,2014,15,45,1
3,10,1,10,2014,19,29,1
5,10,19,9,2014,16,32,1
4,3,7,8,2014,17,5,1
3,4,6,8,2014,21,10,1
2,8,5,8,2014,23,30,1
6,8,26,7,2014,0,1,1
4,9,24,7,2014,17,22,1
4,4,24,7,2014,16,27,1
1,4,21,7,2014,10,27,1
6,1,28,6,2014,14,30,1
5,4,27,6,2014,15,59,1
5,3,13,6,2014,12,30,1
2,4,10,6,2014,20,22,1
5,4,16,5,2014,14,0,1
1,4,12,5,2014,17,0,1
5,4,18,4,2014,15,57,1
4,10,3,4,2014,16,30,1
3,4,2,4,2014,15,45,1
2,9,1,4,2014,21,46,1
1,4,31,3,2014,15,18,1
5,9,21,3,2014,10,40,1
2,4,18,3,2014,15,30,1
1,8,17,3,2014,0,1,1
6,4,22,2,2014,16,18,1
5,4,21,2,2014,11,11,1
3,4,19,2,2014,18,30,1
2,8,18,2,2014,17,31,1
5,8,7,2,2014,8,10,1
5,10,10,1,2014,13,16,1
2,8,7,1,2014,12,55,1
7,2,29,12,2013,17,54,1
3,6,25,12,2013,2,0,1
6,2,14,12,2013,17,47,1
7,1,17,11,2013,13,30,1
7,1,17,11,2013,13,30,1
7,1,17,11,2013,13,30,1
6,10,16,11,2013,13,48,1
4,4,14,11,2013,16,23,1
3,7,13,11,2013,12,15,1
3,3,30,10,2013,16,30,1
3,4,30,10,2013,11,5,1
1,2,28,10,2013,18,4,1
4,4,17,10,2013,18,20,1
2,10,15,10,2013,20,0,1
2,4,17,9,2013,15,5,1
2,3,3,9,2013,16,0,1
5,4,26,7,2013,16,33,1
4,9,25,7,2013,8,45,1
2,4,23,7,2013,17,30,1
4,4,27,6,2013,13,1,1
3,7,12,6,2013,9,0,1
6,4,1,6,2013,0,1,1
3,4,29,5,2013,14,56,1
3,4,15,5,2013,13,17,1
3,4,15,5,2013,10,28,1
7,10,5,5,2013,1,30,1
6,4,4,5,2013,21,40,1
3,4,1,5,2013,15,13,1
1,4,29,4,2013,7,57,1
5,4,19,4,2013,15,15,1
5,4,19,4,2013,15,15,1
5,3,5,4,2013,11,28,1
4,4,21,3,2013,14,20,1
2,10,5,3,2013,13,44,1
4,2,7,2,2013,23,52,1
2,4,22,1,2013,9,50,1
2,4,22,1,2013,9,50,1
5,4,28,12,2012,16,40,1
1,3,24,12,2012,11,0,1
3,3,12,12,2012,2,0,1
2,4,11,12,2012,15,7,1
1,4,10,12,2012,15,56,1
1,4,10,12,2012,15,56,1
3,4,28,11,2012,13,40,1
6,9,17,11,2012,10,0,1
4,4,18,10,2012,15,15,1
1,10,15,10,2012,0,30,1
3,4,3,10,2012,13,3,1
5,4,21,9,2012,16,33,1
5,4,7,9,2012,11,27,1
3,4,5,9,2012,12,19,1
1,1,3,9,2012,1,1,1
7,6,26,8,2012,19,10,1
6,7,25,8,2012,18,0,1
6,4,25,8,2012,13,44,1
4,4,23,8,2012,15,15,1
3,8,22,8,2012,12,2,1
2,4,21,8,2012,15,0,1
1,4,20,8,2012,19,48,1
3,4,8,8,2012,18,40,1
2,9,7,8,2012,10,0,1
6,5,14,7,2012,20,20,1
4,4,12,7,2012,18,41,1
3,8,27,6,2012,7,15,1
1,3,25,6,2012,1,6,1
7,3,3,6,2012,11,0,1
7,4,22,4,2012,15,26,1
4,8,19,4,2012,11,34,1
3,8,18,4,2012,13,0,1
3,5,4,4,2012,19,0,1
3,8,4,4,2012,13,0,1
4,10,22,3,2012,16,43,1
1,4,19,3,2012,15,20,1
6,1,28,1,2012,18,37,1
1,6,23,1,2012,1,15,1
4,8,12,1,2012,14,40,1
3,4,28,12,2011,15,21,1
5,4,2,12,2011,15,48,1
7,8,20,11,2011,19,0,1
2,4,15,11,2011,15,55,1
1,7,31,10,2011,15,23,1
1,4,17,10,2011,11,50,1
7,8,9,10,2011,14,46,1
5,4,7,10,2011,11,0,1
5,4,7,10,2011,10,0,1
6,1,24,9,2011,15,1,1
4,8,22,9,2011,20,14,1
2,4,20,9,2011,9,55,1
6,4,10,9,2011,11,43,1
5,4,9,9,2011,19,20,1
6,3,27,8,2011,14,0,1
4,7,25,8,2011,13,44,1
2,1,28,6,2011,12,0,1
2,3,31,5,2011,15,27,1
5,6,6,5,2011,14,38,1
2,3,19,4,2011,7,35,1
4,7,7,4,2011,11,10,1
4,7,7,4,2011,11,10,1
2,8,22,3,2011,15,30,1
5,2,11,3,2011,7,0,1
6,3,12,2,2011,4,30,1
