"day","location","date","month","year","hour","min","RUNAWAY"
3,8,13,5,2015,9,0,1
1,7,11,5,2015,11,45,1
3,2,29,4,2015,18,0,1
2,2,28,4,2015,20,0,1
3,10,15,4,2015,12,25,1
2,6,14,4,2015,8,0,1
1,8,13,4,2015,7,30,1
6,4,4,4,2015,1,15,1
4,7,2,4,2015,7,0,1
7,4,22,3,2015,14,5,1
5,5,20,3,2015,14,45,1
2,1,17,3,2015,21,30,1
1,8,16,3,2015,22,25,1
1,6,16,3,2015,8,30,1
1,6,16,3,2015,8,30,1
5,8,6,3,2015,6,0,1
5,3,6,2,2015,16,0,1
3,8,4,2,2015,7,0,1
1,2,2,2,2015,8,0,1
6,9,24,1,2015,17,0,1
4,4,22,1,2015,12,22,1
3,10,21,1,2015,14,0,1
2,6,20,1,2015,18,59,1
2,3,20,1,2015,10,55,1
1,2,19,1,2015,18,15,1
4,7,8,1,2015,10,0,1
5,3,26,12,2014,21,30,1
5,8,26,12,2014,5,0,1
2,5,23,12,2014,19,51,1
5,9,12,12,2014,0,1,1
4,6,27,11,2014,14,30,1
6,2,15,11,2014,18,30,1
5,2,31,10,2014,18,0,1
5,10,31,10,2014,18,0,1
5,4,31,10,2014,16,30,1
4,5,30,10,2014,6,30,1
6,5,18,10,2014,12,0,1
5,4,17,10,2014,18,20,1
4,6,16,10,2014,23,0,1
4,4,16,10,2014,13,36,1
4,3,16,10,2014,12,0,1
3,2,15,10,2014,17,45,1
3,6,15,10,2014,4,0,1
2,3,14,10,2014,10,30,1
2,5,30,9,2014,7,15,1
1,6,29,9,2014,10,0,1
6,9,20,9,2014,8,24,1
5,3,19,9,2014,16,0,1
5,3,19,9,2014,7,50,1
3,8,17,9,2014,20,29,1
3,1,17,9,2014,19,0,1
2,8,16,9,2014,20,12,1
6,6,6,9,2014,10,0,1
5,4,5,9,2014,14,45,1
1,6,1,9,2014,22,0,1
1,4,1,9,2014,17,50,1
1,4,1,9,2014,12,55,1
6,7,9,8,2014,20,29,1
5,3,8,8,2014,15,5,1
5,3,8,8,2014,15,5,1
3,9,6,8,2014,2,0,1
7,4,27,7,2014,14,25,1
7,9,27,7,2014,8,0,1
6,4,26,7,2014,12,30,1
4,4,24,7,2014,11,30,1
4,4,24,7,2014,11,16,1
7,4,13,7,2014,21,30,1
7,4,13,7,2014,15,45,1
5,4,11,7,2014,16,50,1
4,4,10,7,2014,15,0,1
3,6,9,7,2014,11,30,1
1,6,7,7,2014,20,30,1
7,5,29,6,2014,0,45,1
5,7,27,6,2014,8,0,1
2,9,24,6,2014,22,20,1
1,4,23,6,2014,21,30,1
7,9,15,6,2014,13,0,1
6,8,14,6,2014,9,55,1
2,8,10,6,2014,16,24,1
2,8,10,6,2014,0,32,1
1,9,9,6,2014,22,30,1
1,8,9,6,2014,0,2,1
7,4,1,6,2014,10,59,1
7,4,1,6,2014,1,30,1
6,2,31,5,2014,18,10,1
5,4,30,5,2014,21,5,1
5,9,30,5,2014,8,0,1
2,4,27,5,2014,21,50,1
