"day","location","date","month","year","hour","min","SECONDARYCODES"
3,1,13,5,2015,17,45,1
3,2,13,5,2015,15,46,1
3,3,13,5,2015,12,30,1
3,8,13,5,2015,9,40,1
3,5,13,5,2015,5,25,1
2,1,12,5,2015,22,0,1
2,8,12,5,2015,16,5,1
2,1,12,5,2015,6,0,1
2,3,12,5,2015,3,15,1
1,10,11,5,2015,20,55,1
1,4,11,5,2015,18,18,1
1,4,11,5,2015,17,44,1
1,4,11,5,2015,15,44,1
1,9,11,5,2015,14,9,1
7,2,3,5,2015,19,30,1
7,10,3,5,2015,17,36,1
7,1,3,5,2015,1,52,1
6,3,2,5,2015,18,25,1
6,5,2,5,2015,18,15,1
6,4,2,5,2015,13,30,1
6,2,2,5,2015,12,0,1
6,5,2,5,2015,10,40,1
6,6,2,5,2015,6,0,1
6,4,2,5,2015,2,40,1
5,4,1,5,2015,14,30,1
5,5,1,5,2015,12,20,1
5,8,1,5,2015,10,0,1
5,7,1,5,2015,9,30,1
5,10,1,5,2015,0,1,1
4,3,30,4,2015,18,35,1
4,7,30,4,2015,17,0,1
4,2,30,4,2015,16,0,1
4,5,30,4,2015,15,0,1
4,10,30,4,2015,14,0,1
3,8,29,4,2015,15,0,1
3,8,29,4,2015,11,0,1
3,2,29,4,2015,10,30,1
3,7,29,4,2015,10,30,1
3,5,29,4,2015,10,19,1
3,9,29,4,2015,10,0,1
3,9,29,4,2015,9,19,1
3,7,29,4,2015,4,9,1
2,9,28,4,2015,12,40,1
2,2,28,4,2015,10,30,1
2,6,28,4,2015,7,55,1
1,9,27,4,2015,12,0,1
1,9,27,4,2015,11,25,1
7,2,19,4,2015,13,25,1
7,4,19,4,2015,9,51,1
7,3,19,4,2015,4,15,1
6,8,18,4,2015,22,23,1
6,5,18,4,2015,13,30,1
6,1,18,4,2015,6,14,1
6,2,18,4,2015,2,30,1
6,10,18,4,2015,2,0,1
6,1,18,4,2015,1,0,1
5,4,17,4,2015,23,40,1
5,5,17,4,2015,20,26,1
5,8,17,4,2015,20,10,1
5,3,17,4,2015,19,30,1
5,4,17,4,2015,19,0,1
5,8,17,4,2015,18,30,1
5,8,17,4,2015,13,0,1
5,6,17,4,2015,10,0,1
4,4,16,4,2015,20,37,1
4,4,16,4,2015,18,20,1
4,4,16,4,2015,17,0,1
4,8,16,4,2015,15,2,1
4,8,16,4,2015,15,0,1
4,4,16,4,2015,13,15,1
4,1,16,4,2015,12,24,1
4,5,16,4,2015,11,15,1
4,8,16,4,2015,10,40,1
4,7,16,4,2015,8,30,1
4,2,16,4,2015,2,29,1
4,3,16,4,2015,0,1,1
3,9,15,4,2015,20,30,1
3,5,15,4,2015,19,20,1
3,9,15,4,2015,17,0,1
3,3,15,4,2015,11,0,1
3,8,15,4,2015,11,0,1
2,8,14,4,2015,22,18,1
2,7,14,4,2015,20,30,1
2,3,14,4,2015,17,0,1
2,8,14,4,2015,4,0,1
1,1,13,4,2015,23,32,1
1,8,13,4,2015,18,0,1
1,8,13,4,2015,12,30,1
1,4,13,4,2015,0,1,1
7,4,5,4,2015,15,2,1
7,8,5,4,2015,15,0,1
7,5,5,4,2015,14,32,1
7,8,5,4,2015,12,18,1
7,3,5,4,2015,11,45,1
7,9,5,4,2015,8,30,1
6,8,4,4,2015,21,45,1
6,8,4,4,2015,11,30,1
6,3,4,4,2015,11,24,1
5,9,3,4,2015,20,0,1
5,9,3,4,2015,20,0,1
5,2,3,4,2015,18,30,1
5,3,3,4,2015,18,5,1
5,9,3,4,2015,18,0,1
5,2,3,4,2015,17,0,1
5,4,3,4,2015,16,30,1
5,8,3,4,2015,14,0,1
5,4,3,4,2015,8,20,1
5,6,3,4,2015,6,0,1
5,9,3,4,2015,1,15,1
4,10,2,4,2015,23,0,1
4,3,2,4,2015,21,30,1
4,6,2,4,2015,13,30,1
4,6,2,4,2015,12,0,1
4,3,2,4,2015,8,0,1
4,7,2,4,2015,7,0,1
4,9,2,4,2015,0,1,1
3,3,1,4,2015,17,0,1
3,8,1,4,2015,15,10,1
3,2,1,4,2015,13,30,1
3,2,1,4,2015,12,29,1
3,3,1,4,2015,7,14,1
2,4,31,3,2015,20,0,1
2,6,31,3,2015,13,45,1
2,1,31,3,2015,10,30,1
2,2,31,3,2015,10,0,1
2,8,31,3,2015,0,1,1
1,9,30,3,2015,17,25,1
1,6,30,3,2015,16,24,1
1,6,30,3,2015,15,8,1
7,8,22,3,2015,18,35,1
7,7,22,3,2015,2,5,1
7,2,22,3,2015,2,0,1
7,3,22,3,2015,0,45,1
6,1,21,3,2015,21,10,1
6,4,21,3,2015,20,12,1
6,10,21,3,2015,18,3,1
6,5,21,3,2015,5,35,1
5,3,20,3,2015,23,0,1
5,6,20,3,2015,16,0,1
5,1,20,3,2015,11,20,1
5,8,20,3,2015,11,0,1
5,9,20,3,2015,10,40,1
4,5,19,3,2015,22,50,1
4,8,19,3,2015,20,0,1
4,10,19,3,2015,18,52,1
4,3,19,3,2015,17,0,1
4,8,19,3,2015,10,0,1
4,4,19,3,2015,2,0,1
3,3,18,3,2015,20,0,1
3,8,18,3,2015,15,35,1
3,10,18,3,2015,15,0,1
3,9,18,3,2015,13,15,1
3,8,18,3,2015,10,30,1
3,8,18,3,2015,2,30,1
3,9,18,3,2015,2,11,1
2,7,17,3,2015,20,30,1
2,4,17,3,2015,12,55,1
2,8,17,3,2015,12,0,1
2,9,17,3,2015,9,0,1
2,9,17,3,2015,1,30,1
2,9,17,3,2015,1,0,1
2,8,17,3,2015,0,35,1
1,4,16,3,2015,21,0,1
1,4,16,3,2015,19,4,1
1,4,16,3,2015,15,0,1
7,3,8,3,2015,18,20,1
7,3,8,3,2015,17,28,1
7,9,8,3,2015,17,1,1
7,6,8,3,2015,11,0,1
7,4,8,3,2015,10,0,1
7,5,8,3,2015,7,40,1
7,8,8,3,2015,4,0,1
7,3,8,3,2015,0,30,1
6,5,7,3,2015,20,0,1
6,6,7,3,2015,4,30,1
6,9,7,3,2015,3,10,1
6,10,7,3,2015,0,1,1
5,9,6,3,2015,22,10,1
5,1,6,3,2015,16,35,1
5,2,6,3,2015,16,12,1
5,4,6,3,2015,15,9,1
5,9,6,3,2015,15,0,1
5,9,6,3,2015,13,43,1
5,9,6,3,2015,12,52,1
5,2,6,3,2015,11,0,1
5,8,6,3,2015,9,0,1
5,6,6,3,2015,7,0,1
5,8,6,3,2015,6,0,1
5,4,6,3,2015,6,0,1
4,8,5,3,2015,23,0,1
4,4,5,3,2015,21,45,1
4,1,5,3,2015,20,25,1
4,3,5,3,2015,20,10,1
4,5,5,3,2015,18,5,1
4,10,5,3,2015,18,0,1
4,10,5,3,2015,14,28,1
4,5,5,3,2015,11,16,1
4,2,5,3,2015,8,30,1
4,4,5,3,2015,5,0,1
4,9,5,3,2015,2,45,1
4,5,5,3,2015,0,1,1
3,2,4,3,2015,22,0,1
3,9,4,3,2015,14,0,1
3,3,4,3,2015,0,5,1
3,8,4,3,2015,0,1,1
2,1,3,3,2015,21,20,1
2,3,3,3,2015,17,14,1
2,8,3,3,2015,16,0,1
2,9,3,3,2015,15,52,1
2,9,3,3,2015,14,10,1
2,9,3,3,2015,6,10,1
2,10,3,3,2015,0,42,1
1,8,2,3,2015,23,41,1
1,6,2,3,2015,23,25,1
1,6,2,3,2015,20,52,1
1,10,2,3,2015,20,0,1
1,4,2,3,2015,19,24,1
1,1,2,3,2015,17,44,1
1,8,2,3,2015,17,0,1
1,10,2,3,2015,12,0,1
1,1,2,3,2015,10,20,1
7,3,22,2,2015,21,29,1
7,6,22,2,2015,21,0,1
7,2,22,2,2015,20,5,1
7,8,22,2,2015,17,19,1
7,2,22,2,2015,13,0,1
7,7,22,2,2015,12,30,1
7,8,22,2,2015,10,15,1
7,9,22,2,2015,4,51,1
7,1,22,2,2015,0,15,1
6,8,21,2,2015,22,45,1
6,10,21,2,2015,21,18,1
6,5,21,2,2015,17,55,1
6,9,21,2,2015,16,0,1
6,2,21,2,2015,14,30,1
6,3,21,2,2015,13,44,1
6,5,21,2,2015,12,59,1
6,9,21,2,2015,10,0,1
6,4,21,2,2015,9,30,1
6,1,21,2,2015,0,4,1
5,3,20,2,2015,23,15,1
5,3,20,2,2015,22,3,1
5,2,20,2,2015,12,20,1
5,2,20,2,2015,0,1,1
4,3,19,2,2015,18,45,1
4,3,19,2,2015,17,0,1
4,10,19,2,2015,10,0,1
4,8,19,2,2015,3,43,1
3,10,18,2,2015,22,30,1
3,2,18,2,2015,18,0,1
3,8,18,2,2015,17,55,1
3,2,18,2,2015,15,38,1
3,4,18,2,2015,15,10,1
3,9,18,2,2015,15,0,1
3,3,18,2,2015,13,30,1
3,8,18,2,2015,11,7,1
3,4,18,2,2015,6,45,1
3,2,18,2,2015,2,0,1
2,5,17,2,2015,21,30,1
2,8,17,2,2015,21,4,1
2,8,17,2,2015,20,29,1
2,5,17,2,2015,15,45,1
2,8,17,2,2015,15,30,1
2,4,17,2,2015,11,30,1
2,2,17,2,2015,9,0,1
2,8,17,2,2015,3,30,1
2,10,17,2,2015,0,25,1
2,4,17,2,2015,0,1,1
1,5,16,2,2015,15,10,1
1,8,16,2,2015,13,25,1
1,2,16,2,2015,13,0,1
1,8,16,2,2015,9,50,1
7,1,8,2,2015,23,0,1
7,10,8,2,2015,21,2,1
7,5,8,2,2015,20,17,1
7,1,8,2,2015,20,9,1
7,9,8,2,2015,9,0,1
7,8,8,2,2015,1,20,1
6,4,7,2,2015,23,30,1
6,3,7,2,2015,11,5,1
6,6,7,2,2015,10,55,1
5,3,6,2,2015,18,37,1
5,9,6,2,2015,14,45,1
5,7,6,2,2015,7,0,1
4,10,5,2,2015,17,25,1
4,5,5,2,2015,16,30,1
4,8,5,2,2015,12,0,1
4,5,5,2,2015,11,38,1
4,3,5,2,2015,7,0,1
4,5,5,2,2015,6,30,1
4,6,5,2,2015,3,15,1
3,8,4,2,2015,22,7,1
3,4,4,2,2015,18,50,1
3,2,4,2,2015,15,45,1
3,8,4,2,2015,8,53,1
3,3,4,2,2015,5,55,1
2,5,3,2,2015,18,30,1
2,3,3,2,2015,17,0,1
2,8,3,2,2015,14,30,1
2,10,3,2,2015,14,13,1
2,1,3,2,2015,13,15,1
2,3,3,2,2015,11,25,1
2,8,3,2,2015,9,0,1
2,8,3,2,2015,8,11,1
1,3,2,2,2015,22,46,1
1,10,2,2,2015,20,20,1
1,8,2,2,2015,20,0,1
1,8,2,2,2015,18,15,1
1,5,2,2,2015,16,0,1
1,4,2,2,2015,15,50,1
1,4,2,2,2015,14,30,1
1,7,2,2,2015,12,0,1
1,2,2,2,2015,11,0,1
1,3,2,2,2015,10,0,1
1,9,2,2,2015,9,36,1
1,9,2,2,2015,7,50,1
1,10,2,2,2015,0,20,1
1,2,2,2,2015,0,1,1
7,10,25,1,2015,21,24,1
7,1,25,1,2015,20,54,1
7,8,25,1,2015,18,26,1
7,4,25,1,2015,14,41,1
6,4,24,1,2015,17,26,1
6,3,24,1,2015,16,31,1
6,7,24,1,2015,2,45,1
6,2,24,1,2015,2,29,1
5,2,23,1,2015,22,15,1
5,2,23,1,2015,22,5,1
5,4,23,1,2015,20,19,1
5,10,23,1,2015,18,42,1
5,7,23,1,2015,15,36,1
5,1,23,1,2015,11,45,1
5,1,23,1,2015,4,0,1
4,8,22,1,2015,23,58,1
4,8,22,1,2015,22,46,1
4,4,22,1,2015,14,9,1
4,8,22,1,2015,13,41,1
4,3,22,1,2015,7,41,1
4,7,22,1,2015,4,21,1
3,5,21,1,2015,22,44,1
3,9,21,1,2015,14,10,1
3,9,21,1,2015,12,39,1
3,4,21,1,2015,11,43,1
3,8,21,1,2015,9,24,1
3,4,21,1,2015,5,10,1
2,3,20,1,2015,23,35,1
2,4,20,1,2015,16,47,1
2,8,20,1,2015,14,35,1
2,7,20,1,2015,10,0,1
2,4,20,1,2015,8,0,1
2,6,20,1,2015,7,30,1
1,3,19,1,2015,18,45,1
1,3,19,1,2015,16,50,1
1,2,19,1,2015,16,0,1
1,7,19,1,2015,13,0,1
1,2,19,1,2015,13,0,1
1,8,19,1,2015,11,0,1
1,2,19,1,2015,8,0,1
7,5,11,1,2015,20,25,1
7,2,11,1,2015,16,31,1
7,8,11,1,2015,16,11,1
7,2,11,1,2015,15,50,1
7,2,11,1,2015,15,50,1
7,10,11,1,2015,13,15,1
7,8,11,1,2015,13,14,1
7,1,11,1,2015,8,0,1
6,2,10,1,2015,19,6,1
6,5,10,1,2015,15,24,1
6,2,10,1,2015,15,8,1
6,3,10,1,2015,15,5,1
6,3,10,1,2015,14,15,1
6,4,10,1,2015,13,53,1
6,2,10,1,2015,12,3,1
6,1,10,1,2015,9,42,1
6,9,10,1,2015,5,0,1
6,8,10,1,2015,4,38,1
5,4,9,1,2015,21,0,1
5,10,9,1,2015,16,21,1
5,4,9,1,2015,15,54,1
5,8,9,1,2015,15,0,1
5,3,9,1,2015,8,0,1
4,3,8,1,2015,20,0,1
4,3,8,1,2015,20,0,1
4,4,8,1,2015,17,30,1
4,7,8,1,2015,8,40,1
3,10,7,1,2015,23,35,1
3,9,7,1,2015,7,18,1
3,5,7,1,2015,2,30,1
2,2,6,1,2015,22,45,1
2,8,6,1,2015,21,34,1
2,2,6,1,2015,19,36,1
2,4,6,1,2015,18,56,1
2,4,6,1,2015,11,0,1
1,3,5,1,2015,18,47,1
