"day","location","date","month","year","hour","min","SEXOFFENSESNONFORCIBLE"
2,4,14,4,2015,1,0,1
4,10,2,4,2015,23,0,1
3,9,18,3,2015,11,30,1
6,4,21,2,2015,19,0,1
4,3,18,9,2014,6,0,1
7,1,24,8,2014,9,0,1
2,6,19,8,2014,12,0,1
7,4,10,8,2014,20,0,1
4,10,7,8,2014,23,0,1
2,9,8,7,2014,14,0,1
4,8,29,5,2014,0,1,1
2,5,27,5,2014,14,22,1
2,1,27,5,2014,13,30,1
2,8,15,4,2014,9,36,1
1,8,17,2,2014,14,30,1
5,7,24,1,2014,2,57,1
7,9,1,12,2013,0,1,1
3,4,13,11,2013,12,0,1
5,8,1,11,2013,14,30,1
5,4,1,11,2013,0,1,1
4,3,5,9,2013,16,0,1
6,1,29,6,2013,6,0,1
5,3,31,5,2013,22,0,1
1,4,18,3,2013,17,0,1
1,4,4,3,2013,19,0,1
7,8,21,10,2012,10,0,1
1,6,20,8,2012,7,50,1
3,6,13,6,2012,11,0,1
5,2,18,5,2012,15,30,1
4,8,22,3,2012,11,0,1
2,2,20,3,2012,13,0,1
7,6,11,3,2012,8,0,1
2,4,21,2,2012,20,0,1
3,3,8,2,2012,0,33,1
6,4,14,1,2012,18,30,1
4,8,12,1,2012,15,0,1
3,8,11,1,2012,11,2,1
6,4,31,12,2011,0,1,1
4,1,1,12,2011,18,0,1
7,8,28,8,2011,16,0,1
6,8,13,8,2011,18,0,1
5,8,12,8,2011,12,0,1
1,4,11,7,2011,23,24,1
6,2,26,3,2011,14,0,1
3,9,23,2,2011,20,8,1
5,4,11,2,2011,19,0,1
3,8,26,1,2011,14,0,1
2,5,14,12,2010,5,50,1
2,8,16,11,2010,21,35,1
1,3,6,9,2010,9,16,1
7,7,15,8,2010,0,55,1
7,9,1,8,2010,12,0,1
5,3,30,7,2010,11,35,1
3,4,14,7,2010,15,0,1
6,2,3,7,2010,11,0,1
4,5,1,7,2010,0,1,1
2,7,1,6,2010,0,1,1
7,5,23,5,2010,14,35,1
1,8,19,4,2010,12,0,1
3,5,24,3,2010,13,5,1
3,2,27,1,2010,20,0,1
2,7,12,1,2010,21,30,1
1,4,11,1,2010,0,1,1
7,2,27,12,2009,18,0,1
5,3,13,11,2009,9,45,1
2,5,15,9,2009,0,1,1
2,4,1,9,2009,8,0,1
6,7,22,8,2009,12,0,1
6,8,21,3,2009,19,0,1
2,3,6,1,2009,11,15,1
5,6,31,10,2008,11,30,1
6,5,4,10,2008,18,0,1
3,4,3,9,2008,0,5,1
1,8,1,9,2008,8,25,1
7,4,1,6,2008,0,1,1
1,8,24,12,2007,17,15,1
5,8,30,11,2007,0,1,1
5,4,30,11,2007,0,1,1
5,1,2,11,2007,22,30,1
5,9,2,11,2007,12,0,1
1,4,29,10,2007,16,46,1
2,9,16,10,2007,13,0,1
3,2,3,10,2007,6,45,1
3,10,5,9,2007,16,0,1
7,4,29,7,2007,0,15,1
5,2,1,6,2007,0,1,1
3,4,30,5,2007,13,0,1
6,7,19,5,2007,13,0,1
5,3,18,5,2007,18,0,1
2,2,1,5,2007,0,1,1
6,8,10,2,2007,15,0,1
6,2,10,2,2007,13,0,1
5,1,26,1,2007,0,1,1
3,7,24,1,2007,14,0,1
2,7,23,1,2007,22,0,1
5,3,3,11,2006,18,30,1
3,3,20,9,2006,8,0,1
6,3,9,9,2006,12,0,1
2,5,11,7,2006,15,0,1
3,2,14,6,2006,15,10,1
1,2,12,6,2006,23,0,1
6,9,6,5,2006,12,0,1
5,3,5,5,2006,16,0,1
5,4,5,5,2006,13,50,1
1,3,1,5,2006,0,1,1
4,4,9,3,2006,0,1,1
3,4,8,3,2006,22,30,1
6,4,25,2,2006,22,20,1
1,3,9,1,2006,12,30,1
7,4,1,1,2006,12,0,1
7,9,1,1,2006,8,0,1
5,7,23,9,2005,9,0,1
3,9,1,6,2005,12,0,1
1,4,16,5,2005,12,0,1
1,4,2,5,2005,7,30,1
6,2,26,3,2005,1,30,1
4,2,24,3,2005,13,15,1
4,4,10,3,2005,6,30,1
5,4,11,2,2005,0,1,1
5,8,14,1,2005,11,0,1
3,2,8,12,2004,10,10,1
1,3,6,12,2004,9,31,1
1,4,11,10,2004,13,0,1
5,4,1,10,2004,9,0,1
2,10,28,9,2004,10,0,1
3,3,15,9,2004,0,4,1
6,2,21,8,2004,9,0,1
7,3,11,7,2004,20,30,1
1,1,5,7,2004,1,0,1
5,10,25,6,2004,14,0,1
7,4,2,5,2004,20,0,1
4,5,15,4,2004,14,45,1
6,9,3,4,2004,17,25,1
4,4,18,3,2004,12,0,1
2,3,16,9,2003,23,0,1
5,7,5,9,2003,19,0,1
6,4,23,8,2003,20,12,1
1,8,23,6,2003,11,0,1
1,3,9,6,2003,21,9,1
1,9,9,6,2003,12,45,1
2,8,27,5,2003,22,0,1
4,9,1,5,2003,0,1,1
5,9,18,4,2003,8,0,1
2,6,1,4,2003,12,0,1
1,3,17,3,2003,15,0,1
6,2,22,2,2003,13,30,1
3,3,19,2,2003,11,40,1
5,9,24,1,2003,21,33,1
6,10,18,6,2011,10,50,0
6,9,28,6,2008,19,45,0
6,7,23,3,2013,19,30,0
3,2,5,4,2006,11,30,0
5,4,16,10,2009,18,53,0
3,2,3,3,2004,12,49,0
5,2,23,4,2010,23,0,0
5,3,15,10,2004,10,35,0
2,8,25,11,2008,21,45,0
2,4,24,1,2012,2,1,0
2,3,15,4,2008,10,0,0
2,3,25,6,2013,8,20,0
4,8,23,9,2010,23,54,0
3,8,13,7,2005,19,0,0
5,9,17,10,2003,15,30,0
