"day","location","date","month","year","hour","min","SUICIDE"
3,4,29,4,2015,14,4,1
4,1,16,4,2015,4,20,1
1,9,30,3,2015,8,0,1
1,7,2,3,2015,17,0,1
6,3,21,2,2015,2,10,1
7,2,25,1,2015,2,55,1
5,4,9,1,2015,8,38,1
1,3,5,1,2015,23,24,1
1,1,22,12,2014,12,45,1
6,1,13,12,2014,22,28,1
4,4,27,11,2014,5,55,1
5,1,14,11,2014,20,0,1
4,8,30,10,2014,6,0,1
3,9,29,10,2014,10,30,1
4,1,2,10,2014,21,0,1
3,4,1,10,2014,1,41,1
4,7,18,9,2014,8,13,1
2,9,16,9,2014,9,4,1
6,8,6,9,2014,19,0,1
3,9,3,9,2014,17,30,1
7,4,10,8,2014,0,55,1
5,4,8,8,2014,2,50,1
6,8,12,7,2014,20,15,1
6,3,12,7,2014,1,50,1
1,5,7,7,2014,8,2,1
5,1,30,5,2014,15,35,1
2,9,13,5,2014,6,5,1
4,2,1,5,2014,8,30,1
4,9,1,5,2014,5,0,1
3,8,16,4,2014,1,55,1
2,9,15,4,2014,19,34,1
2,9,15,4,2014,16,20,1
7,1,9,3,2014,13,19,1
1,5,3,3,2014,18,30,1
4,8,23,1,2014,0,30,1
4,4,28,11,2013,22,0,1
1,4,11,11,2013,10,35,1
5,9,1,11,2013,22,32,1
1,9,14,10,2013,1,23,1
3,9,2,10,2013,16,0,1
2,8,1,10,2013,16,41,1
1,5,30,9,2013,18,53,1
4,2,19,9,2013,21,10,1
4,10,19,9,2013,0,2,1
1,2,2,9,2013,20,47,1
4,8,8,8,2013,17,26,1
2,2,6,8,2013,12,32,1
7,1,28,7,2013,16,0,1
7,4,28,7,2013,0,14,1
6,8,29,6,2013,20,45,1
3,8,29,5,2013,8,20,1
2,4,28,5,2013,14,55,1
4,4,16,5,2013,7,13,1
1,1,29,4,2013,16,30,1
4,7,18,4,2013,15,0,1
4,6,4,4,2013,6,40,1
3,2,3,4,2013,11,0,1
1,10,1,4,2013,20,26,1
7,2,24,3,2013,18,9,1
5,3,8,3,2013,14,10,1
1,3,4,3,2013,18,30,1
7,10,10,2,2013,12,53,1
6,3,9,2,2013,19,50,1
1,4,4,2,2013,6,57,1
7,2,30,12,2012,17,45,1
4,2,27,12,2012,17,12,1
1,8,10,12,2012,14,0,1
1,1,26,11,2012,22,59,1
1,1,26,11,2012,17,47,1
7,4,18,11,2012,11,45,1
4,9,15,11,2012,17,0,1
2,1,13,11,2012,9,30,1
6,7,3,11,2012,20,40,1
4,2,1,11,2012,6,0,1
1,4,29,10,2012,23,5,1
5,4,19,10,2012,0,1,1
1,9,15,10,2012,11,0,1
6,3,6,10,2012,18,52,1
7,4,23,9,2012,10,55,1
5,8,21,9,2012,18,30,1
4,4,20,9,2012,17,0,1
3,9,19,9,2012,21,0,1
6,7,25,8,2012,19,48,1
6,4,11,8,2012,18,15,1
1,5,6,8,2012,17,0,1
4,3,26,7,2012,14,47,1
2,7,24,7,2012,13,21,1
1,10,9,7,2012,9,30,1
6,9,30,6,2012,13,37,1
5,9,29,6,2012,2,9,1
4,7,28,6,2012,18,33,1
3,8,13,6,2012,14,0,1
3,5,13,6,2012,6,35,1
3,4,30,5,2012,11,30,1
2,7,15,5,2012,21,58,1
1,4,30,4,2012,13,34,1
4,8,19,4,2012,17,40,1
5,8,23,3,2012,17,0,1
2,8,6,3,2012,12,0,1
7,8,26,2,2012,9,0,1
2,2,21,2,2012,22,52,1
4,9,9,2,2012,9,45,1
7,2,1,1,2012,19,15,1
