"day","location","date","month","year","hour","min","TREA"
2,3,3,2,2015,17,5,1
1,4,17,2,2014,6,38,1
6,5,30,11,2013,5,59,1
6,3,20,10,2012,22,27,1
5,1,31,12,2010,16,20,1
4,3,9,9,2010,11,55,1
2,3,12,10,2004,12,20,0
7,4,21,3,2004,13,0,0
1,8,1,10,2007,20,0,0
1,1,14,5,2012,16,19,0
1,5,13,4,2009,16,20,0
4,5,3,11,2011,0,1,0
3,4,2,4,2008,15,25,0
1,3,31,10,2011,21,56,0
7,4,28,12,2008,13,15,0
5,9,14,1,2005,0,1,0
6,10,21,2,2009,13,55,0
6,5,1,11,2003,1,0,0
6,2,22,2,2014,21,25,0
2,1,29,11,2011,19,55,0
3,10,2,5,2012,21,28,0
6,4,21,10,2006,19,41,0
4,2,10,3,2011,19,49,0
4,6,8,2,2007,22,44,0
5,10,28,6,2013,11,15,0
2,5,31,8,2004,16,10,0
1,1,2,2,2015,0,1,0
7,1,29,11,2009,18,38,0
6,6,16,10,2004,13,10,0
6,2,22,8,2009,14,0,0
4,9,28,7,2011,4,15,0
7,1,5,4,2015,11,35,0
4,8,10,2,2005,8,0,0
3,2,2,10,2013,8,0,0
1,4,4,3,2013,15,0,0
2,4,31,5,2005,18,15,0
