"day","address","location","date","month","year","hour","min","ARSON"
2,493,3,12,5,2015,1,46,1
1,747,2,11,5,2015,5,0,1
6,1206,7,2,5,2015,5,39,1
5,1273,10,1,5,2015,21,15,1
5,1281,2,1,5,2015,20,0,1
3,1830,7,29,4,2015,6,35,1
3,212,1,29,4,2015,1,5,1
2,753,2,28,4,2015,1,25,1
6,2533,5,18,4,2015,9,9,1
5,83,2,17,4,2015,18,30,1
4,2892,8,16,4,2015,1,13,1
4,1712,6,16,4,2015,0,30,1
2,1977,9,14,4,2015,13,0,1
7,125,2,5,4,2015,20,0,1
7,3432,1,5,4,2015,4,42,1
6,3463,5,4,4,2015,22,50,1
6,3603,1,4,4,2015,0,30,1
4,3775,5,2,4,2015,23,0,1
4,3829,2,2,4,2015,18,10,1
2,4042,2,31,3,2015,21,0,1
1,501,4,30,3,2015,4,45,1
5,4640,5,20,3,2015,6,30,1
3,4879,1,18,3,2015,1,39,1
1,1363,3,16,3,2015,5,11,1
1,979,4,16,3,2015,0,8,1
6,4825,7,7,3,2015,4,38,1
6,5325,3,7,3,2015,3,15,1
5,125,2,6,3,2015,4,30,1
4,5474,4,5,3,2015,22,23,1
3,5646,5,4,3,2015,1,30,1
2,5691,3,3,3,2015,17,30,1
7,5941,4,22,2,2015,3,31,1
5,967,4,20,2,2015,20,0,1
5,1204,2,20,2,2015,1,6,1
3,6304,3,18,2,2015,19,0,1
7,6598,3,8,2,2015,7,10,1
7,4169,3,8,2,2015,7,10,1
6,4752,5,7,2,2015,8,0,1
5,6710,1,6,2,2015,21,0,1
2,5337,8,3,2,2015,18,0,1
2,7005,8,3,2,2015,13,15,1
2,6787,3,3,2,2015,5,8,1
1,1619,3,2,2,2015,20,30,1
1,1510,4,2,2,2015,12,56,1
1,1090,4,2,2,2015,10,5,1
1,2570,3,2,2,2015,2,6,1
5,5533,1,23,1,2015,21,33,1
5,638,4,23,1,2015,9,46,1
5,5533,1,23,1,2015,1,55,1
4,1897,1,22,1,2015,1,59,1
2,6930,5,20,1,2015,21,10,1
2,83,2,20,1,2015,3,1,1
1,548,10,19,1,2015,23,57,1
1,208,1,19,1,2015,23,51,1
1,7551,8,19,1,2015,23,27,1
1,5107,10,19,1,2015,5,30,1
1,7412,4,19,1,2015,4,34,1
1,7623,4,19,1,2015,3,45,1
7,7641,9,11,1,2015,22,45,1
7,6799,5,11,1,2015,1,0,1
4,7847,9,8,1,2015,20,0,1
3,7842,9,7,1,2015,21,10,1
3,2652,6,7,1,2015,20,28,1
2,2576,5,6,1,2015,13,49,1
2,481,1,6,1,2015,3,20,1
1,8057,5,5,1,2015,20,10,1
1,1208,10,5,1,2015,16,50,1
1,1352,4,5,1,2015,5,30,1
1,2681,1,5,1,2015,0,25,1
4,8302,7,25,12,2014,9,52,1
4,2393,8,25,12,2014,7,25,1
2,1780,4,23,12,2014,20,13,1
5,4749,3,12,12,2014,23,10,1
5,4393,5,12,12,2014,22,30,1
5,8672,8,12,12,2014,6,30,1
5,6993,5,12,12,2014,2,25,1
3,1385,2,10,12,2014,18,27,1
2,8250,9,9,12,2014,20,0,1
1,8888,4,8,12,2014,4,55,1
6,8302,7,29,11,2014,23,10,1
6,8989,3,29,11,2014,0,1,1
4,1363,3,27,11,2014,7,8,1
3,4908,2,26,11,2014,19,59,1
3,4376,8,26,11,2014,5,5,1
7,2370,1,16,11,2014,4,51,1
5,2124,1,14,11,2014,4,0,1
5,9408,9,14,11,2014,2,30,1
2,2318,4,11,11,2014,23,25,1
2,8651,4,11,11,2014,22,10,1
1,9557,7,10,11,2014,20,24,1
6,1335,6,1,11,2014,20,10,1
4,9805,2,30,10,2014,11,51,1
2,5532,3,28,10,2014,8,28,1
1,792,8,27,10,2014,22,4,1
5,77,10,17,10,2014,17,10,1
1,4435,3,13,10,2014,18,30,1
1,5233,1,13,10,2014,1,10,1
6,4584,3,4,10,2014,15,50,1
6,9220,8,4,10,2014,9,6,1
5,5439,3,3,10,2014,22,17,1
5,3258,6,3,10,2014,11,49,1
3,1154,9,1,10,2014,13,0,1
3,88,2,1,10,2014,6,45,1
3,4426,2,17,9,2014,20,16,1
2,10826,4,16,9,2014,20,10,1
1,5297,7,15,9,2014,20,0,1
7,211,5,7,9,2014,20,30,1
6,1404,7,6,9,2014,8,30,1
5,2996,3,5,9,2014,3,55,1
4,4938,6,4,9,2014,1,13,1
7,1965,5,24,8,2014,4,35,1
6,872,2,23,8,2014,23,6,1
6,4296,4,23,8,2014,6,24,1
1,4848,3,18,8,2014,19,11,1
6,8503,8,9,8,2014,22,7,1
6,2646,5,9,8,2014,17,24,1
