"day","address","location","date","month","year","hour","min","BADCHECKS"
4,4366,7,19,3,2015,14,45,1
3,213,4,18,3,2015,17,2,1
4,6848,8,5,2,2015,8,0,1
1,511,4,2,2,2015,19,30,1
1,5764,5,22,12,2014,14,9,1
5,1406,4,28,11,2014,13,0,1
2,5415,2,28,10,2014,8,0,1
1,1334,3,13,10,2014,6,0,1
5,421,1,19,9,2014,15,55,1
5,1912,1,19,9,2014,10,0,1
4,1406,4,26,6,2014,12,0,1
5,511,4,16,5,2014,8,0,1
2,2995,5,29,4,2014,13,0,1
1,1162,1,28,4,2014,13,40,1
3,3103,2,2,4,2014,13,0,1
3,7232,5,8,1,2014,11,0,1
5,5359,9,1,11,2013,12,0,1
2,753,2,6,8,2013,17,0,1
5,374,8,28,6,2013,22,0,1
1,11035,9,24,6,2013,0,1,1
3,1547,3,15,5,2013,18,0,1
1,4242,9,29,4,2013,16,30,1
1,4858,1,1,4,2013,11,8,1
4,4702,6,21,3,2013,11,0,1
4,1884,3,7,3,2013,14,0,1
1,2010,5,4,2,2013,12,0,1
4,16688,7,10,1,2013,14,5,1
3,14489,5,9,1,2013,9,0,1
4,16760,3,27,12,2012,0,1,1
2,7599,6,13,11,2012,8,0,1
4,6848,8,1,11,2012,16,0,1
2,3740,6,16,10,2012,14,0,1
1,4876,3,1,10,2012,0,1,1
3,1041,5,5,9,2012,15,0,1
3,392,4,5,9,2012,12,19,1
3,2104,9,5,9,2012,11,47,1
6,1090,4,25,8,2012,9,43,1
3,8094,9,8,8,2012,12,0,1
7,2165,9,15,7,2012,14,0,1
7,97,2,1,7,2012,18,0,1
7,7031,1,17,6,2012,15,0,1
1,3024,7,11,6,2012,16,30,1
1,17683,7,28,5,2012,0,1,1
1,2882,1,14,5,2012,7,0,1
4,1093,6,3,5,2012,13,0,1
3,853,2,2,5,2012,15,15,1
2,745,1,1,5,2012,12,0,1
5,17144,9,6,4,2012,17,0,1
4,2588,1,5,4,2012,12,0,1
3,1003,9,4,4,2012,14,30,1
7,1157,2,25,3,2012,12,27,1
4,8089,1,9,2,2012,10,0,1
6,114,8,3,12,2011,11,30,1
5,5650,5,2,12,2011,11,0,1
5,538,8,2,12,2011,9,0,1
3,1237,5,30,11,2011,17,15,1
3,1136,4,16,11,2011,16,0,1
2,10519,9,15,11,2011,12,0,1
2,2617,1,15,11,2011,11,0,1
2,602,2,15,11,2011,4,0,1
4,10182,6,6,10,2011,12,0,1
6,165,9,10,9,2011,14,30,1
2,15962,3,6,9,2011,16,25,1
5,5719,7,29,7,2011,0,1,1
5,1367,1,1,7,2011,12,0,1
3,70,10,29,6,2011,10,0,1
