"day","address","location","date","month","year","hour","min","BRIBERY"
6,1182,5,2,5,2015,10,40,1
3,1850,4,29,4,2015,1,18,1
1,2109,8,27,4,2015,17,30,1
3,2963,3,15,4,2015,11,0,1
1,1074,3,13,4,2015,11,47,1
2,3708,4,31,3,2015,17,40,1
1,4232,3,30,3,2015,17,45,1
5,936,4,20,3,2015,21,38,1
5,1654,8,20,3,2015,18,41,1
3,3134,3,4,3,2015,14,25,1
4,1954,10,19,2,2015,15,15,1
1,5785,4,16,2,2015,0,10,1
5,5621,4,6,2,2015,14,30,1
3,2042,3,4,2,2015,19,30,1
4,1284,4,22,1,2015,0,17,1
3,408,2,10,12,2014,15,18,1
3,8767,4,10,12,2014,11,0,1
7,356,3,30,11,2014,0,33,1
5,9397,4,14,11,2014,10,2,1
7,8812,4,2,11,2014,17,15,1
6,518,10,1,11,2014,2,0,1
3,125,2,29,10,2014,9,30,1
7,3738,8,21,9,2014,13,50,1
7,10912,8,7,9,2014,12,0,1
4,11256,4,21,8,2014,19,52,1
2,1935,5,19,8,2014,18,46,1
1,5959,9,4,8,2014,10,30,1
7,4415,5,13,7,2014,0,1,1
5,2096,8,27,6,2014,12,12,1
6,4584,3,14,6,2014,13,13,1
6,83,2,3,5,2014,16,30,1
7,713,4,20,4,2014,17,0,1
6,1979,4,19,4,2014,17,38,1
6,6683,3,19,4,2014,16,6,1
4,2330,4,17,4,2014,20,0,1
1,232,4,14,4,2014,17,30,1
5,3352,3,4,4,2014,16,30,1
3,1654,8,2,4,2014,9,13,1
5,213,4,21,2,2014,2,10,1
1,1895,3,17,2,2014,14,35,1
7,2911,10,12,1,2014,0,48,1
7,3611,3,29,12,2013,20,30,1
6,11839,3,28,12,2013,20,0,1
6,7116,6,28,12,2013,15,50,1
6,5783,2,28,12,2013,13,0,1
4,2944,2,28,11,2013,21,11,1
5,7900,3,1,11,2013,9,49,1
4,1284,4,31,10,2013,23,16,1
3,4170,7,2,10,2013,16,6,1
5,7160,3,20,9,2013,23,35,1
3,3868,7,18,9,2013,2,30,1
2,506,8,20,8,2013,19,5,1
1,8281,8,19,8,2013,19,10,1
6,644,1,10,8,2013,23,51,1
5,125,2,28,6,2013,10,0,1
3,1403,4,26,6,2013,22,45,1
1,125,2,24,6,2013,20,0,1
5,1279,5,31,5,2013,19,15,1
5,3905,6,31,5,2013,10,16,1
5,1233,4,17,5,2013,2,0,1
3,1978,8,1,5,2013,16,0,1
6,114,8,20,4,2013,11,45,1
3,3595,1,17,4,2013,13,30,1
7,14747,3,7,4,2013,16,28,1
6,232,4,6,4,2013,18,35,1
6,77,10,6,4,2013,3,0,1
6,102,10,6,4,2013,1,48,1
2,534,4,2,4,2013,22,48,1
1,1012,4,18,3,2013,0,38,1
3,220,4,6,3,2013,20,5,1
