"day","address","location","date","month","year","hour","min","DRIVINGUNDERTHEINFLUENCE"
3,271,9,13,5,2015,0,56,1
7,125,2,3,5,2015,2,17,1
6,1034,3,2,5,2015,23,10,1
6,1097,7,2,5,2015,19,0,1
6,1123,3,2,5,2015,16,56,1
6,652,2,2,5,2015,0,54,1
6,1157,2,2,5,2015,0,12,1
4,1653,3,30,4,2015,0,15,1
1,2135,8,27,4,2015,13,54,1
5,2756,9,17,4,2015,0,35,1
4,780,6,16,4,2015,0,19,1
3,3030,9,15,4,2015,2,48,1
2,3064,2,14,4,2015,22,4,1
2,3074,4,14,4,2015,21,22,1
1,3187,9,13,4,2015,23,54,1
7,3363,4,5,4,2015,19,31,1
7,3152,3,5,4,2015,6,53,1
6,1319,2,4,4,2015,0,40,1
4,428,4,2,4,2015,17,44,1
3,3909,7,1,4,2015,23,20,1
2,4039,3,31,3,2015,22,18,1
7,2140,2,22,3,2015,20,35,1
7,4392,3,22,3,2015,6,32,1
6,4523,9,21,3,2015,7,46,1
5,863,1,20,3,2015,23,45,1
5,863,1,20,3,2015,23,35,1
5,863,1,20,3,2015,22,46,1
5,3825,1,20,3,2015,22,27,1
3,4852,3,18,3,2015,9,29,1
2,4926,2,17,3,2015,17,54,1
7,2686,4,8,3,2015,1,44,1
6,3966,2,7,3,2015,22,44,1
6,213,4,7,3,2015,22,6,1
6,5332,4,7,3,2015,2,12,1
6,2472,8,7,3,2015,0,18,1
4,3641,2,5,3,2015,5,22,1
2,4875,2,3,3,2015,0,58,1
7,5927,4,22,2,2015,2,46,1
6,5964,6,21,2,2015,23,47,1
6,2428,5,21,2,2015,4,37,1
6,1017,3,21,2,2015,3,29,1
5,3893,8,20,2,2015,23,47,1
2,6386,4,17,2,2015,19,23,1
2,186,10,17,2,2015,2,15,1
5,924,5,6,2,2015,23,55,1
5,2911,10,6,2,2015,8,16,1
3,6951,7,4,2,2015,0,47,1
2,3177,8,3,2,2015,21,37,1
6,1421,9,24,1,2015,20,6,1
6,3386,1,24,1,2015,0,13,1
3,7436,5,21,1,2015,20,39,1
1,7624,8,19,1,2015,3,37,1
1,3718,3,19,1,2015,2,21,1
7,7688,7,11,1,2015,3,27,1
5,779,2,9,1,2015,22,5,1
5,3875,2,9,1,2015,20,30,1
5,2539,8,9,1,2015,0,38,1
4,1789,4,8,1,2015,18,35,1
3,270,2,7,1,2015,17,0,1
1,8111,4,5,1,2015,0,58,1
6,7680,2,27,12,2014,6,16,1
4,8285,3,25,12,2014,21,47,1
2,125,2,23,12,2014,0,1,1
1,4355,4,22,12,2014,19,44,1
5,8650,9,12,12,2014,16,35,1
5,2386,2,12,12,2014,2,45,1
4,6808,2,11,12,2014,3,31,1
2,8813,3,9,12,2014,18,16,1
7,8899,7,30,11,2014,23,34,1
7,591,9,30,11,2014,2,50,1
6,3719,5,29,11,2014,2,40,1
6,1097,7,29,11,2014,1,23,1
5,9040,4,28,11,2014,0,1,1
4,8571,5,27,11,2014,2,10,1
3,591,9,26,11,2014,0,51,1
3,591,9,26,11,2014,0,51,1
7,9295,6,16,11,2014,1,48,1
7,9297,7,16,11,2014,0,20,1
5,9356,4,14,11,2014,23,37,1
5,9407,9,14,11,2014,2,35,1
5,1759,7,14,11,2014,0,38,1
3,9462,3,12,11,2014,21,8,1
3,832,4,12,11,2014,4,49,1
2,2430,8,11,11,2014,23,28,1
1,7366,2,10,11,2014,5,45,1
1,5374,7,10,11,2014,1,57,1
1,5374,7,10,11,2014,1,57,1
7,2260,4,2,11,2014,3,0,1
7,9638,7,2,11,2014,1,41,1
7,9638,7,2,11,2014,1,41,1
6,9677,5,1,11,2014,14,23,1
5,11,10,31,10,2014,15,19,1
5,972,8,31,10,2014,2,36,1
3,6550,7,29,10,2014,22,33,1
2,4495,7,28,10,2014,19,46,1
2,6382,6,28,10,2014,1,8,1
7,2081,4,19,10,2014,21,37,1
7,2132,2,19,10,2014,1,22,1
5,101,4,17,10,2014,20,46,1
5,374,8,17,10,2014,14,10,1
4,709,7,16,10,2014,23,8,1
3,125,2,15,10,2014,1,16,1
1,10245,7,13,10,2014,23,6,1
7,3459,4,5,10,2014,1,1,1
6,10349,7,4,10,2014,22,49,1
6,764,6,4,10,2014,22,32,1
6,10353,9,4,10,2014,21,15,1
3,1284,4,1,10,2014,14,56,1
3,1284,4,1,10,2014,14,56,1
1,4141,4,29,9,2014,1,15,1
7,10619,6,21,9,2014,21,41,1
7,3219,3,21,9,2014,20,53,1
7,10658,3,21,9,2014,2,15,1
6,402,4,20,9,2014,1,25,1
4,7434,4,18,9,2014,21,42,1
2,504,4,16,9,2014,0,24,1
1,3205,1,15,9,2014,13,46,1
7,6676,8,7,9,2014,21,48,1
7,5384,5,7,9,2014,3,21,1
7,7355,8,7,9,2014,2,54,1
7,4760,2,7,9,2014,1,55,1
6,9070,9,6,9,2014,6,28,1
6,2405,5,6,9,2014,3,26,1
6,1883,1,6,9,2014,0,55,1
2,501,4,2,9,2014,6,0,1
2,888,8,2,9,2014,0,1,1
1,3593,5,1,9,2014,1,58,1
7,11150,7,24,8,2014,21,29,1
7,2618,3,24,8,2014,21,10,1
6,10287,8,23,8,2014,22,15,1
6,3893,8,23,8,2014,21,51,1
6,7065,5,23,8,2014,0,48,1
6,11210,7,23,8,2014,0,45,1
4,10801,2,21,8,2014,17,36,1
3,899,4,20,8,2014,23,21,1
3,2904,2,20,8,2014,19,4,1
7,11437,6,10,8,2014,3,8,1
7,11437,6,10,8,2014,3,8,1
6,2409,2,9,8,2014,6,16,1
6,11469,7,9,8,2014,2,2,1
6,2816,9,9,8,2014,1,41,1
5,1156,8,8,8,2014,2,13,1
5,2089,3,8,8,2014,1,5,1
