"day","address","location","date","month","year","hour","min","DRUNKENNESS"
3,54,1,13,5,2015,19,26,1
2,495,7,12,5,2015,1,40,1
2,272,8,12,5,2015,0,10,1
7,830,10,3,5,2015,19,5,1
7,982,9,3,5,2015,2,35,1
7,1015,9,3,5,2015,0,9,1
6,1015,9,2,5,2015,5,48,1
6,643,4,2,5,2015,2,27,1
4,1580,10,30,4,2015,13,0,1
3,64,4,29,4,2015,18,49,1
3,1840,4,29,4,2015,4,17,1
7,1226,4,19,4,2015,21,40,1
7,2041,10,19,4,2015,15,20,1
7,2317,1,19,4,2015,14,51,1
7,2368,6,19,4,2015,4,37,1
7,451,2,19,4,2015,3,0,1
6,2397,6,18,4,2015,23,59,1
6,2404,2,18,4,2015,23,13,1
6,2414,3,18,4,2015,22,27,1
5,2752,9,17,4,2015,1,50,1
3,1090,4,15,4,2015,21,14,1
3,146,10,15,4,2015,2,58,1
3,2221,9,15,4,2015,2,49,1
2,3180,10,14,4,2015,4,15,1
7,208,1,5,4,2015,23,40,1
7,870,4,5,4,2015,21,44,1
7,322,5,5,4,2015,0,25,1
6,1012,4,4,4,2015,23,40,1
6,1039,5,4,4,2015,21,50,1
6,709,7,4,4,2015,14,19,1
6,3544,2,4,4,2015,13,28,1
5,125,2,3,4,2015,20,30,1
4,3772,4,2,4,2015,23,56,1
4,125,2,2,4,2015,20,58,1
3,3948,4,1,4,2015,18,37,1
3,2792,4,1,4,2015,17,59,1
3,3647,1,1,4,2015,8,30,1
2,2720,10,31,3,2015,12,58,1
1,64,4,30,3,2015,22,23,1
7,4312,7,22,3,2015,20,15,1
7,3647,1,22,3,2015,10,30,1
7,1012,4,22,3,2015,1,25,1
6,1116,2,21,3,2015,22,4,1
6,4488,9,21,3,2015,14,11,1
6,1119,2,21,3,2015,13,45,1
6,747,2,21,3,2015,8,0,1
6,1074,3,21,3,2015,2,5,1
6,4536,9,21,3,2015,1,32,1
5,1061,4,20,3,2015,23,0,1
5,2619,5,20,3,2015,22,38,1
4,4777,4,19,3,2015,0,20,1
3,1220,10,18,3,2015,2,55,1
1,5054,2,16,3,2015,17,7,1
1,2183,9,16,3,2015,16,47,1
7,1224,1,8,3,2015,20,43,1
7,2035,10,8,3,2015,17,38,1
7,5190,1,8,3,2015,11,20,1
7,1224,1,8,3,2015,10,0,1
7,5206,5,8,3,2015,7,40,1
7,376,2,8,3,2015,1,30,1
6,392,4,7,3,2015,22,30,1
6,511,4,7,3,2015,12,20,1
3,4390,6,4,3,2015,18,55,1
2,3786,1,3,3,2015,16,15,1
2,28,4,3,3,2015,14,21,1
1,5813,8,2,3,2015,13,37,1
7,2490,3,22,2,2015,11,45,1
6,5965,7,21,2,2015,23,40,1
6,22,10,21,2,2015,22,30,1
6,2391,2,21,2,2015,1,30,1
6,6073,8,21,2,2015,0,5,1
4,1447,9,19,2,2015,20,17,1
3,960,9,18,2,2015,15,0,1
3,3570,1,18,2,2015,10,2,1
2,4032,3,17,2,2015,19,45,1
2,4140,10,17,2,2015,0,33,1
1,747,2,16,2,2015,18,53,1
1,3570,1,16,2,2015,10,0,1
7,4256,2,8,2,2015,1,50,1
6,538,8,7,2,2015,15,46,1
6,37,2,7,2,2015,12,6,1
5,5926,6,6,2,2015,21,35,1
4,3673,3,5,2,2015,21,29,1
4,6819,2,5,2,2015,15,57,1
3,3570,1,4,2,2015,12,23,1
2,1202,6,3,2,2015,14,1,1
2,7005,8,3,2,2015,13,15,1
2,7012,1,3,2,2015,11,49,1
1,3570,1,2,2,2015,12,0,1
7,608,2,25,1,2015,10,59,1
6,5570,2,24,1,2015,2,3,1
