"day","address","location","date","month","year","hour","min","EMBEZZLEMENT"
4,1524,3,30,4,2015,18,0,1
1,688,7,13,4,2015,11,30,1
2,2041,10,31,3,2015,14,30,1
6,4545,8,21,3,2015,0,1,1
7,408,2,8,3,2015,14,23,1
4,1233,4,5,3,2015,20,49,1
4,5514,2,5,3,2015,12,26,1
3,5624,3,4,3,2015,11,21,1
6,324,1,21,2,2015,10,35,1
4,1345,1,19,2,2015,19,32,1
4,6254,8,19,2,2015,11,0,1
1,324,1,16,2,2015,19,30,1
1,408,2,16,2,2015,19,6,1
7,177,10,8,2,2015,22,0,1
1,107,8,2,2,2015,12,0,1
1,408,2,2,2,2015,11,6,1
5,222,5,23,1,2015,23,0,1
3,3155,3,21,1,2015,7,30,1
1,36,2,19,1,2015,8,0,1
6,125,2,27,12,2014,17,30,1
2,365,1,23,12,2014,12,0,1
2,5744,8,23,12,2014,11,0,1
6,408,2,13,12,2014,14,42,1
5,166,10,12,12,2014,19,7,1
3,559,6,10,12,2014,21,14,1
3,355,2,10,12,2014,12,0,1
7,323,9,30,11,2014,12,0,1
6,408,2,29,11,2014,12,0,1
2,7084,9,25,11,2014,3,3,1
5,2502,7,14,11,2014,0,15,1
1,1233,4,10,11,2014,0,1,1
6,1804,5,1,11,2014,12,0,1
3,548,10,29,10,2014,14,0,1
2,511,4,28,10,2014,20,30,1
1,4851,9,27,10,2014,8,0,1
7,3180,10,19,10,2014,0,1,1
7,2600,9,5,10,2014,14,0,1
6,10379,3,4,10,2014,15,30,1
5,2944,2,3,10,2014,20,33,1
5,156,2,3,10,2014,0,1,1
4,424,1,2,10,2014,11,0,1
7,324,1,21,9,2014,13,7,1
4,4720,1,18,9,2014,15,45,1
3,408,2,17,9,2014,17,44,1
3,359,10,17,9,2014,8,0,1
1,413,1,15,9,2014,12,0,1
5,4908,2,5,9,2014,15,0,1
5,4435,3,5,9,2014,8,49,1
1,2270,1,1,9,2014,12,0,1
1,11137,4,1,9,2014,11,0,1
1,8119,8,1,9,2014,9,30,1
4,6572,9,21,8,2014,8,0,1
3,355,2,20,8,2014,3,29,1
5,2064,2,8,8,2014,9,0,1
4,7493,3,7,8,2014,23,59,1
2,11629,1,5,8,2014,9,0,1
1,408,2,4,8,2014,15,30,1
1,11652,3,4,8,2014,9,0,1
6,7474,3,26,7,2014,10,17,1
2,408,2,22,7,2014,12,30,1
5,27,5,11,7,2014,19,53,1
5,4140,10,11,7,2014,14,50,1
5,5389,5,11,7,2014,9,11,1
4,4755,3,10,7,2014,12,39,1
4,12011,8,10,7,2014,12,0,1
1,1224,1,7,7,2014,21,2,1
1,11162,3,23,6,2014,12,0,1
1,952,2,23,6,2014,12,0,1
7,456,1,15,6,2014,12,0,1
2,4311,9,10,6,2014,15,0,1
1,408,2,9,6,2014,16,2,1
7,1823,1,1,6,2014,17,0,1
7,12575,9,1,6,2014,8,0,1
7,381,3,18,5,2014,0,1,1
4,11629,1,15,5,2014,0,1,1
3,408,2,14,5,2014,12,0,1
2,12273,3,13,5,2014,10,0,1
1,5493,2,12,5,2014,17,0,1
5,741,2,2,5,2014,11,35,1
4,4727,7,1,5,2014,0,1,1
