"day","address","location","date","month","year","hour","min","EXTORTION"
5,3619,2,3,4,2015,22,15,1
5,1351,8,20,3,2015,11,0,1
5,1254,2,6,3,2015,0,1,1
6,4611,4,21,2,2015,19,0,1
4,1674,8,13,11,2014,10,0,1
6,298,9,18,10,2014,22,0,1
6,220,4,28,6,2014,1,0,1
6,2792,4,14,6,2014,2,51,1
1,6667,8,9,6,2014,12,0,1
4,4954,1,29,5,2014,8,0,1
6,88,2,19,4,2014,5,13,1
7,12044,9,6,4,2014,8,30,1
4,125,2,3,4,2014,9,31,1
3,3406,1,5,3,2014,12,0,1
3,9148,4,5,2,2014,23,0,1
2,4537,1,21,1,2014,22,30,1
6,7623,4,14,12,2013,0,1,1
4,419,5,12,12,2013,21,0,1
4,2660,4,12,12,2013,11,0,1
2,1831,5,12,11,2013,18,0,1
2,1427,1,29,10,2013,22,0,1
1,1340,7,28,10,2013,14,0,1
7,8344,7,20,10,2013,9,56,1
4,1769,3,17,10,2013,23,0,1
2,2790,3,1,10,2013,12,0,1
7,8228,9,8,9,2013,16,0,1
3,386,2,21,8,2013,12,26,1
4,213,4,16,5,2013,1,30,1
3,2045,6,1,5,2013,9,0,1
3,15034,9,1,5,2013,0,1,1
6,114,8,20,4,2013,11,45,1
5,646,6,19,4,2013,16,0,1
5,323,9,5,4,2013,12,10,1
2,1550,1,2,4,2013,14,21,1
5,6654,9,8,3,2013,15,30,1
1,125,2,18,2,2013,23,53,1
4,1074,3,24,1,2013,12,0,1
6,621,3,12,1,2013,12,0,1
1,14415,8,26,11,2012,14,0,1
5,208,1,19,10,2012,7,43,1
1,3044,4,1,10,2012,12,0,1
4,1169,5,20,9,2012,10,15,1
3,125,2,22,8,2012,0,1,1
6,6887,6,28,7,2012,0,28,1
5,3918,4,13,7,2012,16,0,1
3,8074,2,27,6,2012,8,0,1
7,213,4,17,6,2012,8,0,1
1,16300,10,28,5,2012,14,0,1
7,9788,4,20,5,2012,16,35,1
6,17700,1,19,5,2012,0,45,1
4,1809,10,3,5,2012,13,48,1
3,722,8,18,4,2012,2,30,1
5,232,4,27,1,2012,23,30,1
1,9260,3,23,1,2012,14,0,1
7,2121,9,1,1,2012,0,1,1
7,7606,7,1,1,2012,0,1,1
3,7792,1,30,11,2011,13,47,1
1,16042,8,28,11,2011,15,30,1
3,5985,3,2,11,2011,22,30,1
3,2483,1,19,10,2011,11,45,1
1,196,5,17,10,2011,9,0,1
1,856,9,3,10,2011,19,0,1
2,1584,5,20,9,2011,7,40,1
7,6353,7,28,8,2011,21,0,1
7,9357,9,28,8,2011,10,30,1
7,5389,5,14,8,2011,17,0,1
7,772,10,17,7,2011,1,8,1
5,2075,7,15,7,2011,16,52,1
3,4627,8,4,5,2011,9,45,1
6,979,4,23,4,2011,18,30,1
4,16862,9,21,4,2011,11,0,1
2,9877,1,19,4,2011,0,1,1
3,6388,8,23,3,2011,18,50,1
5,14026,4,11,3,2011,10,0,1
4,5782,5,10,2,2011,20,15,1
1,6193,2,24,1,2011,10,40,1
6,125,2,1,1,2011,0,1,1
2,601,9,2,11,2010,11,30,1
1,12152,5,1,11,2010,0,1,1
6,6525,2,23,10,2010,13,29,1
4,3447,5,23,9,2010,22,0,1
2,13,3,21,9,2010,15,44,1
4,2101,1,26,8,2010,12,0,1
7,114,8,1,8,2010,0,1,1
2,6183,2,27,7,2010,10,30,1
4,1747,9,1,7,2010,8,0,1
1,3786,1,28,6,2010,14,0,1
1,125,2,3,5,2010,12,0,1
7,2023,5,25,4,2010,9,30,1
3,1455,1,21,4,2010,20,0,1
5,9884,7,9,4,2010,10,0,1
4,1306,2,25,3,2010,9,30,1
3,11031,8,24,3,2010,18,0,1
3,19357,8,24,3,2010,3,0,1
7,5024,8,28,2,2010,12,0,1
