"day","address","location","date","month","year","hour","min","FAMILYOFFENSES"
1,594,8,11,5,2015,18,58,1
7,1996,2,5,4,2015,14,15,1
5,534,4,20,3,2015,21,15,1
7,4988,4,8,3,2015,11,13,1
5,643,4,20,2,2015,13,35,1
1,6503,3,16,2,2015,13,2,1
1,829,1,2,2,2015,23,40,1
1,829,1,2,2,2015,23,40,1
1,829,1,2,2,2015,23,40,1
4,501,4,8,1,2015,16,29,1
3,468,2,7,1,2015,4,37,1
5,1220,10,26,12,2014,21,59,1
1,4958,8,8,12,2014,17,45,1
5,10101,9,17,10,2014,7,30,1
6,8940,8,4,10,2014,19,45,1
4,5970,1,2,10,2014,15,45,1
3,2119,10,1,10,2014,19,29,1
5,138,10,19,9,2014,16,32,1
4,3904,3,7,8,2014,17,5,1
3,870,4,6,8,2014,21,10,1
2,7594,8,5,8,2014,23,30,1
6,6821,8,26,7,2014,0,1,1
4,1977,9,24,7,2014,17,22,1
4,501,4,24,7,2014,16,27,1
1,501,4,21,7,2014,10,27,1
6,7251,1,28,6,2014,14,30,1
5,501,4,27,6,2014,15,59,1
5,12437,3,13,6,2014,12,30,1
2,501,4,10,6,2014,20,22,1
5,501,4,16,5,2014,14,0,1
1,62,4,12,5,2014,17,0,1
5,501,4,18,4,2014,15,57,1
4,70,10,3,4,2014,16,30,1
3,501,4,2,4,2014,15,45,1
2,3106,9,1,4,2014,21,46,1
1,501,4,31,3,2014,15,18,1
5,3541,9,21,3,2014,10,40,1
2,9580,4,18,3,2014,15,30,1
1,593,8,17,3,2014,0,1,1
6,501,4,22,2,2014,16,18,1
5,2818,4,21,2,2014,11,11,1
3,926,4,19,2,2014,18,30,1
2,594,8,18,2,2014,17,31,1
5,3007,8,7,2,2014,8,10,1
5,893,10,10,1,2014,13,16,1
2,1597,8,7,1,2014,12,55,1
7,957,2,29,12,2013,17,54,1
3,8293,6,25,12,2013,2,0,1
6,2395,2,14,12,2013,17,47,1
7,4535,1,17,11,2013,13,30,1
7,4535,1,17,11,2013,13,30,1
7,4535,1,17,11,2013,13,30,1
6,2869,10,16,11,2013,13,48,1
4,501,4,14,11,2013,16,23,1
3,4120,7,13,11,2013,12,15,1
3,3349,3,30,10,2013,16,30,1
3,501,4,30,10,2013,11,5,1
1,408,2,28,10,2013,18,4,1
4,8301,4,17,10,2013,18,20,1
2,908,10,15,10,2013,20,0,1
2,501,4,17,9,2013,15,5,1
2,4815,3,3,9,2013,16,0,1
5,501,4,26,7,2013,16,33,1
4,913,9,25,7,2013,8,45,1
2,1614,4,23,7,2013,17,30,1
4,501,4,27,6,2013,13,1,1
3,1499,7,12,6,2013,9,0,1
6,4355,4,1,6,2013,0,1,1
3,501,4,29,5,2013,14,56,1
3,1331,4,15,5,2013,13,17,1
3,501,4,15,5,2013,10,28,1
7,70,10,5,5,2013,1,30,1
6,501,4,4,5,2013,21,40,1
3,501,4,1,5,2013,15,13,1
1,7955,4,29,4,2013,7,57,1
