"day","address","location","date","month","year","hour","min","FORGERYCOUNTERFEITING"
3,88,2,13,5,2015,17,55,1
3,88,2,13,5,2015,17,55,1
3,115,8,13,5,2015,16,50,1
2,481,1,12,5,2015,6,0,1
1,534,4,11,5,2015,22,12,1
1,408,2,11,5,2015,17,45,1
5,1374,7,1,5,2015,11,0,1
5,1432,3,1,5,2015,0,1,1
5,1432,3,1,5,2015,0,1,1
4,872,2,30,4,2015,17,47,1
3,1351,8,29,4,2015,13,11,1
2,977,1,28,4,2015,22,0,1
2,323,9,28,4,2015,19,30,1
2,1994,3,28,4,2015,9,37,1
2,644,1,28,4,2015,3,42,1
1,93,7,27,4,2015,12,0,1
7,125,2,19,4,2015,13,49,1
6,1597,8,18,4,2015,8,27,1
5,643,4,17,4,2015,18,0,1
5,2655,1,17,4,2015,17,0,1
5,643,4,17,4,2015,15,0,1
4,926,4,16,4,2015,20,48,1
4,939,5,16,4,2015,17,1,1
4,2675,4,16,4,2015,0,1,1
3,974,8,15,4,2015,14,15,1
3,2989,5,15,4,2015,13,25,1
2,38,10,14,4,2015,9,15,1
7,3408,4,5,4,2015,12,0,1
6,1713,9,4,4,2015,14,50,1
5,3604,4,3,4,2015,23,0,1
3,3929,9,1,4,2015,21,0,1
2,872,2,31,3,2015,9,55,1
2,4149,3,31,3,2015,7,0,1
1,213,4,30,3,2015,11,0,1
1,872,2,30,3,2015,10,24,1
7,4312,7,22,3,2015,20,15,1
7,1790,1,22,3,2015,13,40,1
6,4440,8,21,3,2015,21,20,1
6,4441,5,21,3,2015,21,15,1
6,2236,4,21,3,2015,16,30,1
6,772,10,21,3,2015,10,30,1
5,771,1,20,3,2015,22,30,1
5,4618,5,20,3,2015,10,4,1
5,4618,5,20,3,2015,10,4,1
5,282,6,20,3,2015,0,1,1
4,872,2,19,3,2015,14,51,1
3,4811,8,18,3,2015,18,0,1
3,213,4,18,3,2015,17,2,1
3,331,2,18,3,2015,14,0,1
3,3735,2,18,3,2015,0,1,1
2,2289,1,17,3,2015,13,35,1
2,4954,1,17,3,2015,12,0,1
1,468,2,16,3,2015,18,8,1
1,256,2,16,3,2015,17,0,1
1,1019,5,16,3,2015,16,55,1
1,1470,1,16,3,2015,14,30,1
1,3355,7,16,3,2015,10,17,1
1,5093,2,16,3,2015,9,0,1
1,1395,6,16,3,2015,9,0,1
1,3860,3,16,3,2015,0,1,1
7,5197,8,8,3,2015,10,0,1
6,1119,2,7,3,2015,15,0,1
6,2783,4,7,3,2015,13,0,1
6,1220,10,7,3,2015,0,1,1
5,88,2,6,3,2015,16,10,1
5,935,1,6,3,2015,12,0,1
5,1790,1,6,3,2015,10,0,1
5,256,2,6,3,2015,0,1,1
4,554,10,5,3,2015,5,50,1
3,2878,1,4,3,2015,12,0,1
3,511,4,4,3,2015,8,0,1
3,4888,3,4,3,2015,6,30,1
2,5666,4,3,3,2015,21,0,1
2,1558,1,3,3,2015,18,40,1
2,1914,10,3,3,2015,8,50,1
2,5749,9,3,3,2015,0,50,1
1,213,4,2,3,2015,10,10,1
1,2821,5,2,3,2015,9,30,1
7,83,2,22,2,2015,6,22,1
6,4799,5,21,2,2015,22,0,1
6,2289,1,21,2,2015,11,0,1
5,428,4,20,2,2015,10,15,1
5,428,4,20,2,2015,10,15,1
5,1913,5,20,2,2015,0,1,1
3,1346,4,18,2,2015,10,36,1
2,1823,1,17,2,2015,17,40,1
1,6523,9,16,2,2015,9,0,1
6,88,2,7,2,2015,11,45,1
4,1547,3,5,2,2015,11,30,1
3,29,5,4,2,2015,18,40,1
3,594,8,4,2,2015,12,0,1
3,6027,8,4,2,2015,0,1,1
2,6997,6,3,2,2015,16,0,1
1,88,2,2,2,2015,11,0,1
7,1345,1,25,1,2015,18,0,1
6,7223,1,24,1,2015,18,0,1
6,872,2,24,1,2015,15,10,1
6,2078,9,24,1,2015,11,59,1
5,256,2,23,1,2015,17,30,1
5,939,5,23,1,2015,13,59,1
4,2104,9,22,1,2015,15,40,1
4,1090,4,22,1,2015,14,35,1
3,872,2,21,1,2015,21,51,1
3,1395,6,21,1,2015,13,0,1
3,644,1,21,1,2015,6,2,1
3,4528,5,21,1,2015,0,1,1
2,55,2,20,1,2015,11,30,1
1,408,2,19,1,2015,16,35,1
1,1090,4,19,1,2015,15,0,1
1,2382,1,19,1,2015,13,0,1
5,125,2,9,1,2015,19,15,1
5,7791,4,9,1,2015,19,0,1
5,872,2,9,1,2015,13,41,1
4,4719,1,8,1,2015,19,20,1
4,125,2,8,1,2015,14,40,1
4,2744,6,8,1,2015,13,43,1
