"day","address","location","date","month","year","hour","min","FRAUD"
3,192,1,13,5,2015,12,30,1
2,94,1,12,5,2015,22,0,1
2,109,1,12,5,2015,21,39,1
2,326,2,12,5,2015,20,0,1
2,94,1,12,5,2015,18,10,1
2,429,9,12,5,2015,11,30,1
2,508,9,12,5,2015,0,1,1
1,408,2,11,5,2015,19,45,1
1,408,2,11,5,2015,19,45,1
1,599,9,11,5,2015,18,30,1
1,630,1,11,5,2015,16,0,1
1,654,1,11,5,2015,14,20,1
1,412,9,11,5,2015,12,0,1
1,695,4,11,5,2015,11,0,1
1,695,4,11,5,2015,11,0,1
1,727,4,11,5,2015,8,40,1
1,740,5,11,5,2015,7,1,1
1,772,10,11,5,2015,0,1,1
7,437,1,3,5,2015,18,0,1
7,887,7,3,5,2015,15,55,1
7,819,5,3,5,2015,15,40,1
7,895,2,3,5,2015,15,5,1
7,904,5,3,5,2015,14,30,1
7,914,1,3,5,2015,13,0,1
7,974,8,3,5,2015,5,30,1
7,1020,5,3,5,2015,0,1,1
6,242,10,2,5,2015,19,40,1
6,242,10,2,5,2015,19,40,1
6,408,2,2,5,2015,19,30,1
6,1115,1,2,5,2015,18,0,1
6,1178,8,2,5,2015,11,0,1
6,1217,1,2,5,2015,2,0,1
6,1235,5,2,5,2015,0,1,1
5,1291,1,1,5,2015,19,11,1
5,125,2,1,5,2015,19,6,1
5,1304,5,1,5,2015,18,20,1
5,866,1,1,5,2015,15,0,1
5,1366,10,1,5,2015,12,0,1
5,146,10,1,5,2015,11,45,1
5,594,8,1,5,2015,8,15,1
5,571,2,1,5,2015,8,15,1
5,1397,3,1,5,2015,7,33,1
5,94,1,1,5,2015,7,33,1
5,1421,9,1,5,2015,1,30,1
5,146,10,1,5,2015,0,1,1
4,408,2,30,4,2015,20,30,1
4,1525,4,30,4,2015,18,0,1
4,1540,6,30,4,2015,17,0,1
4,979,4,30,4,2015,15,30,1
4,1599,6,30,4,2015,12,0,1
4,1365,4,30,4,2015,11,0,1
3,1666,6,29,4,2015,23,0,1
3,1245,10,29,4,2015,22,47,1
3,1691,6,29,4,2015,20,30,1
3,1764,1,29,4,2015,14,0,1
3,1774,1,29,4,2015,13,0,1
3,501,4,29,4,2015,12,24,1
3,1787,7,29,4,2015,11,40,1
3,543,1,29,4,2015,9,0,1
3,1832,1,29,4,2015,6,0,1
3,666,2,29,4,2015,1,50,1
2,1925,1,28,4,2015,18,0,1
2,1970,5,28,4,2015,13,0,1
1,2092,7,27,4,2015,19,0,1
1,2106,6,27,4,2015,18,0,1
1,471,9,27,4,2015,15,0,1
1,94,1,27,4,2015,14,0,1
1,2165,9,27,4,2015,8,30,1
1,1255,6,27,4,2015,4,30,1
1,2198,9,27,4,2015,0,1,1
1,2203,7,27,4,2015,0,1,1
7,2235,4,19,4,2015,21,0,1
7,2091,2,19,4,2015,16,15,1
7,2307,6,19,4,2015,0,21,1
6,2405,5,18,4,2015,23,12,1
6,501,4,18,4,2015,22,9,1
6,925,2,18,4,2015,22,0,1
6,2424,2,18,4,2015,21,45,1
6,11,10,18,4,2015,20,41,1
6,189,2,18,4,2015,18,0,1
6,2489,1,18,4,2015,14,0,1
6,2391,2,18,4,2015,0,30,1
5,2598,2,17,4,2015,21,50,1
5,652,2,17,4,2015,21,30,1
5,2617,1,17,4,2015,20,0,1
5,2646,5,17,4,2015,18,0,1
5,2663,7,17,4,2015,16,51,1
5,2679,6,17,4,2015,15,0,1
5,213,4,17,4,2015,14,3,1
5,2739,2,17,4,2015,6,0,1
5,2751,8,17,4,2015,2,8,1
5,125,2,17,4,2015,0,1,1
5,2759,1,17,4,2015,0,1,1
4,501,4,16,4,2015,23,30,1
4,1722,2,16,4,2015,21,0,1
4,2483,1,16,4,2015,19,32,1
4,136,5,16,4,2015,16,36,1
4,2819,8,16,4,2015,16,30,1
4,1993,6,16,4,2015,13,0,1
4,27,5,16,4,2015,12,0,1
4,2897,5,16,4,2015,0,1,1
4,1191,10,16,4,2015,0,1,1
3,511,4,15,4,2015,18,20,1
3,1317,9,15,4,2015,15,0,1
3,2982,2,15,4,2015,14,0,1
3,1694,1,15,4,2015,13,30,1
3,2995,5,15,4,2015,12,0,1
