"day","address","location","date","month","year","hour","min","GAMBLING"
5,3736,3,3,4,2015,10,20,1
5,3736,3,3,4,2015,10,20,1
3,1077,4,18,3,2015,7,38,1
3,1077,4,18,3,2015,7,38,1
3,2450,3,4,2,2015,10,33,1
2,1156,8,3,2,2015,23,15,1
7,7172,1,2,11,2014,14,55,1
5,9468,3,3,10,2014,10,44,1
5,554,10,30,5,2014,0,31,1
3,4832,4,27,11,2013,10,50,1
4,1156,8,3,10,2013,17,30,1
5,8701,1,6,9,2013,5,5,1
5,8701,1,6,9,2013,5,5,1
6,198,1,1,6,2013,13,44,1
4,1156,8,21,3,2013,17,12,1
4,5267,3,24,1,2013,15,0,1
3,357,4,14,11,2012,12,33,1
7,2209,4,7,10,2012,20,45,1
1,1524,3,1,10,2012,8,0,1
1,1524,3,1,10,2012,8,0,1
2,4047,3,18,9,2012,11,7,1
6,3708,4,25,8,2012,18,54,1
1,6504,3,11,6,2012,11,27,1
3,6470,8,30,5,2012,8,15,1
3,9887,9,30,5,2012,0,1,1
7,11223,5,6,5,2012,3,18,1
6,3923,3,22,10,2011,18,0,1
7,125,2,25,9,2011,13,0,1
5,357,4,23,9,2011,14,30,1
4,7769,8,22,9,2011,6,30,1
7,3736,3,3,7,2011,13,18,1
3,1879,3,15,6,2011,18,8,1
6,657,8,4,6,2011,18,21,1
6,3238,3,7,5,2011,21,18,1
6,1769,3,7,5,2011,13,15,1
1,1958,3,2,5,2011,18,26,1
1,5267,3,2,5,2011,14,10,1
7,1958,3,24,4,2011,14,48,1
4,1958,3,24,2,2011,10,57,1
6,5307,8,29,1,2011,19,50,1
5,11786,4,17,12,2010,15,5,1
1,1752,3,13,12,2010,19,17,1
7,2734,8,4,7,2010,19,54,1
1,5267,3,14,6,2010,17,10,1
5,232,4,15,1,2010,12,0,1
4,53,1,14,1,2010,9,14,1
4,1733,1,24,12,2009,17,21,1
6,6272,4,14,11,2009,15,13,1
5,10584,8,13,11,2009,14,0,1
5,2743,1,30,10,2009,22,30,1
6,4951,6,17,10,2009,11,20,1
2,5070,9,13,10,2009,11,48,1
3,468,2,30,9,2009,22,14,1
2,19639,1,1,9,2009,19,14,1
5,2683,1,7,8,2009,16,58,1
5,14032,7,24,7,2009,17,0,1
1,3337,4,20,7,2009,12,0,1
3,2328,5,24,6,2009,14,51,1
2,510,1,9,6,2009,12,30,1
4,6690,4,14,5,2009,10,40,1
4,6690,4,14,5,2009,10,40,1
4,125,2,14,5,2009,10,30,1
3,6866,1,15,4,2009,14,45,1
3,4535,1,18,3,2009,13,30,1
3,15758,5,10,12,2008,13,33,1
3,554,10,3,9,2008,20,44,1
3,1583,4,20,8,2008,12,0,1
6,2119,10,12,7,2008,23,15,1
5,4668,1,11,7,2008,7,30,1
7,2489,1,15,6,2008,16,50,1
7,2622,2,18,5,2008,14,0,1
5,1879,3,16,5,2008,18,39,1
5,967,4,7,3,2008,0,1,1
5,277,10,8,2,2008,14,10,1
5,1116,2,28,12,2007,12,25,1
4,4535,1,29,11,2007,13,25,1
3,2325,5,14,11,2007,19,0,1
2,4692,3,2,10,2007,15,15,1
2,83,2,18,9,2007,12,10,1
2,435,10,4,9,2007,13,25,1
1,38,10,3,9,2007,10,45,1
7,3116,1,26,8,2007,15,16,1
5,5051,1,24,8,2007,16,0,1
5,12621,8,27,7,2007,9,0,1
3,772,10,11,7,2007,14,30,1
5,4682,1,15,6,2007,21,0,1
1,4535,1,11,6,2007,15,0,1
5,1245,10,20,4,2007,22,0,1
4,125,2,22,3,2007,14,0,1
5,1472,5,9,3,2007,9,51,1
3,417,3,7,3,2007,12,4,1
4,1094,2,8,2,2007,21,20,1
3,841,2,7,2,2007,12,5,1
5,11486,9,29,12,2006,17,30,1
4,2593,2,19,10,2006,0,1,1
6,1459,5,7,10,2006,0,1,1
5,4535,1,28,7,2006,14,36,1
3,3116,1,12,7,2006,18,30,1
4,2743,1,29,6,2006,22,0,1
4,6463,1,29,6,2006,9,0,1
6,7172,1,3,6,2006,16,45,1
1,156,2,1,5,2006,8,0,1
1,5290,7,17,4,2006,9,0,1
4,2165,9,23,3,2006,13,15,1
2,11399,5,7,3,2006,1,0,1
1,841,2,6,3,2006,0,1,1
3,3116,1,8,2,2006,17,27,1
5,1942,2,23,9,2005,8,9,1
2,6428,8,9,8,2005,15,30,1
3,12297,9,15,6,2005,5,18,1
6,1233,4,4,6,2005,11,5,1
3,10907,5,1,6,2005,13,32,1
5,17937,3,22,4,2005,15,30,1
6,7535,4,9,4,2005,20,0,1
4,3739,8,24,2,2005,10,30,1
6,4535,1,12,2,2005,13,53,1
5,4535,1,11,2,2005,14,39,1
6,4692,3,13,11,2004,13,15,1
3,857,8,10,11,2004,12,0,1
2,14542,8,9,11,2004,13,56,1
5,3458,5,29,10,2004,3,38,1
5,2037,5,29,10,2004,0,50,1
6,638,4,21,8,2004,0,1,1
3,7649,8,18,8,2004,10,0,1
5,8979,9,25,6,2004,12,14,1
4,125,2,27,5,2004,11,55,1
1,4301,2,10,5,2004,14,20,1
5,4535,1,20,2,2004,12,5,1
6,771,1,7,2,2004,22,23,1
3,4535,1,4,2,2004,15,30,1
5,435,10,23,1,2004,19,14,1
3,6504,3,21,1,2004,15,51,1
1,435,10,24,11,2003,23,19,1
5,2868,7,14,11,2003,13,30,1
7,22063,3,21,9,2003,16,30,1
6,2462,2,20,9,2003,15,20,1
3,4249,9,3,9,2003,17,35,1
1,850,9,18,8,2003,18,0,1
4,554,10,7,8,2003,11,35,1
6,1958,3,26,7,2003,17,11,1
2,277,10,8,7,2003,16,35,1
7,10170,7,15,6,2003,12,0,1
5,455,2,16,5,2003,15,0,1
3,14202,8,14,5,2003,8,0,1
3,3029,3,19,3,2003,13,10,1
6,3116,1,8,2,2003,16,15,1
6,4528,5,1,11,2008,6,10,0
1,2902,5,18,2,2013,17,30,0
1,3278,3,13,4,2015,11,16,0
3,1351,8,2,6,2010,13,49,0
6,392,4,13,12,2014,13,55,0
5,443,6,29,7,2011,10,10,0
