"day","address","location","date","month","year","hour","min","KIDNAPPING"
3,195,8,13,5,2015,12,21,1
3,256,2,13,5,2015,4,45,1
2,290,1,12,5,2015,22,25,1
1,632,8,11,5,2015,16,0,1
1,737,5,11,5,2015,7,30,1
7,918,9,3,5,2015,13,0,1
7,554,10,3,5,2015,2,30,1
7,1004,1,3,5,2015,0,40,1
6,1182,5,2,5,2015,10,40,1
5,1261,9,1,5,2015,22,7,1
4,1449,1,30,4,2015,23,0,1
4,1455,1,30,4,2015,22,50,1
4,1512,4,30,4,2015,19,12,1
4,1649,9,30,4,2015,0,50,1
3,392,4,29,4,2015,18,0,1
3,392,4,29,4,2015,18,0,1
3,1757,3,29,4,2015,14,45,1
3,1429,10,29,4,2015,10,39,1
7,2319,3,19,4,2015,14,30,1
7,1895,3,19,4,2015,4,15,1
7,1895,3,19,4,2015,4,15,1
6,2567,9,18,4,2015,1,30,1
6,1553,4,18,4,2015,0,1,1
6,2576,5,18,4,2015,0,1,1
4,2478,8,16,4,2015,17,50,1
3,2985,5,15,4,2015,7,42,1
2,402,4,14,4,2015,21,0,1
6,1429,10,4,4,2015,8,8,1
3,3961,4,1,4,2015,17,15,1
3,361,2,1,4,2015,16,0,1
1,4249,9,30,3,2015,14,30,1
7,4319,4,22,3,2015,19,0,1
7,4360,3,22,3,2015,13,10,1
7,4404,7,22,3,2015,1,32,1
5,280,3,20,3,2015,1,10,1
3,2191,1,18,3,2015,17,30,1
3,491,3,18,3,2015,17,0,1
3,4882,1,18,3,2015,0,30,1
7,125,2,8,3,2015,22,30,1
7,3,5,8,3,2015,3,10,1
7,511,4,8,3,2015,0,1,1
6,5290,7,7,3,2015,16,0,1
5,3725,10,6,3,2015,21,31,1
3,5551,8,4,3,2015,22,46,1
2,1679,5,3,3,2015,18,27,1
6,2360,8,21,2,2015,21,30,1
5,2976,1,20,2,2015,23,45,1
5,1030,2,20,2,2015,23,10,1
5,3031,9,20,2,2015,13,40,1
5,979,4,20,2,2015,9,30,1
2,6451,8,17,2,2015,3,30,1
1,1920,5,16,2,2015,16,5,1
1,6503,3,16,2,2015,13,2,1
1,6503,3,16,2,2015,13,2,1
7,268,1,8,2,2015,22,25,1
7,979,4,8,2,2015,9,30,1
2,150,10,3,2,2015,15,59,1
1,7049,5,2,2,2015,21,30,1
1,199,8,2,2,2015,10,20,1
6,3142,6,24,1,2015,4,0,1
6,7263,6,24,1,2015,2,15,1
5,3738,8,23,1,2015,22,0,1
4,92,1,22,1,2015,20,0,1
2,6460,8,20,1,2015,10,15,1
1,5195,2,19,1,2015,23,15,1
7,88,2,11,1,2015,20,15,1
6,2373,2,10,1,2015,1,0,1
6,1235,5,10,1,2015,0,1,1
5,3177,8,9,1,2015,10,16,1
