"day","address","location","date","month","year","hour","min","LIQUORLAWS"
7,801,9,3,5,2015,21,13,1
6,1118,4,2,5,2015,17,7,1
5,102,10,1,5,2015,14,30,1
4,736,4,30,4,2015,0,31,1
7,1429,10,19,4,2015,16,28,1
7,2317,1,19,4,2015,14,51,1
5,102,10,17,4,2015,14,36,1
4,359,10,16,4,2015,19,36,1
4,2888,3,16,4,2015,2,45,1
7,322,5,5,4,2015,0,25,1
4,166,10,2,4,2015,17,15,1
4,1235,5,2,4,2015,12,58,1
3,3949,7,1,4,2015,18,30,1
3,1765,6,1,4,2015,17,30,1
3,2265,4,1,4,2015,16,56,1
3,3647,1,1,4,2015,8,30,1
1,511,4,30,3,2015,10,59,1
1,511,4,30,3,2015,7,46,1
5,4600,1,20,3,2015,15,1,1
4,1111,1,19,3,2015,0,53,1
5,138,2,6,3,2015,12,45,1
1,5827,3,2,3,2015,10,18,1
6,5963,9,21,2,2015,23,52,1
6,511,4,21,2,2015,19,30,1
3,2565,4,18,2,2015,16,37,1
1,6465,4,16,2,2015,22,18,1
1,764,6,16,2,2015,4,34,1
7,4367,8,8,2,2015,12,30,1
2,1012,4,3,2,2015,2,20,1
1,7076,8,2,2,2015,18,15,1
6,7201,9,24,1,2015,23,50,1
4,2725,4,22,1,2015,0,16,1
3,7476,4,21,1,2015,8,50,1
2,211,5,20,1,2015,14,29,1
7,3727,10,11,1,2015,2,38,1
5,8228,9,26,12,2014,21,20,1
7,2963,3,16,11,2014,13,49,1
6,2221,9,15,11,2014,1,44,1
4,392,4,13,11,2014,12,10,1
2,7953,5,11,11,2014,9,0,1
7,1091,10,2,11,2014,1,41,1
6,9702,7,1,11,2014,0,2,1
3,8298,1,29,10,2014,22,0,1
1,1153,4,27,10,2014,16,50,1
7,1091,10,19,10,2014,17,55,1
1,2016,6,13,10,2014,17,26,1
4,2045,6,2,10,2014,19,10,1
4,1039,5,2,10,2014,18,35,1
4,5485,5,2,10,2014,17,30,1
6,2622,2,6,9,2014,0,45,1
2,11095,1,2,9,2014,11,45,1
