"day","address","location","date","month","year","hour","min","PORNOGRAPHYOBSCENEMAT"
2,4533,2,28,5,2013,18,44,1
4,1116,2,23,8,2012,16,35,1
7,125,2,18,12,2011,3,0,1
1,1245,10,25,7,2011,8,0,1
2,582,3,28,12,2010,17,56,1
3,105,5,6,10,2010,12,0,1
4,3049,5,25,3,2010,21,0,1
4,7953,5,10,7,2008,8,40,1
5,2251,1,7,9,2007,2,10,1
2,6882,3,4,9,2007,14,0,1
1,3637,9,19,3,2007,14,0,1
3,4601,1,1,11,2006,2,8,1
4,7209,5,5,10,2006,12,0,1
3,1634,5,9,8,2006,11,0,1
5,501,4,7,10,2005,11,30,1
6,1588,9,26,3,2005,18,30,1
7,7523,9,27,2,2005,21,0,1
7,4301,2,27,2,2005,9,45,1
5,17484,9,26,11,2004,22,0,1
4,12609,4,19,8,2004,14,38,1
5,5158,7,6,8,2004,9,30,1
1,392,4,15,9,2003,16,35,1
3,501,4,18,3,2009,8,0,0
6,451,2,16,6,2007,23,53,0
5,142,1,15,7,2011,16,35,0
6,1790,1,13,1,2007,18,0,0
3,20073,4,25,6,2008,1,0,0
2,460,5,28,10,2003,13,0,0
5,11963,9,11,7,2014,22,0,0
4,324,1,24,2,2011,15,16,0
4,77,10,16,10,2008,21,0,0
6,435,10,8,4,2006,23,45,0
2,363,2,6,9,2005,22,40,0
1,213,4,5,2,2007,9,52,0
4,3874,1,30,5,2013,12,27,0
2,5057,5,5,8,2003,11,35,0
6,353,2,1,11,2014,21,10,0
6,1812,3,15,1,2005,14,13,0
5,12032,2,28,1,2011,21,57,0
2,11952,9,10,6,2008,18,0,0
6,3782,9,17,4,2004,3,24,0
5,3405,5,21,2,2003,21,0,0
4,408,2,19,2,2015,15,16,0
5,1435,2,17,12,2010,18,30,0
3,3419,8,5,2,2003,19,30,0
6,7382,3,20,3,2004,2,55,0
3,8671,4,24,3,2010,8,55,0
7,907,6,14,6,2009,19,3,0
5,2855,1,8,8,2008,17,35,0
6,1162,1,28,12,2013,8,23,0
5,9738,8,9,3,2007,9,50,0
1,2891,5,19,8,2013,23,0,0
7,4505,9,5,5,2013,21,58,0
4,4111,10,19,2,2004,17,50,0
3,9625,7,28,4,2004,22,30,0
3,7622,2,24,12,2008,9,0,0
7,1091,10,11,3,2012,10,12,0
1,6962,5,19,8,2013,0,1,0
5,6478,9,16,5,2003,19,30,0
1,13077,5,24,6,2013,11,32,0
3,83,2,1,9,2004,11,22,0
3,855,4,21,1,2004,17,0,0
2,14796,2,29,10,2013,10,0,0
4,2191,1,23,1,2003,16,45,0
1,1323,4,25,11,2013,23,0,0
1,5491,3,6,9,2010,7,30,0
3,8925,5,8,8,2007,22,30,0
6,125,2,23,4,2005,18,0,0
6,3424,1,4,4,2009,12,57,0
2,893,10,3,2,2015,20,0,0
1,4420,4,10,1,2005,18,30,0
5,14314,5,27,12,2013,4,0,0
3,125,2,24,8,2011,8,15,0
6,1257,5,30,1,2010,0,1,0
7,13593,7,9,3,2014,14,0,0
7,2345,3,19,4,2015,10,36,0
3,1913,5,23,12,2009,14,30,0
5,13224,5,23,3,2007,9,40,0
6,36,2,24,1,2015,16,51,0
1,6727,6,9,8,2010,23,53,0
3,490,2,23,6,2004,18,50,0
1,408,2,17,5,2010,15,0,0
1,5245,5,10,11,2014,9,50,0
2,2891,5,5,10,2010,10,4,0
2,7704,1,11,11,2003,10,50,0
4,125,2,12,7,2007,18,30,0
5,7600,6,13,7,2007,23,10,0
2,1061,4,28,10,2014,21,30,0
4,9453,5,22,9,2005,14,30,0
4,166,10,13,12,2007,19,0,0
4,501,4,4,9,2003,21,0,0
1,517,2,1,11,2010,20,30,0
4,1943,2,13,6,2013,18,13,0
6,2826,2,22,8,2009,21,0,0
6,4224,7,11,2,2012,9,30,0
3,22506,6,14,4,2004,0,55,0
1,1666,6,16,5,2011,11,38,0
2,6900,3,14,6,2011,15,30,0
7,2362,9,19,4,2015,7,30,0
7,6122,2,3,10,2004,9,45,0
4,2616,1,27,12,2007,2,25,0
5,1507,10,6,2,2015,5,58,0
2,12297,9,29,4,2003,4,0,0
2,1553,4,30,10,2007,10,0,0
3,211,5,2,11,2011,0,1,0
5,518,10,7,9,2007,19,0,0
7,1431,10,28,11,2004,16,50,0
6,779,2,23,3,2013,15,0,0
6,5474,4,7,10,2006,12,30,0
2,263,1,13,11,2012,8,0,0
2,9135,9,11,5,2004,13,45,0
1,803,6,17,3,2003,19,0,0
5,3991,8,11,7,2003,16,15,0
7,12915,3,4,5,2014,3,3,0
5,343,4,3,10,2008,23,0,0
5,144,4,2,5,2014,9,40,0
5,2693,1,11,12,2009,19,25,0
1,5105,4,10,5,2004,8,0,0
7,9275,4,27,12,2009,0,30,0
5,2862,10,3,5,2013,20,25,0
6,3376,10,9,4,2005,7,16,0
7,11627,5,9,9,2012,3,25,0
1,10809,8,17,9,2012,9,30,0
5,1871,1,19,4,2013,0,1,0
5,2821,2,6,4,2007,14,15,0
1,125,2,31,3,2014,0,1,0
5,2862,10,3,10,2003,2,50,0
2,6378,9,4,3,2003,19,0,0
6,2488,1,21,9,2013,0,29,0
4,13557,3,13,11,2008,20,30,0
5,6170,7,28,1,2011,12,0,0
7,2760,5,28,3,2010,19,0,0
