"day","address","location","date","month","year","hour","min","PROSTITUTION"
2,327,7,12,5,2015,19,44,1
1,13,3,11,5,2015,12,0,1
4,939,5,30,4,2015,23,55,1
4,939,5,30,4,2015,23,55,1
4,939,5,30,4,2015,23,0,1
4,939,5,30,4,2015,23,0,1
4,939,5,30,4,2015,20,22,1
4,939,5,30,4,2015,20,22,1
4,939,5,30,4,2015,19,51,1
4,939,5,30,4,2015,19,51,1
4,939,5,30,4,2015,19,4,1
4,939,5,30,4,2015,19,4,1
4,939,5,30,4,2015,18,34,1
4,939,5,30,4,2015,18,34,1
4,939,5,30,4,2015,18,30,1
4,939,5,30,4,2015,18,30,1
4,939,5,30,4,2015,15,38,1
4,939,5,30,4,2015,15,38,1
4,939,5,30,4,2015,14,55,1
4,939,5,30,4,2015,14,55,1
4,1585,8,30,4,2015,12,45,1
4,1639,4,30,4,2015,3,10,1
4,1656,4,30,4,2015,0,2,1
1,1786,8,13,4,2015,18,0,1
3,534,4,1,4,2015,6,1,1
4,1996,2,5,3,2015,22,0,1
4,1996,2,5,3,2015,22,0,1
4,1996,2,5,3,2015,21,0,1
4,1996,2,5,3,2015,21,0,1
4,1996,2,5,3,2015,21,0,1
4,1996,2,5,3,2015,20,0,1
4,1996,2,5,3,2015,20,0,1
4,1996,2,5,3,2015,20,0,1
4,1996,2,5,3,2015,20,0,1
4,1996,2,5,3,2015,20,0,1
4,1996,2,5,3,2015,19,0,1
4,1996,2,5,3,2015,19,0,1
4,1996,2,5,3,2015,11,0,1
4,1996,2,5,3,2015,11,0,1
4,1996,2,5,3,2015,11,0,1
4,5544,4,5,3,2015,0,1,1
3,1236,4,4,3,2015,3,17,1
2,5156,4,3,3,2015,0,1,1
6,5444,10,21,2,2015,1,39,1
5,1506,7,23,1,2015,15,36,1
6,7743,9,10,1,2015,11,50,1
5,2563,10,26,12,2014,21,0,1
4,2096,8,25,12,2014,1,51,1
4,644,1,11,12,2014,22,0,1
4,644,1,11,12,2014,21,13,1
4,644,1,11,12,2014,20,0,1
4,1233,4,11,12,2014,0,1,1
2,899,4,9,12,2014,1,16,1
2,352,4,9,12,2014,0,35,1
2,644,1,25,11,2014,22,20,1
2,644,1,25,11,2014,22,20,1
2,644,1,25,11,2014,22,20,1
2,644,1,25,11,2014,21,45,1
2,644,1,25,11,2014,21,45,1
2,644,1,25,11,2014,19,5,1
2,644,1,25,11,2014,19,5,1
2,644,1,25,11,2014,19,0,1
