"day","address","location","date","month","year","hour","min","RECOVEREDVEHICLE"
7,12113,2,29,12,2013,9,54,1
7,3619,2,29,12,2013,8,57,1
7,3721,8,29,12,2013,3,30,1
6,169,8,28,12,2013,16,18,1
5,2763,5,27,12,2013,7,43,1
4,3004,5,26,12,2013,13,37,1
4,4169,3,26,12,2013,2,26,1
3,9703,8,25,12,2013,18,0,1
2,619,8,24,12,2013,0,36,1
1,1951,2,23,12,2013,13,0,1
1,8211,2,23,12,2013,10,25,1
1,1094,2,23,12,2013,7,15,1
7,779,2,15,12,2013,23,10,1
7,8673,6,15,12,2013,18,49,1
7,8030,4,15,12,2013,7,24,1
6,11401,7,14,12,2013,23,13,1
6,538,8,14,12,2013,21,35,1
6,14395,6,14,12,2013,18,13,1
6,3134,3,14,12,2013,10,37,1
6,11363,8,14,12,2013,7,45,1
6,385,3,14,12,2013,6,59,1
4,11838,8,12,12,2013,9,35,1
3,141,6,11,12,2013,18,45,1
3,7328,7,11,12,2013,0,43,1
2,7084,9,10,12,2013,23,47,1
2,746,4,10,12,2013,12,21,1
2,14461,8,10,12,2013,11,54,1
2,1431,10,10,12,2013,7,33,1
1,5596,5,9,12,2013,13,22,1
1,673,10,9,12,2013,9,55,1
7,4166,1,1,12,2013,0,34,1
7,14499,7,1,12,2013,0,28,1
5,14530,3,29,11,2013,19,8,1
5,6272,4,29,11,2013,17,21,1
5,5651,3,29,11,2013,0,30,1
4,14552,8,28,11,2013,7,17,1
2,840,5,26,11,2013,20,40,1
2,2759,1,26,11,2013,19,36,1
2,9415,4,26,11,2013,13,8,1
2,1829,10,26,11,2013,4,22,1
1,3846,5,25,11,2013,12,45,1
7,3376,10,17,11,2013,23,10,1
6,5611,3,16,11,2013,18,56,1
6,6916,4,16,11,2013,17,5,1
6,4529,8,16,11,2013,8,54,1
4,10685,3,14,11,2013,19,56,1
4,2810,2,14,11,2013,12,0,1
4,1955,9,14,11,2013,8,0,1
4,1341,7,14,11,2013,2,7,1
3,347,8,13,11,2013,23,55,1
1,451,2,11,11,2013,7,20,1
1,1524,3,11,11,2013,6,30,1
7,3611,3,3,11,2013,22,38,1
5,9861,5,1,11,2013,3,9,1
4,542,2,31,10,2013,22,28,1
4,14754,4,31,10,2013,17,25,1
4,14761,8,31,10,2013,7,53,1
4,14764,8,31,10,2013,0,25,1
3,10411,4,30,10,2013,22,18,1
3,11503,8,30,10,2013,21,45,1
3,738,3,30,10,2013,19,55,1
3,11430,1,30,10,2013,12,22,1
3,11141,7,30,10,2013,12,19,1
3,14784,8,30,10,2013,2,50,1
2,831,4,29,10,2013,22,41,1
2,125,2,29,10,2013,18,6,1
2,11875,8,29,10,2013,7,43,1
1,3725,10,28,10,2013,16,14,1
