"day","address","location","date","month","year","hour","min","RUNAWAY"
3,221,8,13,5,2015,9,0,1
1,689,7,11,5,2015,11,45,1
3,631,2,29,4,2015,18,0,1
2,631,2,28,4,2015,20,0,1
3,2835,10,15,4,2015,12,25,1
2,3165,6,14,4,2015,8,0,1
1,221,8,13,4,2015,7,30,1
6,1233,4,4,4,2015,1,15,1
4,3889,7,2,4,2015,7,0,1
7,2733,4,22,3,2015,14,5,1
5,4603,5,20,3,2015,14,45,1
2,3634,1,17,3,2015,21,30,1
1,126,8,16,3,2015,22,25,1
1,803,6,16,3,2015,8,30,1
1,803,6,16,3,2015,8,30,1
5,1347,8,6,3,2015,6,0,1
5,2490,3,6,2,2015,16,0,1
3,3497,8,4,2,2015,7,0,1
1,631,2,2,2,2015,8,0,1
6,2320,9,24,1,2015,17,0,1
4,1331,4,22,1,2015,12,22,1
3,102,10,21,1,2015,14,0,1
2,803,6,20,1,2015,18,59,1
2,756,3,20,1,2015,10,55,1
1,631,2,19,1,2015,18,15,1
4,689,7,8,1,2015,10,0,1
5,7102,3,26,12,2014,21,30,1
5,2742,8,26,12,2014,5,0,1
2,3400,5,23,12,2014,19,51,1
5,4837,9,12,12,2014,0,1,1
4,803,6,27,11,2014,14,30,1
6,631,2,15,11,2014,18,30,1
5,631,2,31,10,2014,18,0,1
5,2400,10,31,10,2014,18,0,1
5,144,4,31,10,2014,16,30,1
4,9810,5,30,10,2014,6,30,1
6,2328,5,18,10,2014,12,0,1
5,144,4,17,10,2014,18,20,1
4,803,6,16,10,2014,23,0,1
4,144,4,16,10,2014,13,36,1
4,10144,3,16,10,2014,12,0,1
3,631,2,15,10,2014,17,45,1
3,438,6,15,10,2014,4,0,1
2,2618,3,14,10,2014,10,30,1
2,30,5,30,9,2014,7,15,1
1,803,6,29,9,2014,10,0,1
6,1261,9,20,9,2014,8,24,1
5,2490,3,19,9,2014,16,0,1
5,10741,3,19,9,2014,7,50,1
3,126,8,17,9,2014,20,29,1
3,6102,1,17,9,2014,19,0,1
2,126,8,16,9,2014,20,12,1
6,803,6,6,9,2014,10,0,1
5,144,4,5,9,2014,14,45,1
1,1621,6,1,9,2014,22,0,1
1,144,4,1,9,2014,17,50,1
1,144,4,1,9,2014,12,55,1
6,689,7,9,8,2014,20,29,1
5,2490,3,8,8,2014,15,5,1
5,2490,3,8,8,2014,15,5,1
3,6468,9,6,8,2014,2,0,1
7,144,4,27,7,2014,14,25,1
7,656,9,27,7,2014,8,0,1
6,144,4,26,7,2014,12,30,1
4,215,4,24,7,2014,11,30,1
4,144,4,24,7,2014,11,16,1
7,144,4,13,7,2014,21,30,1
7,144,4,13,7,2014,15,45,1
5,144,4,11,7,2014,16,50,1
4,144,4,10,7,2014,15,0,1
3,803,6,9,7,2014,11,30,1
1,4576,6,7,7,2014,20,30,1
7,2763,5,29,6,2014,0,45,1
5,2868,7,27,6,2014,8,0,1
2,656,9,24,6,2014,22,20,1
1,144,4,23,6,2014,21,30,1
7,12380,9,15,6,2014,13,0,1
6,7017,8,14,6,2014,9,55,1
2,126,8,10,6,2014,16,24,1
2,126,8,10,6,2014,0,32,1
1,3808,9,9,6,2014,22,30,1
1,126,8,9,6,2014,0,2,1
7,144,4,1,6,2014,10,59,1
7,144,4,1,6,2014,1,30,1
6,779,2,31,5,2014,18,10,1
5,144,4,30,5,2014,21,5,1
5,3808,9,30,5,2014,8,0,1
2,144,4,27,5,2014,21,50,1
7,656,9,18,5,2014,17,30,1
7,3808,9,18,5,2014,8,0,1
3,9629,5,14,5,2014,16,30,1
3,3808,9,14,5,2014,7,30,1
1,3808,9,12,5,2014,21,8,1
2,144,4,29,4,2014,2,15,1
1,2270,1,28,4,2014,15,0,1
7,979,4,20,4,2014,14,0,1
5,144,4,18,4,2014,11,0,1
4,144,4,17,4,2014,18,45,1
3,803,6,16,4,2014,8,21,1
5,7468,7,21,3,2014,22,10,1
5,7166,9,21,3,2014,7,30,1
4,144,4,20,3,2014,17,20,1
3,13525,8,19,3,2014,13,45,1
3,144,4,19,3,2014,9,30,1
3,385,3,19,3,2014,9,0,1
2,144,4,18,3,2014,11,3,1
2,5090,3,18,3,2014,10,0,1
1,144,4,17,3,2014,14,50,1
1,803,6,17,3,2014,13,15,1
1,3165,6,17,3,2014,8,30,1
7,13586,5,9,3,2014,23,0,1
7,144,4,9,3,2014,4,0,1
4,803,6,6,3,2014,19,30,1
3,3007,8,5,3,2014,13,0,1
3,4603,5,5,3,2014,9,0,1
1,144,4,3,3,2014,22,45,1
5,4603,5,21,2,2014,8,30,1
2,13231,8,18,2,2014,11,0,1
1,631,2,17,2,2014,20,0,1
7,3808,9,9,2,2014,21,0,1
6,144,4,8,2,2014,20,45,1
6,6706,9,8,2,2014,11,0,1
6,6706,9,8,2,2014,11,0,1
5,5412,4,7,2,2014,21,30,1
4,2858,1,6,2,2014,19,20,1
3,10903,3,5,2,2014,9,0,1
3,3808,9,5,2,2014,7,30,1
3,6706,9,5,2,2014,7,15,1
3,6706,9,5,2,2014,7,13,1
2,125,2,4,2,2014,7,50,1
1,144,4,3,2,2014,16,47,1
6,6463,1,25,1,2014,8,20,1
4,144,4,23,1,2014,14,15,1
3,3808,9,22,1,2014,7,30,1
2,2300,3,21,1,2014,16,40,1
7,4576,6,12,1,2014,9,0,1
7,656,9,29,12,2013,21,30,1
7,656,9,29,12,2013,18,30,1
7,10794,9,29,12,2013,6,0,1
6,6463,1,28,12,2013,14,0,1
3,1645,9,11,12,2013,8,0,1
2,144,4,10,12,2013,21,15,1
2,144,4,10,12,2013,15,25,1
1,3461,2,9,12,2013,12,15,1
4,656,9,28,11,2013,20,45,1
4,14547,9,28,11,2013,11,17,1
2,803,6,26,11,2013,22,10,1
7,656,9,17,11,2013,20,9,1
6,3808,9,16,11,2013,18,0,1
3,144,4,13,11,2013,22,50,1
2,6706,9,12,11,2013,13,27,1
4,3736,3,31,10,2013,14,30,1
4,6706,9,17,10,2013,19,30,1
