"day","address","location","date","month","year","hour","min","SECONDARYCODES"
3,92,1,13,5,2015,17,45,1
3,139,2,13,5,2015,15,46,1
3,191,3,13,5,2015,12,30,1
3,217,8,13,5,2015,9,40,1
3,254,5,13,5,2015,5,25,1
2,94,1,12,5,2015,22,0,1
2,380,8,12,5,2015,16,5,1
2,478,1,12,5,2015,6,0,1
2,491,3,12,5,2015,3,15,1
1,146,10,11,5,2015,20,55,1
1,603,4,11,5,2015,18,18,1
1,611,4,11,5,2015,17,44,1
1,638,4,11,5,2015,15,44,1
1,656,9,11,5,2015,14,9,1
7,125,2,3,5,2015,19,30,1
7,359,10,3,5,2015,17,36,1
7,992,1,3,5,2015,1,52,1
6,1109,3,2,5,2015,18,25,1
6,1110,5,2,5,2015,18,15,1
6,1153,4,2,5,2015,13,30,1
6,125,2,2,5,2015,12,0,1
6,1182,5,2,5,2015,10,40,1
6,466,6,2,5,2015,6,0,1
6,1213,4,2,5,2015,2,40,1
5,1346,4,1,5,2015,14,30,1
5,1362,5,1,5,2015,12,20,1
5,530,8,1,5,2015,10,0,1
5,1383,7,1,5,2015,9,30,1
5,1431,10,1,5,2015,0,1,1
4,1517,3,30,4,2015,18,35,1
4,1543,7,30,4,2015,17,0,1
4,125,2,30,4,2015,16,0,1
4,1454,5,30,4,2015,15,0,1
4,772,10,30,4,2015,14,0,1
3,310,8,29,4,2015,15,0,1
3,1793,8,29,4,2015,11,0,1
3,47,2,29,4,2015,10,30,1
3,1799,7,29,4,2015,10,30,1
3,1802,5,29,4,2015,10,19,1
3,1808,9,29,4,2015,10,0,1
3,1811,9,29,4,2015,9,19,1
3,1842,7,29,4,2015,4,9,1
2,1973,9,28,4,2015,12,40,1
2,125,2,28,4,2015,10,30,1
2,2004,6,28,4,2015,7,55,1
1,656,9,27,4,2015,12,0,1
1,2154,9,27,4,2015,11,25,1
7,2267,2,19,4,2015,13,25,1
7,213,4,19,4,2015,9,51,1
7,1895,3,19,4,2015,4,15,1
6,2415,8,18,4,2015,22,23,1
6,2497,5,18,4,2015,13,30,1
6,2552,1,18,4,2015,6,14,1
6,2561,2,18,4,2015,2,30,1
6,2563,10,18,4,2015,2,0,1
6,230,1,18,4,2015,1,0,1
5,2582,4,17,4,2015,23,40,1
5,716,5,17,4,2015,20,26,1
5,2614,8,17,4,2015,20,10,1
5,2628,3,17,4,2015,19,30,1
5,101,4,17,4,2015,19,0,1
5,657,8,17,4,2015,18,30,1
5,2690,8,17,4,2015,13,0,1
5,2715,6,17,4,2015,10,0,1
4,1153,4,16,4,2015,20,37,1
4,2800,4,16,4,2015,18,20,1
4,2814,4,16,4,2015,17,0,1
4,2828,8,16,4,2015,15,2,1
4,2829,8,16,4,2015,15,0,1
4,2839,4,16,4,2015,13,15,1
4,2124,1,16,4,2015,12,24,1
4,259,5,16,4,2015,11,15,1
4,2854,8,16,4,2015,10,40,1
4,2868,7,16,4,2015,8,30,1
4,241,2,16,4,2015,2,29,1
4,491,3,16,4,2015,0,1,1
3,656,9,15,4,2015,20,30,1
3,2365,5,15,4,2015,19,20,1
3,601,9,15,4,2015,17,0,1
3,2963,3,15,4,2015,11,0,1
3,3007,8,15,4,2015,11,0,1
2,3061,8,14,4,2015,22,18,1
2,3087,7,14,4,2015,20,30,1
2,621,3,14,4,2015,17,0,1
2,1876,8,14,4,2015,4,0,1
1,3189,1,13,4,2015,23,32,1
1,1786,8,13,4,2015,18,0,1
1,1786,8,13,4,2015,12,30,1
1,3320,4,13,4,2015,0,1,1
7,213,4,5,4,2015,15,2,1
7,3395,8,5,4,2015,15,0,1
7,3192,5,5,4,2015,14,32,1
7,199,8,5,4,2015,12,18,1
7,2737,3,5,4,2015,11,45,1
7,2684,9,5,4,2015,8,30,1
6,1080,8,4,4,2015,21,45,1
6,2895,8,4,4,2015,11,30,1
6,1469,3,4,4,2015,11,24,1
5,3650,9,3,4,2015,20,0,1
5,3653,9,3,4,2015,20,0,1
5,2904,2,3,4,2015,18,30,1
5,3672,3,3,4,2015,18,5,1
5,656,9,3,4,2015,18,0,1
5,36,2,3,4,2015,17,0,1
5,213,4,3,4,2015,16,30,1
5,619,8,3,4,2015,14,0,1
5,357,4,3,4,2015,8,20,1
5,3753,6,3,4,2015,6,0,1
5,799,9,3,4,2015,1,15,1
4,2563,10,2,4,2015,23,0,1
4,3796,3,2,4,2015,21,30,1
4,388,6,2,4,2015,13,30,1
4,3165,6,2,4,2015,12,0,1
4,2830,3,2,4,2015,8,0,1
4,3889,7,2,4,2015,7,0,1
4,3907,9,2,4,2015,0,1,1
3,3965,3,1,4,2015,17,0,1
3,3979,8,1,4,2015,15,10,1
3,1996,2,1,4,2015,13,30,1
3,376,2,1,4,2015,12,29,1
3,1397,3,1,4,2015,7,14,1
2,4052,4,31,3,2015,20,0,1
2,141,6,31,3,2015,13,45,1
2,510,1,31,3,2015,10,30,1
2,125,2,31,3,2015,10,0,1
2,2605,8,31,3,2015,0,1,1
1,4236,9,30,3,2015,17,25,1
1,2970,6,30,3,2015,16,24,1
1,1395,6,30,3,2015,15,8,1
7,2096,8,22,3,2015,18,35,1
7,4403,7,22,3,2015,2,5,1
7,981,2,22,3,2015,2,0,1
7,385,3,22,3,2015,0,45,1
6,3397,1,21,3,2015,21,10,1
6,64,4,21,3,2015,20,12,1
6,2862,10,21,3,2015,18,3,1
6,1235,5,21,3,2015,5,35,1
5,3404,3,20,3,2015,23,0,1
5,1300,6,20,3,2015,16,0,1
5,1761,1,20,3,2015,11,20,1
5,1351,8,20,3,2015,11,0,1
5,2581,9,20,3,2015,10,40,1
4,4669,5,19,3,2015,22,50,1
4,4687,8,19,3,2015,20,0,1
4,359,10,19,3,2015,18,52,1
4,191,3,19,3,2015,17,0,1
4,3007,8,19,3,2015,10,0,1
4,2145,4,19,3,2015,2,0,1
3,4798,3,18,3,2015,20,0,1
3,4829,8,18,3,2015,15,35,1
