"day","address","location","date","month","year","hour","min","SEXOFFENSESFORCIBLE"
2,290,1,12,5,2015,22,25,1
2,290,1,12,5,2015,22,25,1
1,511,4,11,5,2015,23,59,1
1,605,6,11,5,2015,18,0,1
1,653,10,11,5,2015,14,21,1
1,501,4,11,5,2015,8,30,1
1,741,2,11,5,2015,7,0,1
7,816,2,3,5,2015,20,0,1
7,823,2,3,5,2015,19,30,1
7,648,2,3,5,2015,15,0,1
7,949,5,3,5,2015,10,15,1
7,554,10,3,5,2015,2,30,1
7,554,10,3,5,2015,2,30,1
7,1004,1,3,5,2015,0,40,1
6,1075,4,2,5,2015,20,30,1
6,1077,4,2,5,2015,20,25,1
6,1111,1,2,5,2015,18,0,1
6,408,2,2,5,2015,14,9,1
6,1182,5,2,5,2015,10,40,1
4,895,2,30,4,2015,16,30,1
4,1560,4,30,4,2015,14,50,1
4,1560,4,30,4,2015,14,50,1
3,280,3,29,4,2015,21,20,1
3,280,3,29,4,2015,21,20,1
3,870,4,29,4,2015,20,0,1
3,870,4,29,4,2015,20,0,1
3,392,4,29,4,2015,18,0,1
3,392,4,29,4,2015,18,0,1
1,125,2,27,4,2015,11,30,1
1,492,6,27,4,2015,0,1,1
7,47,2,19,4,2015,21,48,1
7,2362,9,19,4,2015,7,30,1
6,1287,2,18,4,2015,19,30,1
6,925,2,18,4,2015,17,30,1
6,2575,9,18,4,2015,0,1,1
5,501,4,17,4,2015,9,0,1
5,2737,3,17,4,2015,7,0,1
5,2330,4,17,4,2015,7,0,1
4,2813,8,16,4,2015,17,11,1
3,117,1,15,4,2015,20,45,1
3,2943,6,15,4,2015,18,10,1
1,1786,8,13,4,2015,18,0,1
7,1080,8,5,4,2015,9,0,1
6,1254,2,4,4,2015,23,15,1
6,2412,8,4,4,2015,8,0,1
5,823,2,3,4,2015,10,0,1
5,3751,3,3,4,2015,7,0,1
5,3382,6,3,4,2015,3,15,1
3,501,4,1,4,2015,9,0,1
2,2604,8,31,3,2015,3,0,1
2,2605,8,31,3,2015,0,1,1
1,501,4,30,3,2015,8,40,1
7,4335,2,22,3,2015,16,30,1
7,1605,2,22,3,2015,4,0,1
6,4496,9,21,3,2015,13,0,1
6,4544,9,21,3,2015,0,1,1
5,4561,3,20,3,2015,20,30,1
5,4635,2,20,3,2015,7,0,1
3,548,10,18,3,2015,14,0,1
3,4849,7,18,3,2015,10,30,1
3,501,4,18,3,2015,9,0,1
2,4916,5,17,3,2015,19,30,1
1,2725,4,16,3,2015,21,0,1
1,717,2,16,3,2015,15,15,1
1,3923,3,16,3,2015,8,0,1
7,5186,1,8,3,2015,12,30,1
7,1994,3,8,3,2015,8,40,1
7,5216,1,8,3,2015,1,4,1
7,5217,1,8,3,2015,1,0,1
7,125,2,8,3,2015,0,1,1
6,5290,7,7,3,2015,16,0,1
6,511,4,7,3,2015,12,20,1
6,22,10,7,3,2015,3,0,1
6,458,6,7,3,2015,0,1,1
5,408,2,6,3,2015,20,12,1
5,2560,1,6,3,2015,19,25,1
5,830,10,6,3,2015,19,0,1
5,3414,10,6,3,2015,14,30,1
5,741,2,6,3,2015,2,30,1
5,5456,4,6,3,2015,2,0,1
5,5456,4,6,3,2015,2,0,1
4,408,2,5,3,2015,23,0,1
4,408,2,5,3,2015,23,0,1
4,408,2,5,3,2015,23,0,1
4,5481,4,5,3,2015,21,45,1
4,3154,5,5,3,2015,3,22,1
3,2274,7,4,3,2015,22,45,1
3,1259,8,4,3,2015,22,0,1
3,3317,1,4,3,2015,19,25,1
3,2725,4,4,3,2015,15,5,1
3,4951,6,4,3,2015,11,0,1
2,3180,10,3,3,2015,17,21,1
1,1991,10,2,3,2015,22,0,1
1,1829,10,2,3,2015,8,0,1
6,4611,4,21,2,2015,19,0,1
6,4319,4,21,2,2015,9,30,1
6,6065,4,21,2,2015,4,0,1
6,6068,1,21,2,2015,1,45,1
6,5739,4,21,2,2015,1,22,1
5,3180,10,20,2,2015,22,30,1
5,83,2,20,2,2015,10,30,1
5,83,2,20,2,2015,10,30,1
5,6165,2,20,2,2015,8,0,1
2,1496,5,17,2,2015,18,45,1
2,2620,5,17,2,2015,13,40,1
2,186,10,17,2,2015,2,15,1
1,6485,7,16,2,2015,18,0,1
1,1017,3,16,2,2015,17,10,1
7,2869,10,8,2,2015,11,20,1
6,40,1,7,2,2015,17,0,1
6,40,1,7,2,2015,17,0,1
6,40,1,7,2,2015,17,0,1
6,2693,1,7,2,2015,9,0,1
6,259,5,7,2,2015,3,25,1
3,6923,7,4,2,2015,11,30,1
3,6923,7,4,2,2015,11,30,1
2,292,5,3,2,2015,21,30,1
2,292,5,3,2,2015,21,30,1
2,223,10,3,2,2015,15,50,1
2,7033,8,3,2,2015,0,9,1
1,4031,3,2,2,2015,21,0,1
1,501,4,2,2,2015,9,10,1
1,501,4,2,2,2015,9,10,1
1,511,4,2,2,2015,8,30,1
7,7148,9,25,1,2015,20,0,1
7,7148,9,25,1,2015,20,0,1
6,125,2,24,1,2015,19,0,1
6,125,2,24,1,2015,19,0,1
6,3142,6,24,1,2015,4,0,1
6,3142,6,24,1,2015,4,0,1
6,1091,10,24,1,2015,2,0,1
6,7271,5,24,1,2015,1,17,1
5,4910,5,23,1,2015,23,5,1
5,1506,7,23,1,2015,15,36,1
2,3096,9,20,1,2015,10,30,1
2,3904,3,20,1,2015,10,30,1
2,501,4,20,1,2015,9,20,1
2,501,4,20,1,2015,9,15,1
1,7606,7,19,1,2015,12,15,1
7,88,2,11,1,2015,20,15,1
6,2713,7,10,1,2015,2,30,1
6,5591,5,10,1,2015,1,45,1
6,2373,2,10,1,2015,1,0,1
6,1235,5,10,1,2015,0,1,1
5,2678,8,9,1,2015,8,0,1
5,269,1,9,1,2015,3,31,1
5,430,1,9,1,2015,2,0,1
5,3890,6,9,1,2015,2,0,1
4,7846,3,8,1,2015,20,0,1
4,125,2,8,1,2015,5,12,1
2,4478,4,6,1,2015,11,0,1
2,4478,4,6,1,2015,11,0,1
1,6446,7,5,1,2015,23,0,1
1,7638,8,5,1,2015,18,0,1
1,7638,8,5,1,2015,18,0,1
1,2400,10,5,1,2015,13,8,1
1,2400,10,5,1,2015,13,8,1
1,478,1,5,1,2015,0,28,1
1,478,1,5,1,2015,0,28,1
4,3367,5,25,12,2014,22,0,1
4,174,8,25,12,2014,2,0,1
4,174,8,25,12,2014,2,0,1
3,105,5,24,12,2014,20,0,1
3,501,4,24,12,2014,15,0,1
2,511,4,23,12,2014,20,0,1
2,6947,5,23,12,2014,20,0,1
2,511,4,23,12,2014,20,0,1
1,468,2,22,12,2014,19,45,1
1,468,2,22,12,2014,19,45,1
1,355,2,22,12,2014,0,1,1
7,5169,2,14,12,2014,11,30,1
6,3395,8,13,12,2014,21,0,1
6,1862,5,13,12,2014,20,45,1
6,8612,4,13,12,2014,2,40,1
6,8612,4,13,12,2014,2,40,1
6,8612,4,13,12,2014,2,40,1
5,8077,3,12,12,2014,20,12,1
5,2365,5,12,12,2014,14,15,1
4,6021,4,11,12,2014,2,0,1
4,356,3,11,12,2014,0,1,1
3,1519,1,10,12,2014,21,30,1
3,1519,1,10,12,2014,21,30,1
3,924,5,10,12,2014,16,0,1
2,501,4,9,12,2014,9,5,1
2,501,4,9,12,2014,9,5,1
1,7535,4,8,12,2014,7,30,1
1,7535,4,8,12,2014,7,30,1
7,501,4,30,11,2014,12,0,1
5,70,10,28,11,2014,5,45,1
5,70,10,28,11,2014,5,45,1
5,2167,2,28,11,2014,5,0,1
4,384,9,27,11,2014,17,38,1
2,1565,5,25,11,2014,21,0,1
2,2835,10,25,11,2014,16,0,1
2,1042,3,25,11,2014,4,50,1
1,501,4,24,11,2014,8,40,1
1,501,4,24,11,2014,8,40,1
1,2441,1,24,11,2014,6,0,1
1,1406,4,24,11,2014,0,30,1
7,9270,3,16,11,2014,18,30,1
5,9203,8,14,11,2014,22,0,1
5,5837,4,14,11,2014,20,0,1
5,9380,8,14,11,2014,15,45,1
5,9380,8,14,11,2014,15,45,1
4,9434,8,13,11,2014,17,20,1
4,7669,4,13,11,2014,12,0,1
3,1567,5,12,11,2014,17,0,1
3,7939,1,12,11,2014,14,20,1
3,5656,4,12,11,2014,0,1,1
2,9538,4,11,11,2014,13,50,1
2,9538,4,11,11,2014,13,50,1
2,9538,4,11,11,2014,13,50,1
1,501,4,10,11,2014,9,0,1
1,501,4,10,11,2014,9,0,1
7,568,4,2,11,2014,22,45,1
7,568,4,2,11,2014,22,45,1
7,28,4,2,11,2014,22,30,1
6,1019,5,1,11,2014,23,33,1
6,1019,5,1,11,2014,23,33,1
6,2601,3,1,11,2014,8,0,1
