"day","address","location","date","month","year","hour","min","SEXOFFENSESNONFORCIBLE"
2,516,4,14,4,2015,1,0,1
4,2563,10,2,4,2015,23,0,1
3,4846,9,18,3,2015,11,30,1
6,4611,4,21,2,2015,19,0,1
4,550,3,18,9,2014,6,0,1
7,1558,1,24,8,2014,9,0,1
2,8644,6,19,8,2014,12,0,1
7,9397,4,10,8,2014,20,0,1
4,1275,10,7,8,2014,23,0,1
2,6222,9,8,7,2014,14,0,1
4,9247,8,29,5,2014,0,1,1
2,9810,5,27,5,2014,14,22,1
2,198,1,27,5,2014,13,30,1
2,347,8,15,4,2014,9,36,1
1,3204,8,17,2,2014,14,30,1
5,11848,7,24,1,2014,2,57,1
7,7158,9,1,12,2013,0,1,1
3,501,4,13,11,2013,12,0,1
5,8073,8,1,11,2013,14,30,1
5,144,4,1,11,2013,0,1,1
4,10724,3,5,9,2013,16,0,1
6,3010,1,29,6,2013,6,0,1
5,6504,3,31,5,2013,22,0,1
1,8812,4,18,3,2013,17,0,1
1,1331,4,4,3,2013,19,0,1
7,3204,8,21,10,2012,10,0,1
1,1378,6,20,8,2012,7,50,1
3,1300,6,13,6,2012,11,0,1
5,125,2,18,5,2012,15,30,1
4,2419,8,22,3,2012,11,0,1
2,125,2,20,3,2012,13,0,1
7,3912,6,11,3,2012,8,0,1
2,1783,4,21,2,2012,20,0,1
3,7687,3,8,2,2012,0,33,1
6,534,4,14,1,2012,18,30,1
4,205,8,12,1,2012,15,0,1
3,1786,8,11,1,2012,11,2,1
6,643,4,31,12,2011,0,1,1
4,109,1,1,12,2011,18,0,1
7,3694,8,28,8,2011,16,0,1
6,8893,8,13,8,2011,18,0,1
5,9839,8,12,8,2011,12,0,1
1,5819,4,11,7,2011,23,24,1
6,125,2,26,3,2011,14,0,1
3,10916,9,23,2,2011,20,8,1
5,2265,4,11,2,2011,19,0,1
3,4059,8,26,1,2011,14,0,1
2,2559,5,14,12,2010,5,50,1
2,1351,8,16,11,2010,21,35,1
1,4032,3,6,9,2010,9,16,1
7,16273,7,15,8,2010,0,55,1
7,15736,9,1,8,2010,12,0,1
5,13607,3,30,7,2010,11,35,1
3,8259,4,14,7,2010,15,0,1
6,125,2,3,7,2010,11,0,1
4,7400,5,1,7,2010,0,1,1
2,403,7,1,6,2010,0,1,1
7,12087,5,23,5,2010,14,35,1
1,2419,8,19,4,2010,12,0,1
3,7524,5,24,3,2010,13,5,1
3,125,2,27,1,2010,20,0,1
2,3981,7,12,1,2010,21,30,1
1,4280,4,11,1,2010,0,1,1
7,408,2,27,12,2009,18,0,1
5,6084,3,13,11,2009,9,45,1
2,23,5,15,9,2009,0,1,1
2,4892,4,1,9,2009,8,0,1
6,10078,7,22,8,2009,12,0,1
6,6100,8,21,3,2009,19,0,1
2,4244,3,6,1,2009,11,15,1
5,7114,6,31,10,2008,11,30,1
6,4571,5,4,10,2008,18,0,1
3,2915,4,3,9,2008,0,5,1
1,10234,8,1,9,2008,8,25,1
7,4076,4,1,6,2008,0,1,1
1,2472,8,24,12,2007,17,15,1
5,13339,8,30,11,2007,0,1,1
5,501,4,30,11,2007,0,1,1
5,478,1,2,11,2007,22,30,1
5,6043,9,2,11,2007,12,0,1
1,501,4,29,10,2007,16,46,1
2,16838,9,16,10,2007,13,0,1
3,2267,2,3,10,2007,6,45,1
3,328,10,5,9,2007,16,0,1
7,3191,4,29,7,2007,0,15,1
5,731,2,1,6,2007,0,1,1
3,727,4,30,5,2007,13,0,1
6,93,7,19,5,2007,13,0,1
5,13352,3,18,5,2007,18,0,1
2,125,2,1,5,2007,0,1,1
6,310,8,10,2,2007,15,0,1
6,125,2,10,2,2007,13,0,1
5,1209,1,26,1,2007,0,1,1
3,887,7,24,1,2007,14,0,1
2,6719,7,23,1,2007,22,0,1
5,3773,3,3,11,2006,18,30,1
3,1732,3,20,9,2006,8,0,1
6,9259,3,9,9,2006,12,0,1
2,8925,5,11,7,2006,15,0,1
3,125,2,14,6,2006,15,10,1
1,125,2,12,6,2006,23,0,1
6,4249,9,6,5,2006,12,0,1
5,13431,3,5,5,2006,16,0,1
5,15417,4,5,5,2006,13,50,1
1,2321,3,1,5,2006,0,1,1
4,1403,4,9,3,2006,0,1,1
3,11988,4,8,3,2006,22,30,1
6,3359,4,25,2,2006,22,20,1
1,2206,3,9,1,2006,12,30,1
7,11306,4,1,1,2006,12,0,1
7,14851,9,1,1,2006,8,0,1
5,2868,7,23,9,2005,9,0,1
3,7112,9,1,6,2005,12,0,1
1,979,4,16,5,2005,12,0,1
1,7764,4,2,5,2005,7,30,1
6,3618,2,26,3,2005,1,30,1
4,455,2,24,3,2005,13,15,1
4,501,4,10,3,2005,6,30,1
5,4891,4,11,2,2005,0,1,1
5,2430,8,14,1,2005,11,0,1
3,125,2,8,12,2004,10,10,1
1,1524,3,6,12,2004,9,31,1
1,5275,4,11,10,2004,13,0,1
5,3491,4,1,10,2004,9,0,1
2,7068,10,28,9,2004,10,0,1
3,3404,3,15,9,2004,0,4,1
6,125,2,21,8,2004,9,0,1
7,22235,3,11,7,2004,20,30,1
1,268,1,5,7,2004,1,0,1
5,528,10,25,6,2004,14,0,1
7,2792,4,2,5,2004,20,0,1
4,3334,5,15,4,2004,14,45,1
6,1222,9,3,4,2004,17,25,1
4,855,4,18,3,2004,12,0,1
2,417,3,16,9,2003,23,0,1
5,21763,7,5,9,2003,19,0,1
6,3783,4,23,8,2003,20,12,1
1,9132,8,23,6,2003,11,0,1
1,10359,3,9,6,2003,21,9,1
1,4053,9,9,6,2003,12,45,1
2,15138,8,27,5,2003,22,0,1
4,298,9,1,5,2003,0,1,1
5,12938,9,18,4,2003,8,0,1
2,9207,6,1,4,2003,12,0,1
1,339,3,17,3,2003,15,0,1
6,125,2,22,2,2003,13,30,1
3,3716,3,19,2,2003,11,40,1
5,1588,9,24,1,2003,21,33,1
5,2630,5,4,4,2003,19,0,0
4,1594,3,1,7,2010,16,0,0
7,4607,9,18,12,2011,19,0,0
2,713,4,10,6,2008,20,58,0
2,8614,8,25,5,2004,3,20,0
7,7986,4,8,5,2005,21,30,0
2,673,10,1,9,2009,0,1,0
5,5479,5,4,11,2005,14,34,0
2,303,8,20,3,2012,14,30,0
2,13247,7,18,3,2003,22,0,0
6,10350,2,19,4,2008,23,55,0
5,102,10,14,12,2007,20,7,0
2,3376,10,9,3,2010,14,20,0
5,2365,5,24,9,2010,17,0,0
4,2490,3,24,1,2008,10,30,0
7,2214,1,22,3,2009,21,0,0
7,12350,8,14,12,2003,17,20,0
3,144,4,25,6,2014,11,5,0
5,1789,4,9,7,2004,18,0,0
7,9356,4,20,5,2007,2,27,0
6,1077,4,20,10,2007,17,50,0
4,10232,1,27,12,2007,17,27,0
1,6393,3,7,7,2014,20,0,0
7,1039,5,18,10,2009,20,20,0
3,11954,9,25,1,2012,17,0,0
4,15869,8,13,6,2013,11,30,0
4,5150,4,13,11,2014,14,18,0
1,644,1,12,11,2007,13,7,0
4,27,5,1,7,2010,13,0,0
1,125,2,14,4,2003,18,0,0
3,10236,6,24,7,2013,8,16,0
5,1803,8,7,3,2014,8,0,0
7,2388,2,30,6,2013,6,4,0
6,64,4,16,10,2004,16,3,0
5,15746,5,18,4,2003,20,15,0
4,14723,9,22,4,2010,18,0,0
