"day","address","location","date","month","year","hour","min","STOLENPROPERTY"
3,91,3,13,5,2015,17,47,1
3,262,9,13,5,2015,2,22,1
2,348,10,12,5,2015,18,2,1
2,498,3,12,5,2015,1,1,1
1,353,2,11,5,2015,14,51,1
7,882,3,3,5,2015,16,12,1
6,1032,7,2,5,2015,23,15,1
6,1097,7,2,5,2015,19,0,1
5,594,8,1,5,2015,18,27,1
5,1314,2,1,5,2015,17,30,1
4,1618,5,30,4,2015,9,0,1
3,1683,9,29,4,2015,21,0,1
2,1922,7,28,4,2015,18,0,1
2,417,3,28,4,2015,15,32,1
2,1994,3,28,4,2015,9,37,1
1,2043,6,27,4,2015,23,15,1
1,2149,5,27,4,2015,12,0,1
1,2190,6,27,4,2015,1,44,1
7,2282,9,19,4,2015,17,49,1
6,2480,5,18,4,2015,15,0,1
6,499,2,18,4,2015,10,23,1
6,2565,4,18,4,2015,1,46,1
5,2617,1,17,4,2015,20,0,1
5,693,2,17,4,2015,16,30,1
4,392,4,16,4,2015,4,7,1
3,974,8,15,4,2015,14,15,1
3,2994,6,15,4,2015,12,16,1
3,1066,10,15,4,2015,7,25,1
3,630,1,15,4,2015,2,6,1
1,52,5,13,4,2015,22,28,1
1,3251,7,13,4,2015,16,30,1
1,3283,6,13,4,2015,10,58,1
1,290,1,13,4,2015,2,47,1
7,213,4,5,4,2015,17,5,1
7,324,1,5,4,2015,15,25,1
6,1041,5,4,4,2015,23,0,1
6,2155,4,4,4,2015,20,36,1
6,3503,4,4,4,2015,18,30,1
6,146,10,4,4,2015,17,7,1
5,2638,2,3,4,2015,23,25,1
4,948,1,2,4,2015,18,30,1
4,3851,3,2,4,2015,15,11,1
4,3883,2,2,4,2015,8,35,1
3,2265,4,1,4,2015,16,30,1
3,3979,8,1,4,2015,15,10,1
3,83,2,1,4,2015,14,7,1
2,4090,1,31,3,2015,17,0,1
2,1094,2,31,3,2015,13,27,1
2,872,2,31,3,2015,9,55,1
1,4246,9,30,3,2015,14,45,1
