"day","address","location","date","month","year","hour","min","SUICIDE"
3,1763,4,29,4,2015,14,4,1
4,2884,1,16,4,2015,4,20,1
1,4281,9,30,3,2015,8,0,1
1,5799,7,2,3,2015,17,0,1
6,2340,3,21,2,2015,2,10,1
7,83,2,25,1,2015,2,55,1
5,7064,4,9,1,2015,8,38,1
1,4671,3,5,1,2015,23,24,1
1,379,1,22,12,2014,12,45,1
6,192,1,13,12,2014,22,28,1
4,6931,4,27,11,2014,5,55,1
5,8318,1,14,11,2014,20,0,1
4,8304,8,30,10,2014,6,0,1
3,917,9,29,10,2014,10,30,1
4,6125,1,2,10,2014,21,0,1
3,1012,4,1,10,2014,1,41,1
4,2142,7,18,9,2014,8,13,1
2,10667,9,16,9,2014,9,4,1
6,4642,8,6,9,2014,19,0,1
3,11053,9,3,9,2014,17,30,1
7,2093,4,10,8,2014,0,55,1
5,3785,4,8,8,2014,2,50,1
6,7649,8,12,7,2014,20,15,1
6,11946,3,12,7,2014,1,50,1
1,1509,5,7,7,2014,8,2,1
5,5670,1,30,5,2014,15,35,1
2,5123,9,13,5,2014,6,5,1
4,125,2,1,5,2014,8,30,1
4,6256,9,1,5,2014,5,0,1
3,4728,8,16,4,2014,1,55,1
2,3425,9,15,4,2014,19,34,1
2,11386,9,15,4,2014,16,20,1
7,2270,1,9,3,2014,13,19,1
1,2451,5,3,3,2014,18,30,1
4,4199,8,23,1,2014,0,30,1
4,3295,4,28,11,2013,22,0,1
1,144,4,11,11,2013,10,35,1
5,10386,9,1,11,2013,22,32,1
1,14947,9,14,10,2013,1,23,1
3,15042,9,2,10,2013,16,0,1
2,14402,8,1,10,2013,16,41,1
1,7209,5,30,9,2013,18,53,1
4,873,2,19,9,2013,21,10,1
4,2862,10,19,9,2013,0,2,1
1,3735,2,2,9,2013,20,47,1
4,10410,8,8,8,2013,17,26,1
2,125,2,6,8,2013,12,32,1
7,2743,1,28,7,2013,16,0,1
7,7074,4,28,7,2013,0,14,1
6,4291,8,29,6,2013,20,45,1
3,3784,8,29,5,2013,8,20,1
2,144,4,28,5,2013,14,55,1
4,501,4,16,5,2013,7,13,1
1,2101,1,29,4,2013,16,30,1
4,9650,7,18,4,2013,15,0,1
4,1144,6,4,4,2013,6,40,1
3,2156,2,3,4,2013,11,0,1
1,1091,10,1,4,2013,20,26,1
7,83,2,24,3,2013,18,9,1
5,2955,3,8,3,2013,14,10,1
1,7871,3,4,3,2013,18,30,1
7,5107,10,10,2,2013,12,53,1
6,4031,3,9,2,2013,19,50,1
1,501,4,4,2,2013,6,57,1
7,2252,2,30,12,2012,17,45,1
4,957,2,27,12,2012,17,12,1
1,9862,8,10,12,2012,14,0,1
1,5826,1,26,11,2012,22,59,1
1,7677,1,26,11,2012,17,47,1
7,144,4,18,11,2012,11,45,1
