"day","address","location","date","month","year","hour","min","TREA"
2,2181,3,3,2,2015,17,5,1
1,428,4,17,2,2014,6,38,1
6,514,5,30,11,2013,5,59,1
6,17076,3,20,10,2012,22,27,1
5,579,1,31,12,2010,16,20,1
4,19147,3,9,9,2010,11,55,1
2,1776,5,28,9,2004,20,30,0
6,16176,8,5,11,2005,10,45,0
4,2140,2,23,7,2009,18,47,0
2,2045,6,21,8,2007,21,52,0
2,9423,4,16,3,2004,10,0,0
6,1245,10,10,9,2011,12,38,0
2,125,2,2,4,2013,12,30,0
5,830,10,18,9,2009,3,15,0
7,1731,5,4,11,2012,10,0,0
1,4535,1,27,10,2008,21,0,0
5,6471,6,30,5,2014,17,0,0
7,4610,5,30,5,2004,18,30,0
3,2288,3,27,12,2006,22,10,0
7,4832,4,21,4,2013,4,20,0
7,2367,1,3,11,2013,23,15,0
2,5107,10,8,12,2009,0,1,0
6,2755,2,10,1,2009,1,0,0
5,125,2,16,5,2003,20,32,0
1,9151,4,19,9,2005,16,33,0
7,4298,10,6,4,2008,6,36,0
7,21020,2,11,2,2007,10,43,0
6,155,2,20,10,2012,23,6,0
3,4214,10,12,1,2011,23,33,0
3,125,2,27,5,2009,14,55,0
3,2108,2,23,1,2008,18,15,0
3,909,4,1,5,2013,22,0,0
5,643,4,1,12,2006,12,41,0
2,3397,1,5,8,2008,17,30,0
4,548,10,21,10,2010,13,15,0
1,1537,4,25,6,2007,18,34,0
4,1665,4,17,11,2005,13,30,0
5,6505,4,11,12,2009,8,0,0
1,14896,8,22,3,2010,23,0,0
1,12108,8,7,7,2014,13,30,0
5,18431,9,1,10,2004,8,0,0
5,1752,3,15,7,2011,11,0,0
3,6426,9,19,10,2011,12,0,0
4,4066,8,26,6,2014,21,25,0
7,2835,10,29,6,2003,9,0,0
7,1983,1,3,11,2013,1,14,0
7,268,1,27,1,2008,0,50,0
5,10739,2,19,11,2010,22,0,0
