"day","address","location","date","month","year","hour","min","TRESPASS"
3,102,10,13,5,2015,17,27,1
3,116,5,13,5,2015,16,47,1
3,171,1,13,5,2015,14,0,1
2,302,7,12,5,2015,21,30,1
2,77,10,12,5,2015,14,29,1
2,404,4,12,5,2015,14,8,1
2,435,10,12,5,2015,11,11,1
1,518,10,11,5,2015,23,0,1
1,715,5,11,5,2015,9,42,1
1,716,5,11,5,2015,9,35,1
1,726,1,11,5,2015,8,40,1
1,761,6,11,5,2015,1,10,1
1,769,5,11,5,2015,0,10,1
7,937,1,3,5,2015,11,22,1
7,1005,5,3,5,2015,0,40,1
6,1129,4,2,5,2015,16,9,1
6,461,9,2,5,2015,13,0,1
6,1183,5,2,5,2015,10,30,1
5,1346,4,1,5,2015,10,55,1
5,1395,6,1,5,2015,7,55,1
5,1408,8,1,5,2015,5,30,1
5,263,1,1,5,2015,5,0,1
4,1550,1,30,4,2015,15,30,1
4,1585,8,30,4,2015,12,45,1
4,501,4,30,4,2015,8,21,1
3,1672,5,29,4,2015,22,18,1
3,359,10,29,4,2015,17,37,1
3,1779,9,29,4,2015,12,27,1
3,242,10,29,4,2015,6,15,1
2,1912,1,28,4,2015,18,30,1
2,1918,1,28,4,2015,18,0,1
2,501,4,28,4,2015,4,15,1
1,2040,9,27,4,2015,23,45,1
1,1450,3,27,4,2015,22,15,1
1,2096,8,27,4,2015,18,56,1
1,1550,1,27,4,2015,10,0,1
7,2220,7,19,4,2015,22,20,1
6,169,8,18,4,2015,10,20,1
5,1345,1,17,4,2015,22,0,1
5,1428,3,17,4,2015,0,6,1
4,501,4,16,4,2015,23,30,1
4,2798,6,16,4,2015,18,28,1
4,2875,9,16,4,2015,6,50,1
4,2878,1,16,4,2015,6,0,1
4,268,1,16,4,2015,1,10,1
3,2920,3,15,4,2015,20,9,1
3,3026,5,15,4,2015,4,0,1
3,3032,4,15,4,2015,2,40,1
2,326,2,14,4,2015,20,12,1
1,169,8,13,4,2015,14,11,1
7,3328,7,5,4,2015,23,22,1
7,125,2,5,4,2015,21,30,1
7,3348,5,5,4,2015,21,15,1
7,3372,5,5,4,2015,18,29,1
7,13,3,5,4,2015,15,0,1
7,192,1,5,4,2015,1,45,1
7,40,1,5,4,2015,1,38,1
6,242,10,4,4,2015,23,20,1
6,3470,9,4,4,2015,22,18,1
6,3541,9,4,4,2015,13,47,1
6,3564,2,4,4,2015,10,37,1
6,3565,4,4,4,2015,10,33,1
5,3716,3,3,4,2015,13,23,1
5,413,1,3,4,2015,13,19,1
5,133,3,3,4,2015,10,15,1
4,125,2,2,4,2015,20,58,1
4,3902,5,2,4,2015,1,25,1
3,1730,10,1,4,2015,12,0,1
3,2228,7,1,4,2015,0,1,1
2,737,5,31,3,2015,14,20,1
2,4115,5,31,3,2015,12,18,1
2,4129,7,31,3,2015,10,18,1
2,4147,5,31,3,2015,7,32,1
2,927,1,31,3,2015,4,30,1
1,957,2,30,3,2015,22,45,1
7,1790,1,22,3,2015,21,30,1
6,528,10,21,3,2015,19,2,1
6,4511,3,21,3,2015,10,0,1
5,501,4,20,3,2015,21,20,1
5,2891,5,20,3,2015,13,15,1
4,4712,7,19,3,2015,17,32,1
4,583,4,19,3,2015,16,37,1
4,408,2,19,3,2015,14,0,1
3,826,4,18,3,2015,23,55,1
3,4848,3,18,3,2015,10,40,1
3,176,1,18,3,2015,8,0,1
2,2314,1,17,3,2015,5,45,1
1,765,3,16,3,2015,17,18,1
1,872,2,16,3,2015,14,10,1
1,2598,2,16,3,2015,11,58,1
1,5104,8,16,3,2015,7,20,1
7,1233,4,8,3,2015,14,5,1
7,5208,1,8,3,2015,6,0,1
6,1979,4,7,3,2015,12,0,1
6,5314,1,7,3,2015,9,0,1
6,779,2,7,3,2015,6,4,1
6,97,2,7,3,2015,4,21,1
6,501,4,7,3,2015,1,33,1
6,234,6,7,3,2015,0,45,1
5,5379,8,6,3,2015,19,55,1
5,5431,6,6,3,2015,11,15,1
5,4833,1,6,3,2015,10,30,1
5,5443,7,6,3,2015,8,45,1
4,203,2,5,3,2015,18,30,1
4,975,2,5,3,2015,7,6,1
3,501,4,4,3,2015,23,44,1
3,4035,6,4,3,2015,22,10,1
3,27,5,4,3,2015,19,12,1
3,2041,10,4,3,2015,14,30,1
3,2617,1,4,3,2015,13,50,1
3,2795,1,4,3,2015,13,0,1
3,2046,2,4,3,2015,11,0,1
3,379,1,4,3,2015,9,46,1
3,125,2,4,3,2015,6,20,1
3,1009,2,4,3,2015,0,33,1
2,1790,1,3,3,2015,18,20,1
2,1525,4,3,3,2015,14,35,1
2,3974,5,3,3,2015,9,10,1
7,5904,3,22,2,2015,15,25,1
7,408,2,22,2,2015,11,51,1
6,5466,8,21,2,2015,16,2,1
6,6013,2,21,2,2015,15,30,1
6,125,2,21,2,2015,14,36,1
6,6033,7,21,2,2015,12,0,1
6,6036,1,21,2,2015,11,40,1
4,1345,1,19,2,2015,14,30,1
3,242,10,18,2,2015,23,15,1
3,1362,5,18,2,2015,22,24,1
3,1156,8,18,2,2015,15,15,1
3,1305,1,18,2,2015,10,49,1
3,538,8,18,2,2015,4,9,1
2,5837,4,17,2,2015,2,14,1
1,77,10,16,2,2015,21,10,1
1,349,2,16,2,2015,6,54,1
7,1626,1,8,2,2015,18,43,1
7,3595,1,8,2,2015,13,5,1
7,1287,2,8,2,2015,12,36,1
7,4367,8,8,2,2015,12,30,1
7,119,6,8,2,2015,1,30,1
6,6650,9,7,2,2015,16,57,1
6,501,4,7,2,2015,9,26,1
5,105,5,6,2,2015,22,35,1
5,6739,4,6,2,2015,16,18,1
5,1257,5,6,2,2015,14,10,1
5,468,2,6,2,2015,13,40,1
5,144,4,6,2,2015,7,45,1
4,979,4,5,2,2015,21,59,1
4,5105,4,5,2,2015,14,25,1
4,501,4,5,2,2015,12,0,1
4,688,7,5,2,2015,7,38,1
3,6358,9,4,2,2015,14,0,1
3,157,5,4,2,2015,10,13,1
3,6943,6,4,2,2015,8,5,1
2,937,1,3,2,2015,12,0,1
1,1181,2,2,2,2015,23,20,1
1,408,2,2,2,2015,15,15,1
1,1233,4,2,2,2015,7,40,1
7,1345,1,25,1,2015,18,0,1
7,3180,10,25,1,2015,14,10,1
7,620,9,25,1,2015,12,25,1
7,927,1,25,1,2015,7,0,1
7,5408,5,25,1,2015,0,17,1
6,6463,1,24,1,2015,22,30,1
