"day","address","location","date","month","year","hour","min","WEAPONLAWS"
3,34,9,13,5,2015,20,29,1
3,69,5,13,5,2015,18,42,1
2,280,3,12,5,2015,23,30,1
1,530,8,11,5,2015,22,23,1
1,549,4,11,5,2015,20,45,1
1,549,4,11,5,2015,20,45,1
1,582,3,11,5,2015,19,7,1
1,582,3,11,5,2015,19,7,1
1,582,3,11,5,2015,19,7,1
1,593,8,11,5,2015,18,58,1
1,593,8,11,5,2015,18,58,1
1,611,4,11,5,2015,17,44,1
1,501,4,11,5,2015,10,12,1
1,499,2,11,5,2015,1,15,1
7,777,3,3,5,2015,23,35,1
7,435,10,3,5,2015,19,55,1
7,435,10,3,5,2015,19,55,1
7,882,3,3,5,2015,16,12,1
6,1104,1,2,5,2015,18,40,1
6,1109,3,2,5,2015,18,25,1
6,1109,3,2,5,2015,18,25,1
6,1018,3,2,5,2015,18,24,1
6,1117,4,2,5,2015,17,15,1
6,1187,9,2,5,2015,9,45,1
5,1273,10,1,5,2015,21,15,1
5,1329,9,1,5,2015,16,44,1
5,1383,7,1,5,2015,9,30,1
4,1510,4,30,4,2015,19,13,1
4,1603,8,30,4,2015,11,0,1
4,1614,4,30,4,2015,9,22,1
4,1637,2,30,4,2015,3,29,1
4,1643,5,30,4,2015,2,22,1
3,744,10,29,4,2015,6,6,1
2,1869,8,28,4,2015,22,44,1
2,88,2,28,4,2015,17,0,1
2,1996,2,28,4,2015,9,22,1
1,1847,5,27,4,2015,15,24,1
1,1847,5,27,4,2015,15,24,1
1,1653,3,27,4,2015,12,21,1
1,855,4,27,4,2015,11,30,1
7,70,10,19,4,2015,22,9,1
7,2313,8,19,4,2015,15,0,1
7,2313,8,19,4,2015,15,0,1
7,851,3,19,4,2015,12,49,1
7,851,3,19,4,2015,12,49,1
7,851,3,19,4,2015,12,49,1
7,2391,2,19,4,2015,0,45,1
6,2405,5,18,4,2015,23,12,1
6,2405,5,18,4,2015,23,12,1
6,1775,4,18,4,2015,19,34,1
6,1918,1,18,4,2015,16,10,1
6,2504,3,18,4,2015,13,0,1
6,2565,4,18,4,2015,1,46,1
6,2565,4,18,4,2015,1,46,1
5,2589,4,17,4,2015,22,40,1
5,1175,5,17,4,2015,14,15,1
5,855,4,17,4,2015,10,0,1
5,1383,7,17,4,2015,8,30,1
4,211,5,16,4,2015,22,48,1
4,2783,4,16,4,2015,20,52,1
4,2783,4,16,4,2015,20,52,1
4,2783,4,16,4,2015,20,52,1
4,908,10,16,4,2015,20,20,1
4,908,10,16,4,2015,20,20,1
4,366,10,16,4,2015,10,30,1
4,2862,10,16,4,2015,9,40,1
4,2865,3,16,4,2015,9,30,1
4,2888,3,16,4,2015,2,45,1
4,2096,8,16,4,2015,1,0,1
4,2096,8,16,4,2015,1,0,1
3,550,3,15,4,2015,23,28,1
3,363,2,15,4,2015,15,49,1
3,363,2,15,4,2015,15,49,1
3,2865,3,15,4,2015,9,35,1
2,2831,4,14,4,2015,20,34,1
2,3116,1,14,4,2015,15,38,1
2,1156,8,14,4,2015,3,44,1
1,1091,10,13,4,2015,22,13,1
1,211,5,13,4,2015,12,34,1
1,1786,8,13,4,2015,12,30,1
1,125,2,13,4,2015,11,53,1
1,3284,3,13,4,2015,10,30,1
1,460,5,13,4,2015,9,0,1
1,619,8,13,4,2015,0,10,1
7,363,2,5,4,2015,19,40,1
7,3396,10,5,4,2015,14,35,1
7,572,4,5,4,2015,12,0,1
7,1080,8,5,4,2015,9,0,1
7,3152,3,5,4,2015,6,53,1
6,1012,4,4,4,2015,23,40,1
6,2783,4,4,4,2015,17,44,1
6,2783,4,4,4,2015,17,44,1
6,1057,8,4,4,2015,11,0,1
5,3627,5,3,4,2015,21,44,1
5,657,8,3,4,2015,19,23,1
5,3680,4,3,4,2015,17,50,1
5,3680,4,3,4,2015,17,50,1
5,3680,4,3,4,2015,17,50,1
5,232,4,3,4,2015,10,57,1
4,39,3,2,4,2015,20,30,1
4,3829,2,2,4,2015,18,10,1
4,3840,7,2,4,2015,17,30,1
4,3899,5,2,4,2015,2,30,1
4,3899,5,2,4,2015,2,30,1
4,3903,8,2,4,2015,0,57,1
3,102,10,1,4,2015,17,40,1
2,4062,4,31,3,2015,19,2,1
2,2372,5,31,3,2015,4,39,1
1,2915,4,30,3,2015,0,44,1
7,3369,3,22,3,2015,17,50,1
7,1606,2,22,3,2015,17,41,1
7,3537,4,22,3,2015,17,15,1
7,3537,4,22,3,2015,17,15,1
7,3537,4,22,3,2015,17,15,1
7,3537,4,22,3,2015,17,15,1
7,1347,8,22,3,2015,14,30,1
7,1347,8,22,3,2015,14,30,1
7,2609,2,22,3,2015,9,40,1
7,4388,10,22,3,2015,8,39,1
7,3440,4,22,3,2015,4,11,1
7,2371,5,22,3,2015,3,7,1
7,2096,8,22,3,2015,2,30,1
7,125,2,22,3,2015,1,29,1
7,125,2,22,3,2015,1,29,1
6,1288,3,21,3,2015,22,56,1
6,4459,8,21,3,2015,18,48,1
6,4460,1,21,3,2015,18,30,1
6,4510,5,21,3,2015,10,30,1
6,319,3,21,3,2015,7,26,1
6,319,3,21,3,2015,7,26,1
5,3329,10,20,3,2015,22,16,1
5,3329,10,20,3,2015,22,16,1
5,3329,10,20,3,2015,22,16,1
5,1654,8,20,3,2015,18,41,1
5,2677,5,20,3,2015,7,19,1
5,4635,2,20,3,2015,7,0,1
5,3619,2,20,3,2015,1,22,1
4,1574,2,19,3,2015,16,8,1
4,324,1,19,3,2015,15,39,1
3,4827,3,18,3,2015,15,50,1
2,392,4,17,3,2015,23,51,1
2,392,4,17,3,2015,23,51,1
2,870,4,17,3,2015,18,21,1
2,619,8,17,3,2015,17,30,1
2,1943,2,17,3,2015,14,22,1
2,4975,3,17,3,2015,9,16,1
1,600,3,16,3,2015,22,0,1
1,5077,9,16,3,2015,13,30,1
1,1012,4,16,3,2015,3,31,1
1,1012,4,16,3,2015,3,31,1
7,1121,10,8,3,2015,22,33,1
7,1121,10,8,3,2015,22,33,1
7,1224,1,8,3,2015,21,40,1
7,1224,1,8,3,2015,21,40,1
7,1224,1,8,3,2015,21,40,1
7,64,4,8,3,2015,21,39,1
7,5154,3,8,3,2015,17,28,1
7,5183,9,8,3,2015,13,10,1
7,104,2,8,3,2015,11,36,1
7,2143,8,8,3,2015,9,0,1
7,150,10,8,3,2015,9,0,1
6,5267,3,7,3,2015,19,0,1
6,957,2,7,3,2015,15,13,1
5,3256,1,6,3,2015,16,0,1
5,2265,4,6,3,2015,15,9,1
5,5415,2,6,3,2015,14,16,1
5,125,2,6,3,2015,12,30,1
5,5450,4,6,3,2015,4,55,1
4,5466,8,5,3,2015,23,41,1
4,657,8,5,3,2015,23,0,1
4,234,6,5,3,2015,15,6,1
4,234,6,5,3,2015,15,6,1
4,339,3,5,3,2015,14,0,1
3,3735,2,4,3,2015,15,25,1
3,125,2,4,3,2015,12,41,1
3,1841,8,4,3,2015,4,5,1
2,5690,8,3,3,2015,17,42,1
2,2589,4,3,3,2015,16,49,1
2,5748,7,3,3,2015,1,12,1
1,1379,1,2,3,2015,22,0,1
1,5773,4,2,3,2015,20,0,1
1,511,4,2,3,2015,14,46,1
1,125,2,2,3,2015,13,30,1
1,2655,1,2,3,2015,2,45,1
1,2119,10,2,3,2015,2,1,1
7,125,2,22,2,2015,18,52,1
7,4848,3,22,2,2015,13,29,1
7,4848,3,22,2,2015,13,29,1
7,3308,4,22,2,2015,12,34,1
7,292,5,22,2,2015,8,11,1
7,5572,9,22,2,2015,4,51,1
7,5572,9,22,2,2015,4,51,1
7,286,3,22,2,2015,0,26,1
6,2548,8,21,2,2015,23,0,1
6,2548,8,21,2,2015,23,0,1
6,3307,4,21,2,2015,21,22,1
6,878,10,21,2,2015,10,43,1
6,878,10,21,2,2015,10,43,1
6,1267,5,21,2,2015,0,52,1
5,4927,2,20,2,2015,11,2,1
5,4927,2,20,2,2015,11,2,1
4,6187,8,19,2,2015,23,19,1
4,4927,2,19,2,2015,18,56,1
4,2430,8,19,2,2015,12,3,1
4,648,2,19,2,2015,9,38,1
4,6271,7,19,2,2015,7,25,1
3,3038,1,18,2,2015,22,19,1
3,538,8,18,2,2015,19,10,1
3,2904,2,18,2,2015,16,39,1
3,548,10,18,2,2015,4,30,1
3,2041,10,18,2,2015,2,9,1
2,2536,3,17,2,2015,21,25,1
2,6414,8,17,2,2015,15,23,1
1,6473,3,16,2,2015,19,56,1
1,2484,10,16,2,2015,14,28,1
1,596,2,16,2,2015,11,40,1
1,1933,5,16,2,2015,8,51,1
7,6540,4,8,2,2015,22,42,1
7,411,3,8,2,2015,15,57,1
7,6602,1,8,2,2015,2,17,1
5,70,10,6,2,2015,21,50,1
5,125,2,6,2,2015,11,10,1
4,2848,2,5,2,2015,21,20,1
4,2848,2,5,2,2015,21,20,1
4,701,9,5,2,2015,15,0,1
3,2579,2,4,2,2015,23,32,1
3,2579,2,4,2,2015,23,32,1
3,6864,4,4,2,2015,23,21,1
3,6864,4,4,2,2015,23,21,1
3,6864,4,4,2,2015,23,21,1
3,6864,4,4,2,2015,23,21,1
3,6864,4,4,2,2015,23,21,1
3,6864,4,4,2,2015,23,21,1
3,6864,4,4,2,2015,23,21,1
3,6869,3,4,2,2015,22,6,1
3,6888,3,4,2,2015,19,15,1
3,6888,3,4,2,2015,19,15,1
3,6511,3,4,2,2015,15,14,1
3,6511,3,4,2,2015,15,14,1
3,501,4,4,2,2015,14,30,1
3,1091,10,4,2,2015,13,53,1
3,2382,1,4,2,2015,12,15,1
2,203,2,3,2,2015,20,9,1
2,203,2,3,2,2015,20,9,1
2,203,2,3,2,2015,20,9,1
2,7024,8,3,2,2015,8,11,1
2,7024,8,3,2,2015,8,11,1
2,1012,4,3,2,2015,2,20,1
1,5491,3,2,2,2015,22,46,1
1,7055,3,2,2,2015,20,45,1
1,7063,2,2,2,2015,20,0,1
1,4602,3,2,2,2015,18,55,1
1,3355,7,2,2,2015,15,10,1
1,744,10,2,2,2015,6,40,1
1,146,10,2,2,2015,0,20,1
7,7191,8,25,1,2015,5,30,1
6,3796,3,24,1,2015,22,22,1
6,7210,9,24,1,2015,20,40,1
6,870,4,24,1,2015,17,26,1
6,125,2,24,1,2015,11,30,1
6,2077,4,24,1,2015,5,26,1
6,2077,4,24,1,2015,5,26,1
6,4998,4,24,1,2015,2,50,1
6,2662,2,24,1,2015,0,17,1
5,232,4,23,1,2015,15,29,1
5,102,10,23,1,2015,9,9,1
5,7341,3,23,1,2015,5,1,1
5,125,2,23,1,2015,1,9,1
4,7352,8,22,1,2015,22,30,1
4,1808,9,22,1,2015,10,0,1
3,102,10,21,1,2015,23,30,1
3,102,10,21,1,2015,23,30,1
3,102,10,21,1,2015,23,30,1
3,1016,4,21,1,2015,11,43,1
3,1016,4,21,1,2015,11,43,1
2,3242,3,20,1,2015,23,35,1
2,3242,3,20,1,2015,23,35,1
2,5130,4,20,1,2015,20,32,1
2,5130,4,20,1,2015,20,32,1
2,4958,8,20,1,2015,14,35,1
2,2241,4,20,1,2015,13,45,1
2,7548,9,20,1,2015,1,0,1
1,499,2,19,1,2015,23,0,1
1,18,10,19,1,2015,3,33,1
7,7648,3,11,1,2015,20,10,1
7,1569,3,11,1,2015,18,9,1
7,7666,2,11,1,2015,16,0,1
7,7685,1,11,1,2015,7,20,1
7,784,2,11,1,2015,4,0,1
6,2783,4,10,1,2015,17,56,1
6,2783,4,10,1,2015,17,56,1
6,213,4,10,1,2015,17,9,1
6,1163,4,10,1,2015,16,3,1
6,823,2,10,1,2015,10,0,1
6,3903,8,10,1,2015,4,38,1
5,37,2,9,1,2015,17,55,1
5,37,2,9,1,2015,17,55,1
5,5851,3,9,1,2015,17,40,1
5,870,4,9,1,2015,14,36,1
5,499,2,9,1,2015,10,30,1
5,5936,1,9,1,2015,1,19,1
4,983,2,8,1,2015,6,30,1
4,983,2,8,1,2015,6,30,1
4,1620,10,8,1,2015,1,3,1
3,5851,3,7,1,2015,19,47,1
2,8027,8,6,1,2015,10,42,1
2,8027,8,6,1,2015,10,42,1
2,8027,8,6,1,2015,10,42,1
2,8027,8,6,1,2015,10,42,1
1,3773,3,5,1,2015,18,47,1
1,3516,5,5,1,2015,12,25,1
1,8089,1,5,1,2015,9,50,1
1,430,1,5,1,2015,1,18,1
1,430,1,5,1,2015,1,18,1
7,8126,9,28,12,2014,20,12,1
7,2265,4,28,12,2014,19,24,1
7,501,4,28,12,2014,19,0,1
7,926,4,28,12,2014,16,44,1
7,8158,6,28,12,2014,1,26,1
6,1080,8,27,12,2014,19,24,1
6,1080,8,27,12,2014,19,24,1
5,4604,5,26,12,2014,22,29,1
5,1284,4,26,12,2014,22,25,1
5,44,6,26,12,2014,19,7,1
5,5787,3,26,12,2014,16,20,1
4,510,1,25,12,2014,19,31,1
4,8290,1,25,12,2014,18,13,1
3,5508,1,24,12,2014,17,15,1
3,2772,9,24,12,2014,11,30,1
2,6431,1,23,12,2014,23,10,1
2,534,4,23,12,2014,15,35,1
2,1083,1,23,12,2014,14,8,1
1,2680,4,22,12,2014,22,59,1
1,740,5,22,12,2014,12,9,1
7,4448,3,14,12,2014,15,28,1
7,8536,8,14,12,2014,14,28,1
6,8570,3,13,12,2014,20,0,1
6,1722,2,13,12,2014,16,41,1
6,8610,5,13,12,2014,4,35,1
5,3222,5,12,12,2014,22,32,1
5,8636,2,12,12,2014,19,30,1
4,3932,3,11,12,2014,18,52,1
4,232,4,11,12,2014,18,12,1
4,8715,9,11,12,2014,6,0,1
3,4555,6,10,12,2014,19,24,1
3,4555,6,10,12,2014,19,24,1
3,8750,4,10,12,2014,16,42,1
3,3792,3,10,12,2014,15,43,1
3,2089,3,10,12,2014,12,32,1
3,2089,3,10,12,2014,12,32,1
3,8771,2,10,12,2014,9,41,1
3,2963,3,10,12,2014,9,20,1
2,234,6,9,12,2014,22,17,1
2,234,6,9,12,2014,22,17,1
2,98,4,9,12,2014,21,30,1
2,598,6,9,12,2014,19,26,1
2,3771,5,9,12,2014,13,17,1
1,281,4,8,12,2014,23,40,1
1,8570,3,8,12,2014,22,42,1
7,608,2,30,11,2014,18,40,1
7,608,2,30,11,2014,18,40,1
7,2484,10,30,11,2014,17,30,1
7,8936,8,30,11,2014,3,2,1
7,343,4,30,11,2014,0,33,1
7,343,4,30,11,2014,0,33,1
6,8971,8,29,11,2014,14,13,1
6,3153,6,29,11,2014,8,50,1
6,3153,6,29,11,2014,8,50,1
6,3153,6,29,11,2014,8,50,1
6,2096,8,29,11,2014,2,33,1
6,4667,3,29,11,2014,0,23,1
5,5093,2,28,11,2014,21,40,1
5,580,3,28,11,2014,18,30,1
5,138,2,28,11,2014,16,31,1
5,4050,8,28,11,2014,15,21,1
4,870,4,27,11,2014,17,20,1
4,2737,3,27,11,2014,15,25,1
3,4648,1,26,11,2014,21,30,1
3,55,2,26,11,2014,13,0,1
3,4376,8,26,11,2014,11,5,1
1,232,4,24,11,2014,11,5,1
7,9263,2,16,11,2014,21,58,1
