,day,location,date,month,year,hour,min,WARRANTS
1,3,5,13,5,2015,23,53,1
2,3,10,13,5,2015,21,11,1
3,3,10,13,5,2015,19,11,1
4,3,10,13,5,2015,19,11,1
5,3,4,13,5,2015,18,58,1
6,3,4,13,5,2015,18,58,1
7,3,10,13,5,2015,17,37,1
8,3,10,13,5,2015,17,37,1
9,3,2,13,5,2015,16,44,1
10,3,1,13,5,2015,16,32,1
11,3,3,13,5,2015,15,0,1
12,3,10,13,5,2015,14,40,1
13,3,5,13,5,2015,14,30,1
14,3,2,13,5,2015,14,30,1
15,3,8,13,5,2015,14,3,1
16,3,10,13,5,2015,13,40,1
17,3,5,13,5,2015,13,19,1
18,3,9,13,5,2015,12,30,1
19,3,8,13,5,2015,11,0,1
20,3,6,13,5,2015,9,46,1
21,3,6,13,5,2015,6,15,1
22,3,8,13,5,2015,0,48,1
23,2,4,12,5,2015,19,30,1
24,2,2,12,5,2015,17,50,1
25,2,5,12,5,2015,16,58,1
26,2,8,12,5,2015,16,4,1
27,2,8,12,5,2015,16,4,1
28,2,3,12,5,2015,15,45,1
29,2,2,12,5,2015,15,29,1
30,2,4,12,5,2015,13,20,1
31,1,10,11,5,2015,20,48,1
32,1,10,11,5,2015,20,19,1
33,1,2,11,5,2015,19,32,1
34,1,8,11,5,2015,18,58,1
35,1,3,11,5,2015,18,27,1
36,1,3,11,5,2015,18,27,1
37,1,2,11,5,2015,18,2,1
38,1,7,11,5,2015,16,0,1
39,1,2,11,5,2015,14,51,1
40,1,2,11,5,2015,14,49,1
41,1,6,11,5,2015,13,17,1
42,1,6,11,5,2015,12,0,1
43,1,2,11,5,2015,11,20,1
44,1,9,11,5,2015,10,47,1
45,1,9,11,5,2015,10,47,1
46,1,2,11,5,2015,10,45,1
47,1,9,11,5,2015,1,4,1
48,1,3,11,5,2015,0,29,1
49,7,4,3,5,2015,19,55,1
50,7,10,3,5,2015,19,51,1
51,7,5,3,5,2015,18,35,1
52,7,1,3,5,2015,18,0,1
53,7,5,3,5,2015,17,14,1
54,7,10,3,5,2015,13,24,1
55,7,10,3,5,2015,13,13,1
56,7,10,3,5,2015,12,36,1
57,7,1,3,5,2015,10,35,1
58,7,4,3,5,2015,9,19,1
59,7,10,3,5,2015,9,12,1
60,7,8,3,5,2015,8,12,1
61,6,2,2,5,2015,19,15,1
62,6,2,2,5,2015,19,0,1
63,6,5,2,5,2015,10,30,1
64,6,7,2,5,2015,10,30,1
65,6,7,2,5,2015,10,30,1
66,6,6,2,5,2015,4,30,1
67,6,6,2,5,2015,4,30,1
68,6,10,2,5,2015,3,54,1
69,6,10,2,5,2015,2,35,1
70,6,4,2,5,2015,2,27,1
71,6,5,2,5,2015,1,36,1
72,6,5,2,5,2015,1,36,1
73,6,3,2,5,2015,1,6,1
74,6,2,2,5,2015,0,54,1
75,5,2,1,5,2015,19,40,1
76,5,4,1,5,2015,17,27,1
77,5,9,1,5,2015,16,44,1
78,5,4,1,5,2015,12,40,1
79,5,10,1,5,2015,12,0,1
80,5,4,1,5,2015,11,54,1
81,5,3,1,5,2015,11,7,1
82,5,4,1,5,2015,10,55,1
83,5,2,1,5,2015,9,10,1
84,5,10,1,5,2015,8,23,1
85,5,10,1,5,2015,8,23,1
86,5,4,1,5,2015,8,16,1
87,5,4,1,5,2015,7,0,1
88,5,4,1,5,2015,3,4,1
89,4,4,30,4,2015,19,13,1
90,4,2,30,4,2015,18,57,1
91,4,4,30,4,2015,17,47,1
92,4,1,30,4,2015,17,40,1
93,4,4,30,4,2015,17,19,1
94,4,4,30,4,2015,17,19,1
95,4,2,30,4,2015,17,15,1
96,4,8,30,4,2015,16,9,1
97,4,1,30,4,2015,14,40,1
98,4,1,30,4,2015,14,40,1
99,4,5,30,4,2015,13,48,1
100,4,4,30,4,2015,10,49,1
101,4,1,30,4,2015,4,12,1
102,4,4,30,4,2015,2,40,1
103,4,4,30,4,2015,0,31,1
104,3,3,29,4,2015,23,15,1
105,3,4,29,4,2015,18,49,1
106,3,5,29,4,2015,17,56,1
107,3,1,29,4,2015,17,25,1
108,3,5,29,4,2015,17,14,1
109,3,9,29,4,2015,16,32,1
110,3,9,29,4,2015,16,32,1
111,3,10,29,4,2015,14,16,1
112,3,4,29,4,2015,12,15,1
113,3,1,29,4,2015,9,25,1
114,3,8,29,4,2015,4,13,1
115,3,4,29,4,2015,3,19,1
116,3,4,29,4,2015,1,18,1
117,2,5,28,4,2015,22,53,1
118,2,5,28,4,2015,22,7,1
119,2,2,28,4,2015,19,50,1
120,2,6,28,4,2015,15,15,1
121,2,8,28,4,2015,12,0,1
122,2,1,28,4,2015,10,28,1
123,2,3,28,4,2015,9,37,1
124,2,3,28,4,2015,9,37,1
125,2,4,28,4,2015,4,15,1
126,2,5,28,4,2015,0,6,1
127,1,7,27,4,2015,23,14,1
128,1,1,27,4,2015,21,20,1
129,1,5,27,4,2015,19,35,1
130,1,3,27,4,2015,19,30,1
131,1,1,27,4,2015,19,15,1
132,1,2,27,4,2015,18,47,1
133,1,4,27,4,2015,18,37,1
134,1,2,27,4,2015,17,14,1
135,1,2,27,4,2015,17,14,1
136,1,1,27,4,2015,17,8,1
137,1,5,27,4,2015,16,53,1
138,1,10,27,4,2015,15,50,1
139,1,5,27,4,2015,12,53,1
140,1,8,27,4,2015,12,50,1
141,1,5,27,4,2015,12,0,1
142,1,8,27,4,2015,11,44,1
143,1,10,27,4,2015,11,37,1
144,1,4,27,4,2015,11,26,1
145,1,1,27,4,2015,10,0,1
146,1,1,27,4,2015,9,40,1
147,1,2,27,4,2015,8,13,1
148,1,6,27,4,2015,4,30,1
149,1,5,27,4,2015,4,24,1
150,1,7,27,4,2015,2,41,1
151,1,8,27,4,2015,0,27,1
152,1,3,27,4,2015,0,1,1
153,7,5,19,4,2015,23,42,1
154,7,5,19,4,2015,22,30,1
155,7,4,19,4,2015,20,0,1
156,7,10,19,4,2015,19,1,1
157,7,4,19,4,2015,18,39,1
158,7,2,19,4,2015,18,32,1
159,7,2,19,4,2015,18,32,1
160,7,10,19,4,2015,17,33,1
161,7,10,19,4,2015,16,28,1
162,7,10,19,4,2015,16,28,1
163,7,10,19,4,2015,15,20,1
164,7,1,19,4,2015,14,51,1
165,7,3,19,4,2015,12,49,1
166,7,2,19,4,2015,12,1,1
167,7,2,19,4,2015,12,1,1
168,7,10,19,4,2015,12,0,1
169,7,7,19,4,2015,9,38,1
170,7,9,19,4,2015,9,12,1
171,7,6,19,4,2015,4,37,1
172,7,3,19,4,2015,4,15,1
173,7,10,19,4,2015,3,45,1
174,6,4,18,4,2015,23,51,1
175,6,3,18,4,2015,22,27,1
176,6,4,18,4,2015,22,9,1
177,6,2,18,4,2015,21,56,1
178,6,3,18,4,2015,19,55,1
179,6,4,18,4,2015,19,37,1
180,6,6,18,4,2015,17,0,1
181,6,1,18,4,2015,16,10,1
182,6,4,18,4,2015,14,0,1
183,6,5,18,4,2015,10,20,1
184,6,4,18,4,2015,9,4,1
185,6,6,18,4,2015,6,0,1
186,5,4,17,4,2015,20,7,1
187,5,1,17,4,2015,19,49,1
188,5,2,17,4,2015,17,43,1
189,5,7,17,4,2015,16,40,1
190,5,9,17,4,2015,15,10,1
191,5,1,17,4,2015,14,30,1
192,5,4,17,4,2015,14,15,1
193,5,2,17,4,2015,14,10,1
194,5,2,17,4,2015,14,10,1
195,5,2,17,4,2015,14,0,1
196,5,9,17,4,2015,12,40,1
197,5,2,17,4,2015,12,28,1
198,5,2,17,4,2015,11,20,1
199,5,2,17,4,2015,10,39,1
200,5,8,17,4,2015,10,35,1
201,5,8,17,4,2015,10,30,1
202,5,8,17,4,2015,10,30,1
203,5,8,17,4,2015,2,8,1
204,5,8,17,4,2015,2,8,1
205,5,9,17,4,2015,1,50,1
206,4,2,16,4,2015,22,9,1
207,4,10,16,4,2015,19,46,1
208,4,8,16,4,2015,19,41,1
209,4,10,16,4,2015,19,36,1
210,4,2,16,4,2015,18,40,1
211,4,5,16,4,2015,17,40,1
212,4,5,16,4,2015,17,29,1
213,4,3,16,4,2015,17,18,1
214,4,6,16,4,2015,14,10,1
215,4,2,16,4,2015,11,30,1
216,4,10,16,4,2015,10,30,1
217,4,10,16,4,2015,9,40,1
218,4,2,16,4,2015,2,29,1
219,4,1,16,4,2015,1,10,1
220,4,8,16,4,2015,0,1,1
221,3,1,15,4,2015,22,28,1
222,3,4,15,4,2015,19,46,1
223,3,2,15,4,2015,18,46,1
224,3,2,15,4,2015,17,12,1
225,3,5,15,4,2015,16,46,1
226,3,2,15,4,2015,15,25,1
227,3,3,15,4,2015,14,15,1
228,3,6,15,4,2015,12,16,1
229,3,9,15,4,2015,11,37,1
